Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,OBEROIRLTY, EQ, 23-Aug-2019,484.55,475.5,482.0,456.35,465.0,460.75,466.61,1010327,4714.27,65170,551427,54.58,Real Estate
2019-10-01,OBEROIRLTY, EQ, 01-Oct-2019,507.6,507.6,511.0,485.0,489.6,490.4,491.65,376962,1853.32,22564,174107,46.19,Real Estate
2019-10-03,OBEROIRLTY, EQ, 03-Oct-2019,490.4,492.0,507.9,486.65,489.9,489.85,495.61,459549,2277.57,26582,227878,49.59,Real Estate
2019-10-04,OBEROIRLTY, EQ, 04-Oct-2019,489.85,492.9,499.5,485.0,487.65,488.4,490.3,206224,1011.12,13181,92710,44.96,Real Estate
2019-10-07,OBEROIRLTY, EQ, 07-Oct-2019,488.4,487.95,494.5,481.2,482.7,483.85,485.96,100507,488.43,4380,52901,52.63,Real Estate
2019-10-09,OBEROIRLTY, EQ, 09-Oct-2019,483.85,482.8,504.45,467.25,500.75,500.15,483.5,559207,2703.78,34760,286639,51.26,Real Estate
2019-10-10,OBEROIRLTY, EQ, 10-Oct-2019,500.15,499.75,506.8,490.0,495.0,495.4,498.89,395448,1972.83,12363,250074,63.24,Real Estate
2019-10-11,OBEROIRLTY, EQ, 11-Oct-2019,495.4,498.5,507.4,482.1,497.1,496.15,498.28,270707,1348.88,11197,113216,41.82,Real Estate
2019-10-14,OBEROIRLTY, EQ, 14-Oct-2019,496.15,491.6,509.0,491.05,493.05,495.95,501.77,202136,1014.25,12791,84638,41.87,Real Estate
2019-10-15,OBEROIRLTY, EQ, 15-Oct-2019,495.95,496.0,507.5,495.35,505.95,504.95,503.59,105766,532.63,9275,46004,43.5,Real Estate
2019-10-16,OBEROIRLTY, EQ, 16-Oct-2019,504.95,505.0,509.7,503.1,507.5,507.1,507.06,109697,556.23,6584,62721,57.18,Real Estate
2019-10-17,OBEROIRLTY, EQ, 17-Oct-2019,507.1,507.0,517.45,503.55,515.8,515.35,514.27,184349,948.06,7422,64283,34.87,Real Estate
2019-10-18,OBEROIRLTY, EQ, 18-Oct-2019,515.35,517.9,545.0,516.8,539.0,540.05,533.87,465765,2486.57,28600,270542,58.09,Real Estate
2019-10-22,OBEROIRLTY, EQ, 22-Oct-2019,540.05,527.0,527.0,502.25,510.0,512.9,516.51,366858,1894.88,18764,113247,30.87,Real Estate
2019-10-23,OBEROIRLTY, EQ, 23-Oct-2019,512.9,514.8,518.35,492.05,492.25,494.25,498.58,361459,1802.18,44385,241115,66.71,Real Estate
2019-10-24,OBEROIRLTY, EQ, 24-Oct-2019,494.25,495.0,503.5,486.05,500.0,500.0,497.19,238415,1185.37,18620,121293,50.87,Real Estate
2019-10-25,OBEROIRLTY, EQ, 25-Oct-2019,500.0,500.0,508.7,486.2,504.0,504.8,500.77,438618,2196.48,34640,194707,44.39,Real Estate
2019-10-27,OBEROIRLTY, EQ, 27-Oct-2019,504.8,504.5,509.0,495.5,500.0,499.85,502.17,17488,87.82,833,8593,49.14,Real Estate
2019-10-29,OBEROIRLTY, EQ, 29-Oct-2019,499.85,498.8,503.95,491.5,500.05,500.1,498.22,164309,818.62,14642,90604,55.14,Real Estate
2019-10-30,OBEROIRLTY, EQ, 30-Oct-2019,500.1,500.1,501.95,488.15,494.0,492.05,493.8,163238,806.06,10314,96167,58.91,Real Estate
2019-10-31,OBEROIRLTY, EQ, 31-Oct-2019,492.05,501.05,514.45,490.0,505.15,506.9,502.15,528446,2653.58,30061,365675,69.2,Real Estate
2019-11-01,OBEROIRLTY, EQ, 01-Nov-2019,506.9,510.05,519.7,502.05,507.5,511.0,513.68,319612,1641.78,34466,159754,49.98,Real Estate
2019-11-04,OBEROIRLTY, EQ, 04-Nov-2019,511.0,516.0,518.9,498.0,498.5,500.55,505.92,342559,1733.08,32729,205130,59.88,Real Estate
