Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,OFSS, EQ, 23-Aug-2019,2909.0,2909.75,3047.9,2883.3,3018.8,3016.45,2995.0,55119,1650.81,7019,17232,31.26,Others
2019-10-01,OFSS, EQ, 01-Oct-2019,3173.4,3125.65,3149.05,3054.0,3065.0,3080.15,3101.09,44901,1392.42,3145,26324,58.63,Others
2019-10-03,OFSS, EQ, 03-Oct-2019,3080.15,3054.0,3143.0,3054.0,3102.0,3084.05,3092.23,9920,306.75,1631,2976,30.0,Others
2019-10-04,OFSS, EQ, 04-Oct-2019,3084.05,3099.0,3160.0,3035.3,3137.0,3068.25,3095.01,26917,833.08,3395,8628,32.05,Others
2019-10-07,OFSS, EQ, 07-Oct-2019,3068.25,3083.6,3150.0,3000.0,3068.0,3075.15,3049.39,15024,458.14,2087,3670,24.43,Others
2019-10-09,OFSS, EQ, 09-Oct-2019,3075.15,3070.0,3120.0,3032.0,3120.0,3099.85,3075.38,9016,277.28,2637,5087,56.42,Others
2019-10-10,OFSS, EQ, 10-Oct-2019,3099.85,3088.8,3140.0,3054.0,3095.0,3074.75,3096.08,6238,193.13,1689,2609,41.82,Others
2019-10-11,OFSS, EQ, 11-Oct-2019,3074.75,3079.0,3124.0,3054.85,3116.4,3111.55,3093.72,6958,215.26,1378,3208,46.11,Others
2019-10-14,OFSS, EQ, 14-Oct-2019,3111.55,3076.05,3124.55,3067.05,3098.0,3093.55,3095.59,6630,205.24,1770,3285,49.55,Others
2019-10-15,OFSS, EQ, 15-Oct-2019,3093.55,3095.0,3150.0,3087.65,3145.0,3143.35,3129.19,10403,325.53,2399,5378,51.7,Others
2019-10-16,OFSS, EQ, 16-Oct-2019,3143.35,3141.2,3170.0,3112.0,3149.0,3152.95,3154.14,8145,256.9,2380,4900,60.16,Others
2019-10-17,OFSS, EQ, 17-Oct-2019,3152.95,3152.95,3168.0,3049.9,3082.55,3090.2,3112.71,11468,356.97,2115,5942,51.81,Others
2019-10-18,OFSS, EQ, 18-Oct-2019,3090.2,3082.0,3129.8,3055.0,3064.0,3070.25,3090.97,20425,631.33,4253,11299,55.32,Others
2019-10-22,OFSS, EQ, 22-Oct-2019,3070.25,3095.0,3114.4,3070.0,3109.0,3106.95,3105.88,8980,278.91,1532,5145,57.29,Others
2019-10-23,OFSS, EQ, 23-Oct-2019,3106.95,3103.0,3105.0,3045.0,3056.0,3055.3,3060.44,16535,506.04,3893,10020,60.6,Others
2019-10-24,OFSS, EQ, 24-Oct-2019,3055.3,3069.7,3080.0,3040.0,3075.0,3064.85,3062.96,13957,427.5,2311,9011,64.56,Others
2019-10-25,OFSS, EQ, 25-Oct-2019,3064.85,3064.85,3092.0,3040.0,3065.0,3065.45,3062.09,8116,248.52,2003,5178,63.8,Others
2019-10-27,OFSS, EQ, 27-Oct-2019,3065.45,3099.45,3099.45,3060.0,3090.0,3071.65,3072.41,716,22.0,198,616,86.03,Others
2019-10-29,OFSS, EQ, 29-Oct-2019,3071.65,3075.0,3099.0,3045.5,3094.9,3088.75,3078.34,10547,324.67,3144,5163,48.95,Others
2019-10-30,OFSS, EQ, 30-Oct-2019,3088.75,3088.75,3140.0,3058.5,3108.5,3110.45,3102.46,13047,404.78,4590,7010,53.73,Others
