Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,OIL, EQ, 23-Aug-2019,142.35,141.55,146.65,139.65,144.3,144.5,143.68,872714,1253.89,25559,368078,42.18
2019-10-01,OIL, EQ, 01-Oct-2019,145.25,144.5,146.7,142.0,142.9,143.0,144.15,912501,1315.36,8673,336389,36.86
2019-10-03,OIL, EQ, 03-Oct-2019,143.0,143.0,145.45,141.15,144.7,144.6,143.52,1006347,1444.26,13835,495628,49.25
2019-10-04,OIL, EQ, 04-Oct-2019,144.6,145.8,148.35,143.0,144.05,143.95,145.61,1090530,1587.91,26080,455347,41.75
2019-10-07,OIL, EQ, 07-Oct-2019,143.95,144.65,144.8,143.0,143.95,143.6,143.81,875204,1258.63,14704,596697,68.18
2019-10-09,OIL, EQ, 09-Oct-2019,143.6,144.0,147.8,143.5,146.6,146.45,145.39,785126,1141.48,13898,319634,40.71
2019-10-10,OIL, EQ, 10-Oct-2019,146.45,145.95,148.45,143.55,147.0,147.4,147.19,1126215,1657.69,7342,495075,43.96
2019-10-11,OIL, EQ, 11-Oct-2019,147.4,147.5,149.7,146.55,149.35,149.0,148.43,993114,1474.06,9306,549610,55.34
2019-10-14,OIL, EQ, 14-Oct-2019,149.0,149.05,154.45,148.85,153.5,153.25,152.58,1353556,2065.29,18864,719287,53.14
2019-10-15,OIL, EQ, 15-Oct-2019,153.25,153.5,159.25,152.2,158.05,158.4,155.67,2137984,3328.29,32446,1110740,51.95
2019-10-16,OIL, EQ, 16-Oct-2019,158.4,158.4,162.75,158.4,161.2,161.6,160.19,1778530,2848.95,27542,837563,47.09
2019-10-17,OIL, EQ, 17-Oct-2019,161.6,161.3,163.85,159.35,162.85,163.55,161.88,624926,1011.63,8636,273495,43.76
2019-10-18,OIL, EQ, 18-Oct-2019,163.55,163.35,174.95,162.6,172.0,172.8,171.08,3827924,6548.75,26676,2541802,66.4
2019-10-22,OIL, EQ, 22-Oct-2019,172.8,172.0,172.45,164.0,164.75,164.8,167.61,1264895,2120.1,18460,447468,35.38
2019-10-23,OIL, EQ, 23-Oct-2019,164.8,164.5,168.15,162.6,165.9,165.75,166.14,653023,1084.92,10360,200018,30.63
2019-10-24,OIL, EQ, 24-Oct-2019,165.75,165.2,168.9,163.4,167.9,168.2,166.28,777234,1292.39,6976,414251,53.3
2019-10-25,OIL, EQ, 25-Oct-2019,168.2,168.45,168.9,163.2,163.65,163.75,164.86,644794,1063.0,7327,218544,33.89
2019-10-27,OIL, EQ, 27-Oct-2019,163.75,164.0,166.35,163.1,163.8,164.25,164.61,79528,130.91,1281,27672,34.8
2019-10-29,OIL, EQ, 29-Oct-2019,164.25,164.9,166.0,161.35,163.3,162.95,163.1,755651,1232.43,9470,324952,43.0
2019-10-30,OIL, EQ, 30-Oct-2019,162.95,163.45,171.0,163.35,169.05,169.2,168.48,2297991,3871.62,34185,953192,41.48
2019-10-31,OIL, EQ, 31-Oct-2019,169.2,169.95,173.0,168.95,172.0,171.65,170.68,1148455,1960.14,11544,611945,53.28
2019-11-01,OIL, EQ, 01-Nov-2019,171.65,172.5,173.65,167.6,169.1,168.5,169.35,540876,915.98,8336,179189,33.13
2019-11-04,OIL, EQ, 04-Nov-2019,168.5,169.3,172.95,168.05,170.75,171.4,170.61,760506,1297.51,7336,313651,41.24
2019-11-05,OIL, EQ, 05-Nov-2019,171.4,172.0,172.2,167.05,169.05,169.5,169.49,307740,521.59,4258,80820,26.26
2019-11-06,OIL, EQ, 06-Nov-2019,169.5,169.5,171.9,167.65,169.8,169.85,170.08,469291,798.19,4571,141468,30.15
2019-11-07,OIL, EQ, 07-Nov-2019,169.85,169.9,169.9,166.3,167.25,167.0,167.68,338753,568.03,3955,119985,35.42
2019-11-08,OIL, EQ, 08-Nov-2019,167.0,166.6,168.0,164.65,165.05,165.55,166.74,334833,558.31,3819,123198,36.79
2019-11-11,OIL, EQ, 11-Nov-2019,165.55,165.0,165.0,161.8,163.5,164.4,163.43,648617,1060.01,8108,227990,35.15
2019-11-13,OIL, EQ, 13-Nov-2019,164.4,163.75,164.35,160.25,160.6,160.7,162.13,482386,782.08,9657,258013,53.49
2019-11-14,OIL, EQ, 14-Nov-2019,160.7,160.0,162.25,157.55,159.0,159.8,160.26,655488,1050.48,10573,209131,31.9
2019-11-15,OIL, EQ, 15-Nov-2019,159.8,160.45,161.8,156.95,161.6,160.3,158.87,677036,1075.64,9160,337388,49.83
2019-11-18,OIL, EQ, 18-Nov-2019,160.3,160.4,161.35,158.75,159.15,159.4,159.62,295985,472.46,5107,118419,40.01
2019-11-19,OIL, EQ, 19-Nov-2019,159.4,158.75,162.0,157.85,161.5,161.25,160.34,460423,738.23,8340, 141104, 30.65
2019-11-20,OIL, EQ, 20-Nov-2019,161.25,162.05,169.55,157.05,158.5,158.45,162.46,2895076,4703.28,22949, 677350, 23.40
2019-11-21,OIL, EQ, 21-Nov-2019,158.45,159.95,159.95,154.2,154.6,155.1,156.79,940039,1473.85,10823,333130,35.44
2019-11-22,OIL, EQ, 22-Nov-2019,155.1,154.8,155.9,150.05,153.55,153.9,153.68,959672,1474.87,11186,369307,38.48
2019-11-25,OIL, EQ, 25-Nov-2019,153.9,153.9,155.2,153.1,154.15,154.4,154.23,693058,1068.92,8378,302813,43.69
2019-11-26,OIL, EQ, 26-Nov-2019,154.4,154.5,158.6,154.0,155.6,155.15,156.46,1304786,2041.45,12199, 609206, 46.69
2019-11-27,OIL, EQ, 27-Nov-2019,155.15,155.5,156.7,153.8,156.35,155.7,154.81,501356,776.16,6642,236568,47.19
2019-11-28,OIL, EQ, 28-Nov-2019,155.7,156.0,156.45,153.6,155.85,156.05,155.02,529199,820.38,4886,186453,35.23
2019-11-29,OIL, EQ, 29-Nov-2019,156.05,155.95,156.0,153.05,153.6,154.05,154.11,507348,781.88,6779,194351,38.31
2019-12-02,OIL, EQ, 02-Dec-2019,154.05,154.05,155.4,151.2,154.35,154.25,153.58,646020,992.17,7771, 250960, 38.85
2019-12-03,OIL, EQ, 03-Dec-2019,154.25,154.2,154.6,151.4,152.2,152.25,152.65,435303,664.51,6266,156488,35.95
2019-12-04,OIL, EQ, 04-Dec-2019,152.25,152.25,155.0,151.1,154.5,154.65,153.58,332481,510.61,4789,98741,29.7
2019-12-05,OIL, EQ, 05-Dec-2019,154.65,153.6,160.0,153.6,158.0,159.25,157.93,1312024,2072.13,12181,542360,41.34
2019-12-06,OIL, EQ, 06-Dec-2019,159.25,157.65,159.8,154.05,156.35,156.2,156.82,1045335,1639.26,8657,364429,34.86
2019-12-09,OIL, EQ, 09-Dec-2019,156.2,156.2,159.95,155.4,158.0,158.1,157.97,450307,711.37,3845,119241,26.48
2019-12-10,OIL, EQ, 10-Dec-2019,158.1,158.15,158.7,153.1,153.3,153.75,155.42,333050,517.64,2869,85858,25.78
2019-12-11,OIL, EQ, 11-Dec-2019,153.75,154.5,155.8,151.85,154.0,153.85,153.19,566601,867.98,5177,212886,37.57
2019-12-12,OIL, EQ, 12-Dec-2019,153.85,153.1,156.85,153.1,155.2,155.5,155.01,346035,536.38,3473,155283,44.87
2019-12-13,OIL, EQ, 13-Dec-2019,155.5,155.85,157.25,153.25,154.45,154.5,154.87,495370,767.17,6382,153516,30.99
2019-12-16,OIL, EQ, 16-Dec-2019,154.5,154.9,154.9,152.05,152.3,152.35,152.96,522173,798.71,5425,139586,26.73
2019-12-17,OIL, EQ, 17-Dec-2019,152.35,153.4,153.8,149.65,151.6,151.75,151.19,670958,1014.42,10235,179823,26.8
2019-12-18,OIL, EQ, 18-Dec-2019,151.75,151.85,152.55,150.55,151.8,151.6,151.64,391623,593.84,4110,118947,30.37
2019-12-19,OIL, EQ, 19-Dec-2019,151.6,151.55,153.45,150.75,151.85,152.2,152.46,414865,632.5,4080,92258,22.24
2019-12-20,OIL, EQ, 20-Dec-2019,152.2,153.0,153.7,150.55,150.7,151.25,151.9,1010118,1534.35,6132,563811,55.82
2019-12-23,OIL, EQ, 23-Dec-2019,151.25,150.85,151.8,150.0,150.4,150.2,150.71,500250,753.92,3848,263391,52.65
2019-12-24,OIL, EQ, 24-Dec-2019,150.2,150.4,151.5,149.65,149.95,150.1,150.41,444045,667.91,3623,183616,41.35
2019-12-26,OIL, EQ, 26-Dec-2019,150.1,150.65,150.8,148.4,149.4,149.0,149.28,1120996,1673.38,6329,598158,53.36
2019-12-27,OIL, EQ, 27-Dec-2019,149.0,149.75,151.8,149.2,151.05,150.95,150.42,947203,1424.81,7914,564038,59.55
2019-12-30,OIL, EQ, 30-Dec-2019,150.95,151.7,152.8,150.65,151.8,151.95,151.74,327623,497.12,3745,142223,43.41
