Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ONGC, EQ, 23-Aug-2019,116.95,116.35,123.45,115.75,122.65,122.25,119.98,10008179,12008.2,91545,4273991,42.7
2019-10-01,ONGC, EQ, 01-Oct-2019,131.8,131.5,133.35,126.75,128.4,128.2,130.03,10259184,13340.49,57126,2819010,27.48
2019-10-03,ONGC, EQ, 03-Oct-2019,128.2,128.2,129.85,125.4,129.1,128.1,128.15,7082143,9075.76,59178,1444541,20.4
2019-10-04,ONGC, EQ, 04-Oct-2019,128.1,129.95,132.75,127.3,129.35,129.55,129.93,20137433,26164.77,110086,5562084,27.62
2019-10-07,ONGC, EQ, 07-Oct-2019,129.55,129.55,129.75,125.4,125.75,126.55,127.34,9194007,11707.69,49402,3130664,34.05
2019-10-09,ONGC, EQ, 09-Oct-2019,126.55,126.45,127.15,123.95,126.0,125.85,125.79,15309757,19258.02,69880,6306963,41.2
2019-10-10,ONGC, EQ, 10-Oct-2019,125.85,125.85,127.1,125.1,125.75,125.5,126.13,6169256,7781.49,35552,1652022,26.78
2019-10-11,ONGC, EQ, 11-Oct-2019,125.5,126.3,129.9,126.1,129.45,129.0,128.56,11840486,15222.13,72510,3591493,30.33
2019-10-14,ONGC, EQ, 14-Oct-2019,129.0,129.45,136.45,129.0,136.1,135.25,134.0,19460416,26077.07,98549,7964948,40.93
2019-10-15,ONGC, EQ, 15-Oct-2019,135.25,137.0,139.15,135.35,138.9,138.65,137.23,17145941,23529.89,101935,5620057,32.78
2019-10-16,ONGC, EQ, 16-Oct-2019,138.65,140.0,143.2,138.3,143.0,141.65,139.87,15149481,21190.33,96543,4984172,32.9
2019-10-17,ONGC, EQ, 17-Oct-2019,141.65,141.1,141.9,139.15,140.95,141.4,140.41,9372042,13158.96,77899,3147594,33.58
2019-10-18,ONGC, EQ, 18-Oct-2019,141.4,140.1,144.5,139.9,142.9,143.5,142.76,17597233,25121.84,72826,10269788,58.36
2019-10-22,ONGC, EQ, 22-Oct-2019,143.5,143.5,146.15,142.2,144.1,144.25,144.05,11582273,16684.61,78481,5265682,45.46
2019-10-23,ONGC, EQ, 23-Oct-2019,144.25,144.25,144.95,141.25,142.0,141.9,142.37,7500868,10679.06,57383,1762771,23.5
2019-10-24,ONGC, EQ, 24-Oct-2019,141.9,141.9,142.2,139.05,141.1,140.7,140.48,6919238,9720.24,49325,1918663,27.73
2019-10-25,ONGC, EQ, 25-Oct-2019,140.7,141.6,141.6,138.1,139.5,139.55,139.67,6636201,9269.09,50404,2844743,42.87
2019-10-27,ONGC, EQ, 27-Oct-2019,139.55,140.35,140.85,139.0,140.2,139.85,139.89,698557,977.24,6907,163532,23.41
2019-10-29,ONGC, EQ, 29-Oct-2019,139.85,140.55,143.85,138.2,141.95,142.15,142.18,8236221,11710.18,47581,3453148,41.93
2019-10-30,ONGC, EQ, 30-Oct-2019,142.15,144.0,144.0,139.8,140.5,140.55,141.64,7064774,10006.41,36774,2517136,35.63
2019-10-31,ONGC, EQ, 31-Oct-2019,140.55,140.6,142.2,139.65,141.6,141.7,140.64,22281969,31337.33,55207,16191078,72.66
2019-11-01,ONGC, EQ, 01-Nov-2019,141.7,140.55,144.75,140.1,144.6,144.15,142.71,8049866,11488.2,43082,2967669,36.87
2019-11-04,ONGC, EQ, 04-Nov-2019,144.15,144.15,149.65,144.15,148.2,147.4,146.91,11733406,17237.52,76946,4776775,40.71
2019-11-05,ONGC, EQ, 05-Nov-2019,147.4,148.2,148.75,145.0,146.9,146.35,146.92,7883507,11582.68,48132,2802812,35.55
2019-11-06,ONGC, EQ, 06-Nov-2019,146.35,146.35,148.0,143.85,144.5,144.65,145.96,6207456,9060.61,40832,2382282,38.38
2019-11-07,ONGC, EQ, 07-Nov-2019,144.65,144.95,145.05,140.4,142.05,142.05,142.29,7332352,10432.94,30859,2759050,37.63
2019-11-08,ONGC, EQ, 08-Nov-2019,142.05,141.95,143.5,137.6,138.0,138.3,140.31,8252930,11579.35,38232,3544023,42.94
2019-11-11,ONGC, EQ, 11-Nov-2019,138.3,138.4,139.75,136.65,138.85,139.1,138.51,7032172,9740.34,34553,2246833,31.95
2019-11-13,ONGC, EQ, 13-Nov-2019,139.1,139.1,140.4,137.5,137.5,138.2,139.02,7969923,11079.5,37533,3761804,47.2
2019-11-14,ONGC, EQ, 14-Nov-2019,138.2,138.2,139.25,135.65,136.0,136.2,137.02,8178628,11206.5,36452,3526268,43.12
2019-11-15,ONGC, EQ, 15-Nov-2019,136.2,137.3,138.8,135.15,135.35,135.55,136.7,8390855,11470.43,50741,2557122,30.48
2019-11-18,ONGC, EQ, 18-Nov-2019,135.55,135.45,136.1,133.2,133.5,133.9,134.04,6851414,9183.7,35215,3619092,52.82
2019-11-19,ONGC, EQ, 19-Nov-2019,133.9,135.0,135.1,132.8,133.1,133.25,133.31,5821375,7760.21,39152, 2809690, 48.27
2019-11-20,ONGC, EQ, 20-Nov-2019,133.25,132.85,135.25,132.25,133.5,133.7,133.85,7657346,10249.46,42497, 3152347, 41.17
2019-11-21,ONGC, EQ, 21-Nov-2019,133.7,133.7,134.5,130.6,130.8,131.15,131.66,7946555,10462.14,54779,3717210,46.78
2019-11-22,ONGC, EQ, 22-Nov-2019,131.15,131.0,134.65,130.8,133.7,133.85,133.09,6323556,8416.17,37281,1961415,31.02
2019-11-25,ONGC, EQ, 25-Nov-2019,133.85,133.85,134.55,130.5,130.8,130.95,131.85,11930938,15731.19,40248,6879698,57.66
2019-11-26,ONGC, EQ, 26-Nov-2019,130.95,131.85,133.4,129.25,130.1,130.25,131.11,16115025,21128.78,55473, 9434141, 58.54
2019-11-27,ONGC, EQ, 27-Nov-2019,130.25,130.4,133.05,129.55,132.7,132.65,131.18,5343104,7009.17,28518,2146080,40.17
2019-11-28,ONGC, EQ, 28-Nov-2019,132.65,132.4,133.55,131.1,133.4,133.15,132.28,6663638,8814.88,31070,2978849,44.7
2019-11-29,ONGC, EQ, 29-Nov-2019,133.15,133.05,133.45,130.5,131.35,131.75,131.71,9434148,12425.85,37730,5230179,55.44
2019-12-02,ONGC, EQ, 02-Dec-2019,131.75,131.05,131.45,127.55,128.6,128.1,128.71,15010167,19319.58,73531, 8426731, 56.14
2019-12-03,ONGC, EQ, 03-Dec-2019,128.1,128.1,128.4,126.0,127.25,127.65,127.36,7809967,9947.03,55400,3745108,47.95
2019-12-04,ONGC, EQ, 04-Dec-2019,127.65,126.9,130.65,126.85,130.2,130.05,129.04,5821599,7511.96,39147,2143047,36.81
2019-12-05,ONGC, EQ, 05-Dec-2019,130.05,129.3,130.4,128.45,128.9,128.9,129.09,4185400,5403.04,26172,1254468,29.97
2019-12-06,ONGC, EQ, 06-Dec-2019,128.9,129.5,129.5,126.3,126.5,126.55,127.04,5097809,6476.42,34833,2030402,39.83
2019-12-09,ONGC, EQ, 09-Dec-2019,126.55,126.9,127.8,125.6,126.35,126.3,126.82,3841176,4871.43,28907,1649591,42.94
2019-12-10,ONGC, EQ, 10-Dec-2019,126.3,126.4,128.3,124.9,125.25,125.2,126.58,6125011,7753.26,41921,2422247,39.55
2019-12-11,ONGC, EQ, 11-Dec-2019,125.2,126.1,128.5,125.0,128.0,128.0,126.53,6878932,8703.83,51393,3535458,51.4
2019-12-12,ONGC, EQ, 12-Dec-2019,128.0,128.1,128.3,125.35,126.0,125.9,126.01,9804404,12354.83,64262,5737523,58.52
2019-12-13,ONGC, EQ, 13-Dec-2019,125.9,126.45,127.45,126.0,126.55,126.5,126.59,6663052,8435.02,30756,3385303,50.81
2019-12-16,ONGC, EQ, 16-Dec-2019,126.5,126.5,126.95,125.0,125.3,125.6,125.74,6241723,7848.21,37576,3156607,50.57
2019-12-17,ONGC, EQ, 17-Dec-2019,125.6,125.15,126.0,124.3,125.75,125.3,125.04,8062616,10081.74,52136,4846982,60.12
2019-12-18,ONGC, EQ, 18-Dec-2019,125.3,125.6,125.65,124.15,125.2,125.1,124.83,6687482,8347.81,45239,3813215,57.02
2019-12-19,ONGC, EQ, 19-Dec-2019,125.1,125.1,126.85,124.2,125.6,125.7,125.8,6223102,7828.35,43622,2252204,36.19
2019-12-20,ONGC, EQ, 20-Dec-2019,125.7,126.0,126.8,124.85,125.25,125.15,125.51,8515990,10688.77,48733,4299385,50.49
2019-12-23,ONGC, EQ, 23-Dec-2019,125.15,124.9,126.3,124.05,124.7,124.65,124.99,10466423,13081.79,30640,6423411,61.37
2019-12-24,ONGC, EQ, 24-Dec-2019,124.65,124.9,126.6,124.7,125.6,126.0,126.03,9979742,12577.15,39465,4722701,47.32
2019-12-26,ONGC, EQ, 26-Dec-2019,126.0,126.0,129.55,124.5,129.15,128.0,127.25,23164167,29476.09,55317,10404426,44.92
2019-12-27,ONGC, EQ, 27-Dec-2019,128.0,129.5,129.9,127.2,128.2,128.4,128.44,8435235,10834.04,42716,2721594,32.26
2019-12-30,ONGC, EQ, 30-Dec-2019,128.4,128.4,129.25,127.1,127.95,127.95,128.04,4023932,5152.42,25065,1732828,43.06
2019-12-31,ONGC, EQ, 31-Dec-2019,127.95,127.2,129.25,127.2,128.55,128.8,128.43,5102473,6552.94,28151,2220217,43.51
2020-01-01,ONGC, EQ, 01-Jan-2020,128.8,128.75,128.9,126.85,127.05,127.45,127.81,2574894,3290.88,18298,770244,29.91
2020-01-02,ONGC, EQ, 02-Jan-2020,127.45,127.65,128.65,127.1,128.1,128.05,127.85,4759843,6085.51,29181,1985576,41.72
2020-01-03,ONGC, EQ, 03-Jan-2020,128.05,131.0,133.4,128.05,128.1,128.45,130.41,31381588,40924.72,135658,7628913,24.31
2020-01-06,ONGC, EQ, 06-Jan-2020,128.45,129.7,129.8,125.1,126.3,126.25,127.2,14611204,18584.92,82139,5005382,34.26
2020-01-07,ONGC, EQ, 07-Jan-2020,126.25,125.6,127.7,125.4,125.75,125.75,126.31,7193304,9086.0,46745,2003280,27.85
2020-01-08,ONGC, EQ, 08-Jan-2020,125.75,125.0,125.45,123.2,123.45,123.45,124.12,6236192,7740.07,38206,2206936,35.39
2020-01-09,ONGC, EQ, 09-Jan-2020,123.45,124.95,125.1,122.8,123.95,123.7,123.75,10135017,12541.83,76527,5387480,53.16
2020-01-10,ONGC, EQ, 10-Jan-2020,123.7,124.45,125.2,123.7,124.05,124.15,124.45,6550218,8151.42,39961,3056570,46.66
2020-01-13,ONGC, EQ, 13-Jan-2020,124.15,124.25,125.7,124.25,125.55,125.45,125.09,5737187,7176.56,30159,2642057,46.05
2020-01-14,ONGC, EQ, 14-Jan-2020,125.45,125.45,125.65,123.8,125.1,125.05,124.63,12432511,15494.6,63351,6898124,55.48
2020-01-15,ONGC, EQ, 15-Jan-2020,125.05,125.05,125.5,124.25,124.6,124.65,124.72,5714614,7127.05,33047,2916520,51.04
2020-01-16,ONGC, EQ, 16-Jan-2020,124.65,125.0,125.2,124.05,124.65,124.5,124.48,7322878,9115.81,40534,4160276,56.81
2020-01-17,ONGC, EQ, 17-Jan-2020,124.5,124.55,125.55,124.0,125.4,125.4,124.79,8561603,10683.82,30925, 5049114, 58.97
2020-01-20,ONGC, EQ, 20-Jan-2020,125.4,126.0,126.75,120.0,124.0,122.9,125.02,16106541,20137.08,57991,8578494,53.26
2020-01-21,ONGC, EQ, 21-Jan-2020,122.9,123.05,124.5,122.4,122.8,122.75,123.33,6497799,8013.79,38709,2823391,43.45
2020-01-22,ONGC, EQ, 22-Jan-2020,122.75,122.0,122.0,116.0,116.3,116.4,117.95,23639592,27881.82,124991,10730412,45.39
2020-01-23,ONGC, EQ, 23-Jan-2020,116.4,117.25,118.95,116.4,117.4,117.8,117.78,21105999,24858.37,83127,9418213,44.62
2020-01-24,ONGC, EQ, 24-Jan-2020,117.8,118.0,119.8,117.3,118.7,118.35,118.83,11172364,13276.01,53595,4808358,43.04
2020-01-27,ONGC, EQ, 27-Jan-2020,118.35,118.35,118.5,116.8,117.55,117.25,117.62,12078165,14205.91,37752,7160784,59.29
2020-01-28,ONGC, EQ, 28-Jan-2020,117.25,117.55,117.7,115.6,116.75,116.6,116.64,11611352,13543.68,47189,5509939,47.45
2020-01-29,ONGC, EQ, 29-Jan-2020,116.6,117.35,118.15,116.45,118.0,117.65,117.54,15562740,18292.33,50710,7169368,46.07
2020-01-30,ONGC, EQ, 30-Jan-2020,117.65,117.55,117.55,115.0,115.5,115.6,116.28,21142714,24585.17,59600,10601100,50.14
2020-01-31,ONGC, EQ, 31-Jan-2020,115.6,115.8,116.0,106.75,110.4,108.95,110.04,83360147,91732.67,225052,44114329,52.92
2020-02-01,ONGC, EQ, 01-Feb-2020,108.95,109.0,109.55,102.7,104.0,104.35,106.84,31282518,33421.79,143131,13805423,44.13
2020-02-03,ONGC, EQ, 03-Feb-2020,104.35,104.35,104.95,101.55,103.15,103.45,103.68,18445537,19123.9,100644,5575326,30.23
2020-02-04,ONGC, EQ, 04-Feb-2020,103.45,104.1,106.9,103.8,106.25,106.15,105.51,16896688,17827.66,66962,8008414,47.4
