Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,PAGEIND, EQ, 23-Aug-2019,17677.4,17699.0,18200.0,17150.0,18168.85,18107.3,17627.16,29924,5274.75,9041,13223,44.19
2019-10-01,PAGEIND, EQ, 01-Oct-2019,22517.85,22699.9,22900.0,21830.65,22012.0,22022.75,22221.45,22756,5056.71,10247,6879,30.23
2019-10-03,PAGEIND, EQ, 03-Oct-2019,22022.75,21830.6,22044.35,21500.0,21690.0,21633.9,21678.83,29043,6296.18,13427,15662,53.93
2019-10-04,PAGEIND, EQ, 04-Oct-2019,21633.9,21779.95,21949.95,20941.0,20950.0,21084.25,21410.53,28279,6054.68,10473,13699,48.44
2019-10-07,PAGEIND, EQ, 07-Oct-2019,21084.25,21078.0,21371.45,20800.0,20900.0,21018.15,21128.45,20988,4434.44,8517,10499,50.02
2019-10-09,PAGEIND, EQ, 09-Oct-2019,21018.15,21019.1,21631.45,20888.5,21360.05,21494.85,21380.12,28640,6123.27,10480,13557,47.34
2019-10-10,PAGEIND, EQ, 10-Oct-2019,21494.85,21494.85,21494.85,20990.0,21351.5,21258.3,21224.78,21624,4589.65,9671,10044,46.45
2019-10-11,PAGEIND, EQ, 11-Oct-2019,21258.3,21355.15,21512.2,20742.0,20801.0,20834.65,20940.94,33238,6960.35,14889,16644,50.08
2019-10-14,PAGEIND, EQ, 14-Oct-2019,20834.65,20900.0,21260.0,20752.05,20935.0,21009.35,20964.76,25384,5321.69,10857,12324,48.55
2019-10-15,PAGEIND, EQ, 15-Oct-2019,21009.35,21000.0,21777.0,20800.0,21100.05,21093.5,21247.29,41757,8872.23,13892,18751,44.91
2019-10-16,PAGEIND, EQ, 16-Oct-2019,21093.5,21150.0,21297.45,20700.0,20900.0,20816.6,20898.56,29531,6171.55,10622,15094,51.11
2019-10-17,PAGEIND, EQ, 17-Oct-2019,20816.6,20900.0,21755.0,20852.15,21524.95,21555.4,21428.58,38218,8189.58,15253,19383,50.72
2019-10-18,PAGEIND, EQ, 18-Oct-2019,21555.4,21480.0,21652.0,21210.0,21480.1,21498.45,21517.17,31520,6782.21,11407,16234,51.5
2019-10-22,PAGEIND, EQ, 22-Oct-2019,21498.45,21580.0,22699.0,21533.75,22699.0,22454.45,22263.61,42523,9467.16,14563,16473,38.74
2019-10-23,PAGEIND, EQ, 23-Oct-2019,22454.45,22594.7,22877.9,22211.9,22599.0,22522.9,22531.94,39162,8823.96,14717,18410,47.01
2019-10-24,PAGEIND, EQ, 24-Oct-2019,22522.9,22530.0,23098.95,22522.9,22822.0,22934.65,22805.33,24472,5580.92,8460,11694,47.79
2019-10-25,PAGEIND, EQ, 25-Oct-2019,22934.65,22823.0,23585.8,22800.0,23580.0,23415.85,23244.14,34026,7909.05,9917,16115,47.36
2019-10-27,PAGEIND, EQ, 27-Oct-2019,23415.85,23450.0,23899.8,23072.65,23438.3,23349.9,23487.31,4661,1094.74,1867,1220,26.17
2019-10-29,PAGEIND, EQ, 29-Oct-2019,23349.9,23350.05,24100.0,22931.2,24063.75,24041.45,23709.91,31012,7352.92,12159,14414,46.48
2019-10-30,PAGEIND, EQ, 30-Oct-2019,24041.45,24187.0,24748.0,23700.0,24641.0,24591.65,24349.37,21159,5152.08,8135,6837,32.31
2019-10-31,PAGEIND, EQ, 31-Oct-2019,24591.65,24600.0,26201.0,24300.0,25950.0,25750.9,25331.44,48783,12357.44,17831,21122,43.3
2019-11-01,PAGEIND, EQ, 01-Nov-2019,25750.9,25800.0,25850.0,24706.45,24949.9,25049.8,25133.34,30366,7631.99,13244,7852,25.86
2019-11-04,PAGEIND, EQ, 04-Nov-2019,25049.8,25156.0,25331.85,24410.0,24655.2,24603.7,24683.24,19687,4859.39,8448,6412,32.57
2019-11-05,PAGEIND, EQ, 05-Nov-2019,24603.7,24655.0,24762.65,24055.0,24055.0,24157.15,24274.44,15354,3727.1,5681,6330,41.23
2019-11-06,PAGEIND, EQ, 06-Nov-2019,24157.15,24000.0,24120.0,23737.1,23920.0,23896.65,23909.76,15894,3800.22,6888,4573,28.77
2019-11-07,PAGEIND, EQ, 07-Nov-2019,23896.65,23920.0,24343.45,23743.75,23950.0,24037.45,24051.84,20669,4971.28,8230,6965,33.7
2019-11-08,PAGEIND, EQ, 08-Nov-2019,24037.45,23950.0,24899.9,23917.35,24352.0,24403.1,24463.78,34309,8393.28,11054,14181,41.33
