Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,PERSISTENT, EQ, 23-Aug-2019,571.3,571.0,576.25,527.05,538.0,541.1,548.03,133440,731.29,13231,52676,39.48
2019-10-01,PERSISTENT, EQ, 01-Oct-2019,569.95,575.95,578.5,556.0,561.05,561.0,566.75,28267,160.2,2407,15171,53.67
2019-10-03,PERSISTENT, EQ, 03-Oct-2019,561.0,561.05,566.0,556.0,560.1,557.55,557.99,27794,155.09,2249,16246,58.45
2019-10-04,PERSISTENT, EQ, 04-Oct-2019,557.55,560.0,580.0,551.0,556.0,557.35,557.79,19999,111.55,1884,8669,43.35
2019-10-07,PERSISTENT, EQ, 07-Oct-2019,557.35,556.85,585.0,546.65,584.0,575.85,572.76,66426,380.46,4284,16264,24.48
2019-10-09,PERSISTENT, EQ, 09-Oct-2019,575.85,580.5,582.0,554.45,572.05,574.45,566.42,47020,266.33,2881,27856,59.24
2019-10-10,PERSISTENT, EQ, 10-Oct-2019,574.45,578.3,578.3,566.0,567.0,567.35,568.44,14688,83.49,1103,10552,71.84
2019-10-11,PERSISTENT, EQ, 11-Oct-2019,567.35,566.85,578.0,560.0,575.35,575.8,567.66,20416,115.89,1481,12389,60.68
2019-10-14,PERSISTENT, EQ, 14-Oct-2019,575.8,564.0,590.0,551.5,584.9,584.35,575.1,69811,401.49,6080,32666,46.79
2019-10-15,PERSISTENT, EQ, 15-Oct-2019,584.35,592.8,593.65,577.25,586.25,588.3,587.12,41612,244.31,7415,30434,73.14
2019-10-16,PERSISTENT, EQ, 16-Oct-2019,588.3,595.0,603.4,585.1,600.8,600.2,592.14,166291,984.67,10211,140293,84.37
2019-10-17,PERSISTENT, EQ, 17-Oct-2019,600.2,593.35,619.0,593.35,604.0,606.75,610.06,117182,714.88,9918,62144,53.03
2019-10-18,PERSISTENT, EQ, 18-Oct-2019,606.75,610.0,629.0,597.15,626.0,622.55,616.03,83147,512.21,6471,54283,65.29
2019-10-22,PERSISTENT, EQ, 22-Oct-2019,622.55,620.0,635.0,608.5,629.0,618.75,623.15,75143,468.25,8813,41956,55.83
2019-10-23,PERSISTENT, EQ, 23-Oct-2019,618.75,620.0,633.0,601.0,602.2,602.6,605.2,109834,664.72,5349,83604,76.12
2019-10-24,PERSISTENT, EQ, 24-Oct-2019,602.6,604.0,624.0,600.65,605.0,608.65,611.13,49209,300.73,4484,21387,43.46
2019-10-25,PERSISTENT, EQ, 25-Oct-2019,608.65,612.0,614.7,583.95,603.8,602.55,596.26,109689,654.04,6921,62291,56.79
2019-10-27,PERSISTENT, EQ, 27-Oct-2019,602.55,609.95,609.95,595.2,596.3,599.4,600.8,3596,21.6,560,2120,58.95
2019-10-29,PERSISTENT, EQ, 29-Oct-2019,599.4,600.0,610.0,590.5,601.0,604.1,601.87,19554,117.69,1247,11265,57.61
2019-10-30,PERSISTENT, EQ, 30-Oct-2019,604.1,607.0,610.0,600.0,602.0,602.05,601.94,36397,219.09,2735,23234,63.83
2019-10-31,PERSISTENT, EQ, 31-Oct-2019,602.05,609.0,634.5,601.0,621.0,619.6,623.17,336975,2099.91,8644,274806,81.55
2019-11-01,PERSISTENT, EQ, 01-Nov-2019,619.6,624.0,624.6,612.55,614.95,614.2,614.62,236005,1450.52,3253,225042,95.35
2019-11-04,PERSISTENT, EQ, 04-Nov-2019,614.2,621.55,623.0,582.7,601.0,598.1,605.51,84780,513.35,4207,45991,54.25
2019-11-05,PERSISTENT, EQ, 05-Nov-2019,598.1,610.0,610.0,590.15,591.65,598.9,602.58,503651,3034.91,5715,457508,90.84
2019-11-06,PERSISTENT, EQ, 06-Nov-2019,598.9,597.9,602.5,587.5,601.3,602.0,600.08,46359,278.19,2018,32855,70.87
2019-11-07,PERSISTENT, EQ, 07-Nov-2019,602.0,600.15,616.0,600.15,611.75,612.1,609.56,96462,588.0,7189,49878,51.71
2019-11-08,PERSISTENT, EQ, 08-Nov-2019,612.1,610.0,622.0,602.25,615.25,615.05,617.28,118527,731.64,3970,91710,77.37
2019-11-11,PERSISTENT, EQ, 11-Nov-2019,615.05,610.15,621.0,607.05,615.5,616.85,618.12,89285,551.88,2503,74989,83.99
2019-11-13,PERSISTENT, EQ, 13-Nov-2019,616.85,627.7,627.7,618.0,623.0,624.65,620.81,126521,785.45,4465,107726,85.14
2019-11-14,PERSISTENT, EQ, 14-Nov-2019,624.65,622.0,674.0,620.0,666.0,665.35,657.52,440577,2896.89,15181,106235,24.11
2019-11-15,PERSISTENT, EQ, 15-Nov-2019,665.35,666.05,672.0,633.85,652.05,652.65,652.56,175381,1144.46,13183,91524,52.19
2019-11-18,PERSISTENT, EQ, 18-Nov-2019,652.65,653.7,678.0,635.05,642.85,647.75,665.73,228434,1520.76,7166,111017,48.6
2019-11-19,PERSISTENT, EQ, 19-Nov-2019,647.75,651.95,670.0,651.95,660.0,660.1,659.89,90993,600.45,5365, 47794, 52.52
2019-11-20,PERSISTENT, EQ, 20-Nov-2019,660.1,665.0,668.0,660.1,665.7,665.3,664.2,54531,362.2,2993, 31152, 57.13
2019-11-21,PERSISTENT, EQ, 21-Nov-2019,665.3,665.0,690.0,665.0,686.55,687.4,682.68,257443,1757.5,11695,147482,57.29
2019-11-22,PERSISTENT, EQ, 22-Nov-2019,687.4,688.05,700.0,665.0,667.8,672.45,687.52,190486,1309.63,10229,51848,27.22
2019-11-25,PERSISTENT, EQ, 25-Nov-2019,672.45,671.95,677.0,667.15,669.0,672.6,672.61,89583,602.54,3541,61485,68.63
