Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,PETRONET, EQ, 23-Aug-2019,238.75,238.55,242.0,237.25,238.25,238.8,239.2,2151636,5146.61,51982,1428241,66.38,Oil & Gas
2019-10-01,PETRONET, EQ, 01-Oct-2019,259.9,261.0,263.8,253.4,259.0,258.65,260.72,3866087,10079.65,54910,2383821,61.66,Oil & Gas
2019-10-03,PETRONET, EQ, 03-Oct-2019,258.65,258.65,263.15,256.75,257.5,258.0,259.66,2753985,7150.99,47391,1667629,60.55,Oil & Gas
2019-10-04,PETRONET, EQ, 04-Oct-2019,258.0,258.3,261.4,255.45,255.6,255.9,258.45,1913486,4945.33,36328,1100211,57.5,Oil & Gas
2019-10-07,PETRONET, EQ, 07-Oct-2019,255.9,255.9,259.0,255.3,255.95,256.65,256.98,1858005,4774.74,22822,1118199,60.18,Oil & Gas
2019-10-09,PETRONET, EQ, 09-Oct-2019,256.65,256.65,259.35,255.1,257.25,257.55,257.44,4262340,10972.89,43950,3022393,70.91,Oil & Gas
2019-10-10,PETRONET, EQ, 10-Oct-2019,257.55,257.25,260.05,257.0,258.9,258.65,258.4,2069638,5347.88,36538,1345348,65.0,Oil & Gas
2019-10-11,PETRONET, EQ, 11-Oct-2019,258.65,258.75,259.4,255.15,257.45,257.2,257.23,2670249,6868.76,62384,1923543,72.04,Oil & Gas
2019-10-14,PETRONET, EQ, 14-Oct-2019,257.2,258.9,261.8,257.45,258.3,258.85,259.56,1664770,4321.05,28886,783422,47.06,Oil & Gas
2019-10-15,PETRONET, EQ, 15-Oct-2019,258.85,258.9,260.5,257.6,259.3,259.25,259.2,1809678,4690.7,52687,992248,54.83,Oil & Gas
2019-10-16,PETRONET, EQ, 16-Oct-2019,259.25,261.8,262.95,258.25,261.8,261.75,260.79,2832581,7386.98,47569,2164189,76.4,Oil & Gas
2019-10-17,PETRONET, EQ, 17-Oct-2019,261.75,261.5,264.85,261.15,263.35,262.95,262.97,2910624,7654.07,46922,1901195,65.32,Oil & Gas
2019-10-18,PETRONET, EQ, 18-Oct-2019,262.95,262.95,267.95,262.6,266.95,267.3,266.26,2301727,6128.48,46054,1112501,48.33,Oil & Gas
2019-10-22,PETRONET, EQ, 22-Oct-2019,267.3,268.95,277.5,267.85,275.15,275.1,274.21,5498814,15078.06,121053,3013113,54.8,Oil & Gas
2019-10-23,PETRONET, EQ, 23-Oct-2019,275.1,276.8,277.45,268.15,269.5,269.2,271.14,2464570,6682.4,55274,1003071,40.7,Oil & Gas
2019-10-24,PETRONET, EQ, 24-Oct-2019,269.2,270.0,270.95,266.05,269.65,269.1,268.73,3099624,8329.56,43150,2110693,68.1,Oil & Gas
2019-10-25,PETRONET, EQ, 25-Oct-2019,269.1,271.65,272.9,268.5,271.1,271.25,271.02,2139789,5799.35,46246,1315729,61.49,Oil & Gas
2019-10-27,PETRONET, EQ, 27-Oct-2019,271.25,274.7,274.7,271.5,272.45,272.6,273.0,227254,620.4,3678,107878,47.47,Oil & Gas
2019-10-29,PETRONET, EQ, 29-Oct-2019,272.6,273.55,281.4,272.0,279.0,279.15,276.64,5233555,14478.35,119421,3070107,58.66,Oil & Gas
2019-10-30,PETRONET, EQ, 30-Oct-2019,279.15,289.0,297.75,280.5,286.1,285.5,290.04,13204144,38297.83,172948,4103792,31.08,Oil & Gas
2019-10-31,PETRONET, EQ, 31-Oct-2019,285.5,287.5,289.8,285.35,286.0,286.4,286.65,4495870,12887.35,102509,3054676,67.94,Oil & Gas
