Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,PFC, EQ, 23-Aug-2019,101.7,101.5,104.1,97.7,101.6,101.85,101.51,7278097,7387.79,42203,2036690,27.98,Financials
2019-10-01,PFC, EQ, 01-Oct-2019,99.4,99.5,102.4,93.2,95.7,95.8,98.01,13137217,12875.67,41647,3985426,30.34,Financials
2019-10-03,PFC, EQ, 03-Oct-2019,95.8,93.8,96.8,93.55,95.0,95.1,94.99,11327793,10760.1,49909,3129249,27.62,Financials
2019-10-04,PFC, EQ, 04-Oct-2019,95.1,95.65,97.95,94.05,94.35,95.05,96.34,7572521,7295.47,46873,2033549,26.85,Financials
2019-10-07,PFC, EQ, 07-Oct-2019,95.05,95.0,96.0,93.0,93.0,94.65,95.17,5883792,5599.47,21387,2337847,39.73,Financials
2019-10-09,PFC, EQ, 09-Oct-2019,94.65,94.65,95.95,92.9,95.0,94.6,94.76,9440072,8945.38,30409,5208087,55.17,Financials
2019-10-10,PFC, EQ, 10-Oct-2019,94.6,94.45,95.65,92.1,92.3,92.6,93.68,9707713,9093.71,37794,5249191,54.07,Financials
2019-10-11,PFC, EQ, 11-Oct-2019,92.6,92.65,93.3,90.45,91.55,91.5,91.76,8389070,7697.98,25519,3574278,42.61,Financials
2019-10-14,PFC, EQ, 14-Oct-2019,91.5,91.55,96.1,91.55,93.4,93.45,94.12,10733205,10102.03,35220,4558822,42.47,Financials
2019-10-15,PFC, EQ, 15-Oct-2019,93.45,93.9,94.85,92.1,94.6,94.25,93.76,5275305,4946.1,19847,2052779,38.91,Financials
2019-10-16,PFC, EQ, 16-Oct-2019,94.25,94.6,96.25,94.1,95.8,96.0,95.39,8583737,8188.26,29722,4203995,48.98,Financials
2019-10-17,PFC, EQ, 17-Oct-2019,96.0,96.0,96.4,93.15,95.2,95.15,94.6,6824967,6456.32,24959,1262503,18.5,Financials
2019-10-18,PFC, EQ, 18-Oct-2019,95.15,95.2,98.5,94.9,98.1,98.1,97.1,7416468,7201.35,27894,1933804,26.07,Financials
2019-10-22,PFC, EQ, 22-Oct-2019,98.1,98.2,103.15,97.8,101.7,101.5,101.42,9962584,10103.8,46387,4728837,47.47,Financials
2019-10-23,PFC, EQ, 23-Oct-2019,101.5,101.35,105.65,99.5,104.7,104.45,103.55,9303421,9633.85,46745,3730577,40.1,Financials
2019-10-24,PFC, EQ, 24-Oct-2019,104.45,105.0,105.4,103.15,105.0,104.45,104.52,7147440,7470.47,20548,3037168,42.49,Financials
2019-10-25,PFC, EQ, 25-Oct-2019,104.45,105.0,106.6,103.05,106.0,106.1,105.11,5519811,5802.12,21488,2536057,45.94,Financials
