Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,PIDILITIND, EQ, 23-Aug-2019,1361.35,1359.95,1374.0,1355.05,1359.75,1359.7,1366.5,337283,4608.96,15950,99769,29.58
2019-10-01,PIDILITIND, EQ, 01-Oct-2019,1443.75,1450.25,1467.25,1427.25,1438.45,1439.25,1447.37,424063,6137.75,20445,186688,44.02
2019-10-03,PIDILITIND, EQ, 03-Oct-2019,1439.25,1444.9,1447.9,1377.55,1387.0,1393.15,1404.56,435985,6123.69,26247,171434,39.32
2019-10-04,PIDILITIND, EQ, 04-Oct-2019,1393.15,1393.95,1398.3,1364.0,1367.1,1367.85,1378.13,503733,6942.1,23720,133881,26.58
2019-10-07,PIDILITIND, EQ, 07-Oct-2019,1367.85,1368.0,1378.3,1353.1,1365.0,1366.0,1365.59,212755,2905.37,12017,43764,20.57
2019-10-09,PIDILITIND, EQ, 09-Oct-2019,1366.0,1371.8,1376.0,1334.0,1334.6,1336.55,1342.83,1136102,15255.9,27582,747296,65.78
2019-10-10,PIDILITIND, EQ, 10-Oct-2019,1336.55,1336.0,1369.45,1323.0,1358.0,1358.85,1357.26,609318,8270.0,26304,187673,30.8
2019-10-11,PIDILITIND, EQ, 11-Oct-2019,1358.85,1364.15,1382.0,1361.2,1364.6,1365.9,1370.65,372552,5106.38,17032,106706,28.64
2019-10-14,PIDILITIND, EQ, 14-Oct-2019,1365.9,1370.05,1384.8,1359.0,1362.9,1362.25,1368.97,371171,5081.21,15548,146305,39.42
2019-10-15,PIDILITIND, EQ, 15-Oct-2019,1362.25,1369.0,1389.55,1351.55,1377.5,1379.25,1374.18,399563,5490.73,20904,178692,44.72
2019-10-16,PIDILITIND, EQ, 16-Oct-2019,1379.25,1380.0,1384.9,1358.05,1363.0,1360.9,1364.81,562026,7670.58,20396,228477,40.65
2019-10-17,PIDILITIND, EQ, 17-Oct-2019,1360.9,1361.0,1374.85,1353.0,1356.6,1357.2,1358.9,1002807,13627.16,33011,690211,68.83
2019-10-18,PIDILITIND, EQ, 18-Oct-2019,1357.2,1360.0,1378.0,1344.0,1348.05,1351.5,1358.85,826406,11229.63,19966,516694,62.52
2019-10-22,PIDILITIND, EQ, 22-Oct-2019,1351.5,1360.5,1382.0,1344.05,1352.0,1350.2,1362.23,1264508,17225.48,44870,613562,48.52
2019-10-23,PIDILITIND, EQ, 23-Oct-2019,1350.2,1358.65,1362.4,1321.0,1331.0,1325.25,1338.96,803210,10754.68,28094,353484,44.01
2019-10-24,PIDILITIND, EQ, 24-Oct-2019,1325.25,1335.0,1367.95,1331.5,1365.0,1362.8,1352.58,544438,7363.93,21712,210621,38.69
2019-10-25,PIDILITIND, EQ, 25-Oct-2019,1362.8,1368.9,1379.9,1333.0,1341.0,1338.75,1357.9,957873,13006.92,25086,418535,43.69
2019-10-27,PIDILITIND, EQ, 27-Oct-2019,1338.75,1350.0,1354.9,1345.45,1351.3,1351.0,1350.64,80658,1089.4,5422,49638,61.54
2019-10-29,PIDILITIND, EQ, 29-Oct-2019,1351.0,1358.0,1366.5,1351.2,1359.0,1360.65,1357.02,667979,9064.6,59380,455746,68.23
2019-10-30,PIDILITIND, EQ, 30-Oct-2019,1360.65,1374.0,1374.0,1349.2,1365.0,1365.2,1363.03,532190,7253.9,30467,264530,49.71
2019-10-31,PIDILITIND, EQ, 31-Oct-2019,1365.2,1366.55,1414.0,1366.55,1405.5,1401.6,1401.91,1316249,18452.59,55943,467484,35.52
2019-11-01,PIDILITIND, EQ, 01-Nov-2019,1401.6,1409.0,1424.45,1393.1,1396.7,1397.95,1408.75,695464,9797.32,23194,300947,43.27
2019-11-04,PIDILITIND, EQ, 04-Nov-2019,1397.95,1408.0,1408.0,1385.0,1402.5,1399.45,1397.25,461969,6454.87,16375,275709,59.68
2019-11-05,PIDILITIND, EQ, 05-Nov-2019,1399.45,1405.0,1405.0,1377.0,1389.0,1388.8,1386.63,425650,5902.19,21114,193979,45.57
2019-11-06,PIDILITIND, EQ, 06-Nov-2019,1388.8,1396.8,1397.4,1368.6,1371.6,1371.1,1375.53,485868,6683.27,27351,289456,59.58
2019-11-07,PIDILITIND, EQ, 07-Nov-2019,1371.1,1380.0,1385.85,1366.4,1385.0,1382.6,1379.49,331074,4567.12,15592,151650,45.81
2019-11-08,PIDILITIND, EQ, 08-Nov-2019,1382.6,1382.1,1388.7,1345.5,1349.85,1354.15,1366.62,422960,5780.25,17227,209086,49.43
2019-11-11,PIDILITIND, EQ, 11-Nov-2019,1354.15,1360.0,1361.05,1318.0,1321.0,1321.1,1330.73,540826,7196.92,27235,249144,46.07
2019-11-13,PIDILITIND, EQ, 13-Nov-2019,1321.1,1321.0,1346.4,1314.6,1332.9,1324.0,1328.63,1386806,18425.47,52934,681539,49.14
2019-11-14,PIDILITIND, EQ, 14-Nov-2019,1324.0,1318.0,1349.9,1307.75,1334.95,1344.4,1332.32,1435858,19130.27,51797,327879,22.84
2019-11-15,PIDILITIND, EQ, 15-Nov-2019,1344.4,1345.0,1345.0,1314.35,1316.45,1316.65,1324.16,699645,9264.45,46737,359053,51.32
2019-11-18,PIDILITIND, EQ, 18-Nov-2019,1316.65,1319.45,1322.95,1301.0,1306.85,1305.25,1307.38,563361,7365.26,30208,188701,33.5
2019-11-19,PIDILITIND, EQ, 19-Nov-2019,1305.25,1305.0,1306.0,1288.0,1303.3,1298.15,1294.43,694313,8987.38,33723, 356168, 51.30
2019-11-20,PIDILITIND, EQ, 20-Nov-2019,1298.15,1300.1,1333.0,1300.1,1332.95,1328.1,1323.0,867482,11476.76,24770, 338560, 39.03
2019-11-21,PIDILITIND, EQ, 21-Nov-2019,1328.1,1330.55,1334.5,1296.0,1297.85,1299.75,1310.9,494379,6480.81,34652,310487,62.8
2019-11-22,PIDILITIND, EQ, 22-Nov-2019,1299.75,1303.0,1316.45,1288.45,1298.4,1297.9,1302.57,415673,5414.43,16765,156537,37.66
2019-11-25,PIDILITIND, EQ, 25-Nov-2019,1297.9,1305.9,1306.1,1278.0,1300.0,1300.35,1291.41,633584,8182.17,24942,237743,37.52
