Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,PIIND, EQ, 23-Aug-2019,1145.05,1150.0,1152.2,1132.25,1146.5,1144.9,1140.35,189632,2162.47,5209,149033,78.59,Chemicals
2019-10-01,PIIND, EQ, 01-Oct-2019,1307.05,1307.05,1317.0,1235.95,1269.75,1258.75,1289.46,331661,4276.64,13926,250587,75.56,Chemicals
2019-10-03,PIIND, EQ, 03-Oct-2019,1258.75,1260.0,1308.0,1241.05,1306.95,1299.9,1278.36,92331,1180.33,8934,57494,62.27,Chemicals
2019-10-04,PIIND, EQ, 04-Oct-2019,1299.9,1308.0,1312.0,1255.35,1259.0,1278.8,1282.3,61700,791.18,7066,34856,56.49,Chemicals
2019-10-07,PIIND, EQ, 07-Oct-2019,1278.8,1270.0,1300.75,1253.3,1278.15,1281.55,1283.16,63812,818.81,5264,27804,43.57,Chemicals
2019-10-09,PIIND, EQ, 09-Oct-2019,1281.55,1280.0,1316.0,1280.0,1310.0,1308.3,1303.72,145780,1900.57,4742,121454,83.31,Chemicals
2019-10-10,PIIND, EQ, 10-Oct-2019,1308.3,1310.1,1316.45,1280.25,1285.0,1287.9,1297.78,52831,685.63,4807,30443,57.62,Chemicals
2019-10-11,PIIND, EQ, 11-Oct-2019,1287.9,1294.0,1335.8,1281.0,1325.0,1324.1,1317.39,166368,2191.72,6577,110625,66.49,Chemicals
2019-10-14,PIIND, EQ, 14-Oct-2019,1324.1,1332.4,1354.0,1326.15,1336.0,1339.0,1337.21,200034,2674.88,7939,108930,54.46,Chemicals
2019-10-15,PIIND, EQ, 15-Oct-2019,1339.0,1340.0,1340.0,1305.0,1312.2,1316.95,1317.85,236691,3119.22,7100,211382,89.31,Chemicals
2019-10-16,PIIND, EQ, 16-Oct-2019,1316.95,1312.0,1327.0,1311.0,1317.95,1315.05,1317.66,114646,1510.65,4615,97320,84.89,Chemicals
2019-10-17,PIIND, EQ, 17-Oct-2019,1315.05,1312.0,1319.0,1305.0,1313.0,1314.35,1313.38,92947,1220.75,3503,74215,79.85,Chemicals
2019-10-18,PIIND, EQ, 18-Oct-2019,1314.35,1317.9,1317.9,1258.15,1276.0,1278.55,1290.18,213593,2755.73,18757,137567,64.41,Chemicals
2019-10-22,PIIND, EQ, 22-Oct-2019,1278.55,1286.55,1335.0,1285.0,1335.0,1323.2,1316.44,147358,1939.89,10332,109989,74.64,Chemicals
2019-10-23,PIIND, EQ, 23-Oct-2019,1323.2,1331.45,1350.0,1316.0,1346.0,1335.2,1332.83,51387,684.9,5337,29049,56.53,Chemicals
2019-10-24,PIIND, EQ, 24-Oct-2019,1335.2,1380.0,1448.7,1379.65,1430.0,1426.7,1421.72,539258,7666.75,32335,199805,37.05,Chemicals
2019-10-25,PIIND, EQ, 25-Oct-2019,1426.7,1429.85,1435.6,1360.0,1370.0,1369.85,1388.15,124354,1726.21,10694,72507,58.31,Chemicals
2019-10-27,PIIND, EQ, 27-Oct-2019,1369.85,1385.7,1430.0,1384.95,1417.85,1419.65,1412.7,34530,487.8,2837,16474,47.71,Chemicals
2019-10-29,PIIND, EQ, 29-Oct-2019,1419.65,1408.0,1417.0,1372.25,1400.8,1403.65,1393.82,175232,2442.42,14902,97097,55.41,Chemicals
2019-10-30,PIIND, EQ, 30-Oct-2019,1403.65,1410.0,1420.0,1382.5,1410.0,1400.7,1404.05,171026,2401.3,10180,135213,79.06,Chemicals
2019-10-31,PIIND, EQ, 31-Oct-2019,1400.7,1409.45,1441.0,1398.0,1422.7,1428.5,1419.63,95659,1358.01,10609,61643,64.44,Chemicals
2019-11-01,PIIND, EQ, 01-Nov-2019,1428.5,1432.85,1432.85,1385.0,1385.0,1388.25,1405.68,121109,1702.4,8914,89640,74.02,Chemicals
2019-11-04,PIIND, EQ, 04-Nov-2019,1388.25,1393.9,1405.3,1305.55,1381.05,1387.45,1388.65,69046,958.8,5484,26560,38.47,Chemicals
2019-11-05,PIIND, EQ, 05-Nov-2019,1387.45,1389.5,1420.15,1369.0,1385.65,1385.4,1395.65,93176,1300.41,10602,45279,48.6,Chemicals
2019-11-06,PIIND, EQ, 06-Nov-2019,1385.4,1389.8,1404.75,1383.0,1383.4,1387.95,1395.13,73779,1029.31,6717,47366,64.2,Chemicals
2019-11-07,PIIND, EQ, 07-Nov-2019,1387.95,1390.0,1404.75,1385.0,1398.0,1396.05,1394.53,49370,688.48,4867,23091,46.77,Chemicals
2019-11-08,PIIND, EQ, 08-Nov-2019,1396.05,1395.0,1415.0,1389.05,1400.0,1400.25,1403.28,71407,1002.04,6157,42670,59.76,Chemicals
2019-11-11,PIIND, EQ, 11-Nov-2019,1400.25,1405.95,1417.7,1396.05,1415.5,1414.3,1409.48,117479,1655.85,8515,93879,79.91,Chemicals
2019-11-13,PIIND, EQ, 13-Nov-2019,1414.3,1417.0,1424.0,1400.0,1416.5,1416.15,1413.43,104851,1481.99,7147,84075,80.19,Chemicals
2019-11-14,PIIND, EQ, 14-Nov-2019,1416.15,1419.0,1447.15,1405.0,1440.0,1426.7,1417.82,194745,2761.13,7135,159306,81.8,Chemicals
2019-11-15,PIIND, EQ, 15-Nov-2019,1426.7,1433.75,1445.0,1421.0,1435.0,1434.85,1430.99,73911,1057.66,6758,49679,67.21,Chemicals
2019-11-18,PIIND, EQ, 18-Nov-2019,1434.85,1434.85,1443.9,1408.0,1416.0,1426.0,1425.15,45322,645.9,4139,23393,51.62,Chemicals
2019-11-19,PIIND, EQ, 19-Nov-2019,1426.0,1420.05,1472.65,1407.0,1459.5,1456.3,1446.78,94643,1369.27,7362,42342,44.74,Chemicals
2019-11-20,PIIND, EQ, 20-Nov-2019,1456.3,1465.4,1468.0,1443.55,1445.0,1449.05,1455.27,50464,734.39,4270,27828,55.14,Chemicals
2019-11-21,PIIND, EQ, 21-Nov-2019,1449.05,1454.0,1454.0,1414.45,1428.0,1428.65,1427.31,116213,1658.72,13707,80244,69.05,Chemicals
2019-11-22,PIIND, EQ, 22-Nov-2019,1428.65,1437.0,1437.0,1393.05,1399.0,1403.25,1412.71,46106,651.34,4302,30939,67.1,Chemicals
2019-11-25,PIIND, EQ, 25-Nov-2019,1403.25,1405.0,1415.0,1394.0,1402.0,1401.0,1403.3,80765,1133.37,6979,55310,68.48,Chemicals
2019-11-26,PIIND, EQ, 26-Nov-2019,1401.0,1409.75,1409.75,1391.1,1400.0,1397.5,1399.1,166143,2324.51,17475,125557,75.57,Chemicals
2019-11-27,PIIND, EQ, 27-Nov-2019,1397.5,1404.7,1480.8,1400.05,1480.8,1473.25,1454.37,262895,3823.47,14410,155084,58.99,Chemicals
2019-11-28,PIIND, EQ, 28-Nov-2019,1473.25,1487.0,1502.15,1445.85,1475.0,1482.85,1481.44,224068,3319.44,11684,115888,51.72,Chemicals
2019-11-29,PIIND, EQ, 29-Nov-2019,1482.85,1479.0,1500.0,1461.2,1484.0,1481.85,1489.17,112524,1675.68,8815,64829,57.61,Chemicals
2019-12-02,PIIND, EQ, 02-Dec-2019,1481.85,1482.0,1523.95,1468.0,1515.0,1506.55,1497.49,141347,2116.66,7027,99398,70.32,Chemicals
2019-12-03,PIIND, EQ, 03-Dec-2019,1506.55,1515.9,1515.9,1472.0,1474.0,1479.1,1485.66,60722,902.12,8159,38288,63.05,Chemicals
2019-12-04,PIIND, EQ, 04-Dec-2019,1479.1,1479.0,1501.0,1470.05,1495.5,1497.2,1489.83,65302,972.89,6556,47800,73.2,Chemicals
2019-12-05,PIIND, EQ, 05-Dec-2019,1497.2,1497.2,1505.65,1480.0,1480.35,1483.3,1489.02,51611,768.5,8975,34381,66.62,Chemicals
2019-12-06,PIIND, EQ, 06-Dec-2019,1483.3,1489.75,1498.0,1472.4,1487.55,1493.8,1492.25,58995,880.35,4533,40455,68.57,Chemicals
2019-12-09,PIIND, EQ, 09-Dec-2019,1493.8,1499.1,1505.0,1480.8,1484.5,1484.3,1495.56,61579,920.95,6083,43554,70.73,Chemicals
2019-12-10,PIIND, EQ, 10-Dec-2019,1484.3,1493.0,1494.7,1436.4,1444.0,1447.65,1461.51,47740,697.73,6573,27592,57.8,Chemicals
2019-12-11,PIIND, EQ, 11-Dec-2019,1447.65,1442.2,1502.15,1442.2,1484.0,1486.35,1483.77,111046,1647.67,10348,67873,61.12,Chemicals
2019-12-12,PIIND, EQ, 12-Dec-2019,1486.35,1492.75,1496.0,1455.5,1460.0,1461.25,1474.04,355966,5247.1,5207,337645,94.85,Chemicals
2019-12-13,PIIND, EQ, 13-Dec-2019,1461.25,1469.9,1490.0,1462.35,1476.0,1479.35,1471.83,52748,776.36,5563,33090,62.73,Chemicals
2019-12-16,PIIND, EQ, 16-Dec-2019,1479.35,1485.0,1523.95,1473.0,1489.9,1485.9,1498.59,118920,1782.12,12186,68526,57.62,Chemicals
2019-12-17,PIIND, EQ, 17-Dec-2019,1485.9,1492.95,1506.0,1481.0,1499.0,1498.2,1496.87,153818,2302.45,7602,94285,61.3,Chemicals
2019-12-18,PIIND, EQ, 18-Dec-2019,1498.2,1498.2,1498.2,1475.0,1485.0,1483.65,1488.26,29452,438.32,2773,14893,50.57,Chemicals
2019-12-19,PIIND, EQ, 19-Dec-2019,1483.65,1494.75,1495.0,1465.0,1472.5,1467.6,1472.29,42474,625.34,3129,30851,72.64,Chemicals
2019-12-20,PIIND, EQ, 20-Dec-2019,1467.6,1467.6,1487.6,1466.55,1477.0,1476.85,1477.1,119739,1768.66,5623,86235,72.02,Chemicals
2019-12-23,PIIND, EQ, 23-Dec-2019,1476.85,1486.6,1486.6,1470.0,1472.5,1471.0,1472.37,64022,942.64,4362,52444,81.92,Chemicals
2019-12-24,PIIND, EQ, 24-Dec-2019,1471.0,1479.5,1479.5,1445.2,1455.0,1453.25,1460.35,88724,1295.68,3940,64014,72.15,Chemicals
2019-12-26,PIIND, EQ, 26-Dec-2019,1453.25,1462.95,1469.0,1457.5,1460.05,1463.75,1463.62,37436,547.92,4098,29288,78.23,Chemicals
2019-12-27,PIIND, EQ, 27-Dec-2019,1463.75,1474.0,1484.2,1455.0,1460.0,1460.3,1468.12,66298,973.33,3657,47704,71.95,Chemicals
2019-12-30,PIIND, EQ, 30-Dec-2019,1460.3,1467.75,1473.95,1450.0,1450.05,1452.35,1457.32,49632,723.3,6205,25487,51.35,Chemicals
2019-12-31,PIIND, EQ, 31-Dec-2019,1452.35,1459.95,1465.6,1441.55,1445.0,1445.9,1457.49,53752,783.43,10062,31427,58.47,Chemicals
2020-01-01,PIIND, EQ, 01-Jan-2020,1445.9,1450.9,1459.2,1443.55,1451.0,1451.2,1452.68,23503,341.42,1903,14143,60.18,Chemicals
2020-01-02,PIIND, EQ, 02-Jan-2020,1451.2,1454.4,1457.7,1422.1,1438.0,1440.65,1439.98,70833,1019.98,12092,36533,51.58,Chemicals
2020-01-03,PIIND, EQ, 03-Jan-2020,1440.65,1441.9,1453.0,1430.0,1442.0,1444.3,1445.06,38530,556.78,4022,22782,59.13,Chemicals
2020-01-06,PIIND, EQ, 06-Jan-2020,1444.3,1444.0,1444.0,1386.05,1418.0,1419.65,1420.77,100586,1429.1,10771,64646,64.27,Chemicals
2020-01-07,PIIND, EQ, 07-Jan-2020,1419.65,1396.0,1419.6,1374.0,1416.1,1410.25,1405.21,324873,4565.16,17389,235678,72.54,Chemicals
2020-01-08,PIIND, EQ, 08-Jan-2020,1410.25,1405.9,1459.0,1391.05,1439.75,1440.95,1435.69,100206,1438.65,12046,45291,45.2,Chemicals
2020-01-09,PIIND, EQ, 09-Jan-2020,1440.95,1450.1,1464.0,1439.0,1448.95,1445.15,1450.23,96389,1397.86,8095,69682,72.29,Chemicals
2020-01-10,PIIND, EQ, 10-Jan-2020,1445.15,1445.0,1452.85,1421.2,1430.2,1430.9,1442.14,163623,2359.68,4366,143050,87.43,Chemicals
