Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,POLYCAB, EQ, 23-Aug-2019,535.75,532.55,545.45,526.0,545.25,540.25,534.6,37119,198.44,3108,16348,44.04
2019-10-01,POLYCAB, EQ, 01-Oct-2019,685.45,684.7,687.35,656.05,680.5,676.65,672.72,102627,690.39,4382,50646,49.35
2019-10-03,POLYCAB, EQ, 03-Oct-2019,676.65,676.65,692.75,664.05,675.0,675.15,677.22,52237,353.76,2613,19511,37.35
2019-10-04,POLYCAB, EQ, 04-Oct-2019,675.15,679.8,689.0,665.1,667.15,667.5,676.87,42004,284.31,2445,19948,47.49
2019-10-07,POLYCAB, EQ, 07-Oct-2019,667.5,672.0,676.95,664.0,667.1,672.15,671.29,58083,389.91,3122,27901,48.04
2019-10-09,POLYCAB, EQ, 09-Oct-2019,672.15,674.5,675.9,665.55,666.7,667.2,670.51,34764,233.09,2094,18445,53.06
2019-10-10,POLYCAB, EQ, 10-Oct-2019,667.2,666.1,673.7,656.0,658.0,662.15,665.15,35942,239.07,2405,15684,43.64
2019-10-11,POLYCAB, EQ, 11-Oct-2019,662.15,662.2,674.0,662.1,669.9,665.85,668.14,34663,231.6,1810,16601,47.89
2019-10-14,POLYCAB, EQ, 14-Oct-2019,665.85,669.9,675.9,666.0,675.1,672.15,671.05,38252,256.69,2125,23680,61.91
2019-10-15,POLYCAB, EQ, 15-Oct-2019,672.15,674.85,708.25,672.0,700.0,704.8,699.46,401294,2806.87,11123,233050,58.07
2019-10-16,POLYCAB, EQ, 16-Oct-2019,704.8,709.0,737.95,707.55,716.9,718.5,723.44,453595,3281.49,17079,148617,32.76
2019-10-17,POLYCAB, EQ, 17-Oct-2019,718.5,719.6,730.4,711.05,720.0,719.3,721.57,156975,1132.68,7437,65650,41.82
2019-10-18,POLYCAB, EQ, 18-Oct-2019,719.3,722.75,730.0,720.1,724.1,723.6,724.26,134351,973.04,7090,85839,63.89
2019-10-22,POLYCAB, EQ, 22-Oct-2019,723.6,727.25,771.35,726.0,754.75,750.5,748.14,475587,3558.05,24431,232731,48.94
2019-10-23,POLYCAB, EQ, 23-Oct-2019,750.5,753.1,792.0,753.05,788.0,781.15,772.0,487738,3765.35,14433,196366,40.26
2019-10-24,POLYCAB, EQ, 24-Oct-2019,781.15,805.0,837.0,794.0,824.5,826.75,821.19,1376925,11307.14,66395,559559,40.64
