Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,RAMCOCEM, EQ, 23-Aug-2019,705.0,702.45,725.8,698.4,723.9,721.1,712.96,193413,1378.96,6512,42921,22.19,Others
2019-10-01,RAMCOCEM, EQ, 01-Oct-2019,751.9,755.45,755.45,729.95,733.0,734.75,739.06,518198,3829.81,16884,311803,60.17,Others
2019-10-03,RAMCOCEM, EQ, 03-Oct-2019,734.75,734.3,734.3,716.4,721.4,719.05,721.56,230978,1666.65,17003,116798,50.57,Others
2019-10-04,RAMCOCEM, EQ, 04-Oct-2019,719.05,722.45,736.45,711.5,715.0,722.3,726.67,549953,3996.36,15384,361005,65.64,Others
2019-10-07,RAMCOCEM, EQ, 07-Oct-2019,722.3,721.0,721.0,692.85,701.0,700.15,702.42,567055,3983.09,15414,372502,65.69,Others
2019-10-09,RAMCOCEM, EQ, 09-Oct-2019,700.15,702.9,710.0,695.65,708.8,705.8,702.88,446568,3138.84,13350,134869,30.2,Others
2019-10-10,RAMCOCEM, EQ, 10-Oct-2019,705.8,704.5,709.4,697.9,709.4,705.85,704.08,168969,1189.69,6831,37887,22.42,Others
2019-10-11,RAMCOCEM, EQ, 11-Oct-2019,705.85,709.0,723.0,704.0,721.0,719.9,715.17,184670,1320.71,4972,81877,44.34,Others
2019-10-14,RAMCOCEM, EQ, 14-Oct-2019,719.9,718.2,733.9,716.0,718.55,720.6,726.16,181884,1320.77,5451,44132,24.26,Others
2019-10-15,RAMCOCEM, EQ, 15-Oct-2019,720.6,722.0,726.0,716.05,721.65,724.6,723.71,166269,1203.3,3600,77922,46.87,Others
2019-10-16,RAMCOCEM, EQ, 16-Oct-2019,724.6,727.25,732.0,720.0,732.0,730.1,726.88,313243,2276.91,8271,130501,41.66,Others
2019-10-17,RAMCOCEM, EQ, 17-Oct-2019,730.1,732.0,748.0,727.5,741.05,743.8,740.9,379505,2811.76,9091,100382,26.45,Others
2019-10-18,RAMCOCEM, EQ, 18-Oct-2019,743.8,739.0,758.85,739.0,750.2,754.6,751.3,202729,1523.11,5235,59575,29.39,Others
2019-10-22,RAMCOCEM, EQ, 22-Oct-2019,754.6,747.1,762.0,745.75,753.0,751.6,754.42,190999,1440.94,8510,68987,36.12,Others
2019-10-23,RAMCOCEM, EQ, 23-Oct-2019,751.6,751.0,766.4,748.35,751.8,751.8,757.88,222370,1685.29,7449,88283,39.7,Others
2019-10-24,RAMCOCEM, EQ, 24-Oct-2019,751.8,752.0,759.65,739.5,750.55,756.15,749.5,118019,884.56,3162,27948,23.68,Others
2019-10-25,RAMCOCEM, EQ, 25-Oct-2019,756.15,758.1,758.1,740.6,756.0,755.35,750.76,235224,1765.97,5069,133034,56.56,Others
2019-10-27,RAMCOCEM, EQ, 27-Oct-2019,755.35,758.0,758.0,751.0,752.15,753.85,754.69,12580,94.94,550,5279,41.96,Others
