Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,RBLBANK, EQ, 23-Aug-2019,349.35,344.0,360.95,338.25,354.25,354.2,352.69,6928730,24437.11,132733,1407212,20.31,Others
2019-10-01,RBLBANK, EQ, 01-Oct-2019,328.85,331.5,338.6,257.05,303.0,299.35,292.01,42598532,124391.77,454133,5148071,12.09,Others
2019-10-03,RBLBANK, EQ, 03-Oct-2019,299.35,300.0,319.6,292.15,311.5,312.0,307.21,27052594,83107.56,277756,2337081,8.64,Others
2019-10-04,RBLBANK, EQ, 04-Oct-2019,312.0,317.0,325.0,299.15,302.55,302.8,311.59,14897725,46419.79,165568,1190150,7.99,Others
2019-10-07,RBLBANK, EQ, 07-Oct-2019,302.8,304.7,307.1,290.5,304.55,302.65,300.92,10301440,30998.89,95336,636368,6.18,Others
2019-10-09,RBLBANK, EQ, 09-Oct-2019,302.65,304.55,312.0,280.8,310.9,309.6,298.27,20701883,61748.35,197893,1090300,5.27,Others
2019-10-10,RBLBANK, EQ, 10-Oct-2019,309.6,307.0,307.8,283.15,288.0,288.5,294.46,16215356,47747.79,166751,2646915,16.32,Others
2019-10-11,RBLBANK, EQ, 11-Oct-2019,288.5,288.4,292.0,248.1,264.8,266.45,269.25,32361125,87133.86,299175,6314652,19.51,Others
2019-10-14,RBLBANK, EQ, 14-Oct-2019,266.45,266.0,278.35,255.6,256.15,258.9,264.94,23405045,62009.85,203928,4268549,18.24,Others
2019-10-15,RBLBANK, EQ, 15-Oct-2019,258.9,259.1,275.0,241.45,265.0,264.05,258.45,37422869,96719.41,293700,3648960,9.75,Others
2019-10-16,RBLBANK, EQ, 16-Oct-2019,264.05,265.0,273.5,254.4,257.2,258.45,262.36,21728117,57004.95,176841,1584240,7.29,Others
2019-10-17,RBLBANK, EQ, 17-Oct-2019,258.45,255.0,293.5,253.35,288.5,290.2,275.49,30328703,83553.95,237194,2598394,8.57,Others
2019-10-18,RBLBANK, EQ, 18-Oct-2019,290.2,285.0,299.0,280.1,292.9,295.25,291.22,22471544,65441.34,186172,1453864,6.47,Others
2019-10-22,RBLBANK, EQ, 22-Oct-2019,295.25,296.0,298.0,282.0,283.5,286.95,290.21,18285859,53067.72,147983,2515532,13.76,Others
2019-10-23,RBLBANK, EQ, 23-Oct-2019,286.95,258.3,270.75,230.55,260.3,259.15,252.69,55032341,139062.86,507016,8377765,15.22,Others
2019-10-24,RBLBANK, EQ, 24-Oct-2019,259.15,262.3,267.0,246.7,252.1,251.7,256.34,16980368,43526.8,136512,1543301,9.09,Others
2019-10-25,RBLBANK, EQ, 25-Oct-2019,251.7,252.1,263.0,248.0,258.7,260.35,253.96,12491819,31724.18,102437,1150710,9.21,Others
2019-10-27,RBLBANK, EQ, 27-Oct-2019,260.35,261.1,263.5,257.2,260.0,259.25,260.71,1110336,2894.71,12297,281424,25.35,Others
2019-10-29,RBLBANK, EQ, 29-Oct-2019,259.25,263.0,283.35,258.0,276.5,276.4,271.64,16133901,43826.93,122134,2105550,13.05,Others
2019-10-30,RBLBANK, EQ, 30-Oct-2019,276.4,276.4,291.0,273.2,288.45,288.45,283.65,14528128,41209.36,109676,1701728,11.71,Others
2019-10-31,RBLBANK, EQ, 31-Oct-2019,288.45,289.0,325.0,281.4,309.5,310.1,306.94,33504689,102840.47,277894,4417372,13.18,Others
2019-11-01,RBLBANK, EQ, 01-Nov-2019,310.1,312.0,324.8,303.3,309.1,310.45,314.98,19035303,59956.57,159780,2467485,12.96,Others
2019-11-04,RBLBANK, EQ, 04-Nov-2019,310.45,303.9,317.0,300.0,311.0,309.65,311.35,11952222,37212.84,97361,988488,8.27,Others
2019-11-05,RBLBANK, EQ, 05-Nov-2019,309.65,312.95,316.2,296.0,298.0,299.1,307.26,10999661,33798.09,89424,1297725,11.8,Others
2019-11-06,RBLBANK, EQ, 06-Nov-2019,299.1,298.0,307.8,296.4,304.0,304.7,303.09,9234744,27989.5,73326,913811,9.9,Others
2019-11-07,RBLBANK, EQ, 07-Nov-2019,304.7,306.6,319.4,306.5,307.5,308.45,311.53,10313805,32131.04,132706,2057530,19.95,Others
2019-11-08,RBLBANK, EQ, 08-Nov-2019,308.45,308.0,332.75,305.35,323.1,323.9,322.98,23684769,76498.05,219502,3355805,14.17,Others
2019-11-11,RBLBANK, EQ, 11-Nov-2019,323.9,323.1,346.45,319.1,344.7,343.6,337.73,19685006,66482.33,161332,1652268,8.39,Others
2019-11-13,RBLBANK, EQ, 13-Nov-2019,343.6,345.3,352.75,328.8,333.65,332.6,340.59,21763110,74122.93,175020,1672436,7.68,Others
2019-11-14,RBLBANK, EQ, 14-Nov-2019,332.6,335.0,336.0,314.25,319.4,318.0,322.99,16624413,53695.85,131733,2626371,15.8,Others
2019-11-15,RBLBANK, EQ, 15-Nov-2019,318.0,321.0,329.35,316.2,317.6,317.9,322.71,10046670,32421.29,80318,644312,6.41,Others
2019-11-18,RBLBANK, EQ, 18-Nov-2019,317.9,319.85,325.9,311.4,322.1,323.65,319.99,13153241,42088.87,99011,1189738,9.05,Others
2019-11-19,RBLBANK, EQ, 19-Nov-2019,323.65,324.0,327.75,319.15,324.85,322.75,323.35,11081950,35833.82,74786,2039874,18.41,Others
2019-11-20,RBLBANK, EQ, 20-Nov-2019,322.75,324.75,348.35,324.0,344.85,344.65,340.69,21515989,73303.64,160522,1816823,8.44,Others
2019-11-21,RBLBANK, EQ, 21-Nov-2019,344.65,348.5,359.4,333.3,334.1,334.9,343.98,21150686,72754.42,190517,2570364,12.15,Others
2019-11-22,RBLBANK, EQ, 22-Nov-2019,334.9,335.0,363.0,332.5,361.8,359.3,348.31,23261684,81023.82,173609,3578262,15.38,Others
2019-11-25,RBLBANK, EQ, 25-Nov-2019,359.3,365.0,367.0,355.3,359.05,360.8,361.51,16441956,59438.72,143761,1257331,7.65,Others
2019-11-26,RBLBANK, EQ, 26-Nov-2019,360.8,362.0,364.0,343.6,350.0,347.2,352.73,13009441,45888.72,99670,2408432,18.51,Others
2019-11-27,RBLBANK, EQ, 27-Nov-2019,347.2,355.5,371.2,353.25,365.35,367.55,363.34,23618238,85814.23,181311,2271434,9.62,Others
2019-11-28,RBLBANK, EQ, 28-Nov-2019,367.55,372.0,391.2,364.0,381.0,381.0,380.59,33059498,125821.49,274796,5485808,16.59,Others
2019-11-29,RBLBANK, EQ, 29-Nov-2019,381.0,381.9,385.75,366.3,373.5,374.15,377.19,18571094,70048.96,196224,2042511,11.0,Others
