Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,RECLTD, EQ, 23-Aug-2019,138.55,138.25,143.65,135.7,141.55,141.95,140.23,4987918,6994.49,28251,1575457,31.59
2019-10-01,RECLTD, EQ, 01-Oct-2019,123.15,123.4,125.65,121.1,123.9,123.6,123.7,6546324,8097.6,27968,1689907,25.81
2019-10-03,RECLTD, EQ, 03-Oct-2019,123.6,122.75,125.65,121.75,124.6,124.85,123.92,5111048,6333.47,42009,1397838,27.35
2019-10-04,RECLTD, EQ, 04-Oct-2019,124.85,125.5,127.45,123.05,124.6,124.95,125.32,6753946,8464.23,41890,2200388,32.58
2019-10-07,RECLTD, EQ, 07-Oct-2019,124.95,124.95,125.3,122.45,122.85,122.8,123.92,4555743,5645.55,25680,1763556,38.71
2019-10-09,RECLTD, EQ, 09-Oct-2019,122.8,122.8,125.85,119.45,125.2,124.95,123.17,6408847,7893.6,35600,2356319,36.77
2019-10-10,RECLTD, EQ, 10-Oct-2019,124.95,124.3,127.9,123.8,125.6,126.05,126.42,6306076,7971.9,40094,2775720,44.02
2019-10-11,RECLTD, EQ, 11-Oct-2019,126.05,125.4,126.15,122.05,123.0,123.05,123.48,6669197,8235.21,28167,2252596,33.78
2019-10-14,RECLTD, EQ, 14-Oct-2019,123.05,124.55,127.5,123.7,125.0,124.95,125.77,3830911,4818.25,38610,841734,21.97
2019-10-15,RECLTD, EQ, 15-Oct-2019,124.95,125.6,125.6,122.7,123.15,123.25,123.68,3752106,4640.79,38679,1357109,36.17
2019-10-16,RECLTD, EQ, 16-Oct-2019,123.25,123.45,125.75,122.75,125.45,125.45,124.27,5558662,6907.89,26123,2060263,37.06
2019-10-17,RECLTD, EQ, 17-Oct-2019,125.45,124.25,125.9,122.35,124.55,124.5,123.78,4543796,5624.17,29223,1887690,41.54
2019-10-18,RECLTD, EQ, 18-Oct-2019,124.5,125.0,131.0,124.55,130.3,130.5,128.11,9043937,11586.25,49299,3302028,36.51
2019-10-22,RECLTD, EQ, 22-Oct-2019,130.5,130.3,135.4,129.15,133.6,133.8,133.85,7063244,9453.87,53350,2220306,31.43
