Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,RELIANCE, EQ, 23-Aug-2019,1246.75,1239.0,1284.0,1226.5,1276.0,1275.85,1258.18,9741262,122562.63,216956,3046594,31.28
2019-10-01,RELIANCE, EQ, 01-Oct-2019,1332.25,1337.0,1342.0,1293.3,1303.7,1304.9,1320.17,8192597,108155.96,199164,2523507,30.8
2019-10-03,RELIANCE, EQ, 03-Oct-2019,1304.9,1286.0,1314.7,1281.3,1311.6,1311.05,1305.35,6183107,80711.38,160832,2530785,40.93
2019-10-04,RELIANCE, EQ, 04-Oct-2019,1311.05,1319.9,1328.6,1303.85,1307.75,1308.1,1318.17,6853954,90346.54,185130,3099523,45.22
2019-10-07,RELIANCE, EQ, 07-Oct-2019,1308.1,1308.1,1320.8,1301.7,1308.9,1310.1,1312.08,4599818,60353.33,121109,1835479,39.9
2019-10-09,RELIANCE, EQ, 09-Oct-2019,1310.1,1308.7,1329.95,1292.5,1328.7,1324.75,1309.53,8040938,105298.15,182007,3984784,49.56
2019-10-10,RELIANCE, EQ, 10-Oct-2019,1324.75,1325.0,1369.0,1321.0,1360.15,1362.75,1356.95,16003744,217162.22,375692,8609946,53.8
2019-10-11,RELIANCE, EQ, 11-Oct-2019,1362.75,1363.7,1365.6,1336.55,1350.1,1352.6,1352.25,7587648,102603.68,224923,3400105,44.81
2019-10-14,RELIANCE, EQ, 14-Oct-2019,1352.6,1364.95,1364.95,1350.85,1356.9,1358.0,1358.27,6123412,83172.38,118992,3590983,58.64
2019-10-15,RELIANCE, EQ, 15-Oct-2019,1358.0,1362.5,1370.0,1354.3,1364.15,1364.15,1364.34,4422075,60332.15,144636,2043101,46.2
2019-10-16,RELIANCE, EQ, 16-Oct-2019,1364.15,1369.9,1379.65,1363.7,1374.5,1372.35,1371.43,8870701,121655.8,183051,5663142,63.84
2019-10-17,RELIANCE, EQ, 17-Oct-2019,1372.35,1375.0,1399.0,1372.0,1394.95,1396.5,1384.72,7332464,101534.22,164517,3665912,50.0
2019-10-18,RELIANCE, EQ, 18-Oct-2019,1396.5,1404.0,1427.9,1398.7,1416.0,1416.35,1416.38,12856410,182095.82,228083,5482520,42.64
2019-10-22,RELIANCE, EQ, 22-Oct-2019,1416.35,1425.0,1436.85,1403.35,1417.4,1414.15,1420.93,12703054,180501.96,317936,4811890,37.88
2019-10-23,RELIANCE, EQ, 23-Oct-2019,1414.15,1416.3,1425.95,1383.15,1394.0,1392.4,1403.41,8432964,118348.78,214712,3936577,46.68
2019-10-24,RELIANCE, EQ, 24-Oct-2019,1392.4,1401.0,1441.4,1386.55,1435.1,1436.45,1415.13,10351384,146486.04,247194,3772686,36.45
2019-10-25,RELIANCE, EQ, 25-Oct-2019,1436.45,1441.1,1441.45,1411.25,1428.25,1431.2,1426.02,6190013,88270.69,163477,1995488,32.24
2019-10-27,RELIANCE, EQ, 27-Oct-2019,1431.2,1441.0,1445.0,1430.0,1435.5,1434.25,1437.86,1378313,19818.25,39531,347306,25.2
2019-10-29,RELIANCE, EQ, 29-Oct-2019,1434.25,1445.5,1480.0,1442.1,1470.1,1467.05,1465.55,11780494,172648.62,321298,6278189,53.29
2019-10-30,RELIANCE, EQ, 30-Oct-2019,1467.05,1480.0,1484.55,1460.3,1482.6,1479.1,1471.89,7470723,109960.72,259287,4052278,54.24
2019-10-31,RELIANCE, EQ, 31-Oct-2019,1479.1,1484.0,1489.65,1461.7,1465.1,1464.35,1471.86,8898168,130968.51,193629,4972388,55.88
2019-11-01,RELIANCE, EQ, 01-Nov-2019,1464.35,1455.0,1461.8,1441.0,1456.15,1456.9,1451.6,6356579,92272.42,236195,3504112,55.13
2019-11-04,RELIANCE, EQ, 04-Nov-2019,1456.9,1465.9,1471.0,1445.1,1460.65,1457.65,1456.28,6429329,93628.83,203644,3603931,56.05
2019-11-05,RELIANCE, EQ, 05-Nov-2019,1457.65,1463.1,1468.95,1441.0,1447.5,1447.3,1449.21,5799318,84044.12,154824,3229832,55.69
2019-11-06,RELIANCE, EQ, 06-Nov-2019,1447.3,1442.7,1446.45,1428.5,1433.0,1434.9,1436.25,6686289,96031.95,158809,3953109,59.12
2019-11-07,RELIANCE, EQ, 07-Nov-2019,1434.9,1435.0,1463.0,1432.2,1461.0,1458.6,1448.68,6438749,93276.88,135012,3465630,53.82
2019-11-08,RELIANCE, EQ, 08-Nov-2019,1458.6,1449.0,1459.65,1441.3,1446.0,1445.5,1448.5,5494844,79592.84,141759,2437863,44.37
2019-11-11,RELIANCE, EQ, 11-Nov-2019,1445.5,1439.1,1444.25,1422.55,1427.8,1427.8,1431.4,5192423,74324.16,145722,2643548,50.91
2019-11-13,RELIANCE, EQ, 13-Nov-2019,1427.8,1430.0,1475.9,1430.0,1469.1,1472.3,1460.74,11532364,168457.51,213111,4972794,43.12
2019-11-14,RELIANCE, EQ, 14-Nov-2019,1472.3,1476.0,1481.6,1455.8,1458.25,1462.75,1466.92,6518339,95618.81,127557,2601168,39.91
2019-11-15,RELIANCE, EQ, 15-Nov-2019,1462.75,1465.65,1486.8,1463.15,1466.8,1470.85,1476.84,7173674,105943.4,152000,3241407,45.18
2019-11-18,RELIANCE, EQ, 18-Nov-2019,1470.85,1472.65,1486.0,1455.4,1460.05,1459.2,1468.4,6435097,94492.87,128242,3180530,49.42
2019-11-19,RELIANCE, EQ, 19-Nov-2019,1459.2,1467.0,1514.9,1465.0,1511.55,1509.75,1496.45,13795569,206443.25,285115, 4937220, 35.79
2019-11-20,RELIANCE, EQ, 20-Nov-2019,1509.75,1555.05,1572.4,1543.2,1548.5,1547.65,1559.65,19904164,310435.34,376334, 8724272, 43.83
2019-11-21,RELIANCE, EQ, 21-Nov-2019,1547.65,1545.0,1556.0,1528.55,1540.5,1537.6,1538.44,6810577,104776.85,160090,2929568,43.01
2019-11-22,RELIANCE, EQ, 22-Nov-2019,1537.6,1542.1,1569.5,1537.6,1548.05,1546.5,1551.32,10218978,158529.47,200632,4268321,41.77
2019-11-25,RELIANCE, EQ, 25-Nov-2019,1546.5,1551.15,1564.8,1551.0,1562.0,1561.55,1559.1,6924313,107956.67,119670,3320341,47.95
2019-11-26,RELIANCE, EQ, 26-Nov-2019,1561.55,1568.1,1576.35,1556.0,1561.2,1560.25,1563.16,16152137,252483.83,218748, 11981538, 74.18
2019-11-27,RELIANCE, EQ, 27-Nov-2019,1560.25,1559.95,1575.5,1556.1,1575.1,1569.85,1564.27,4408336,68958.3,107469,1986795,45.07
2019-11-28,RELIANCE, EQ, 28-Nov-2019,1569.85,1572.65,1584.15,1563.95,1582.0,1580.3,1576.23,6284885,99064.08,163816,2661145,42.34
2019-11-29,RELIANCE, EQ, 29-Nov-2019,1580.3,1581.95,1581.95,1547.85,1553.0,1551.15,1558.76,8484822,132258.31,237128,5173503,60.97
