Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,SAIL, EQ, 23-Aug-2019,30.05,29.6,31.7,29.55,31.35,31.35,30.95,33584861,10395.97,42076,4857850,14.46
2019-10-01,SAIL, EQ, 01-Oct-2019,33.45,33.4,33.8,31.3,32.1,32.1,32.44,33374777,10825.75,34781,3158513,9.46
2019-10-03,SAIL, EQ, 03-Oct-2019,32.1,31.6,32.3,31.1,31.5,31.45,31.68,28415533,9001.18,29455,3099064,10.91
2019-10-04,SAIL, EQ, 04-Oct-2019,31.45,31.8,31.95,31.0,31.1,31.15,31.51,28961703,9126.63,26460,1796300,6.2
2019-10-07,SAIL, EQ, 07-Oct-2019,31.15,31.35,32.8,30.15,32.15,32.15,31.33,41093854,12874.35,43698,9059471,22.05
2019-10-09,SAIL, EQ, 09-Oct-2019,32.15,31.8,32.9,31.5,32.75,32.65,32.11,28747660,9231.26,32002,2235018,7.77
2019-10-10,SAIL, EQ, 10-Oct-2019,32.65,32.2,32.45,31.6,31.7,31.8,31.98,21413466,6848.6,19647,1580160,7.38
2019-10-11,SAIL, EQ, 11-Oct-2019,31.8,32.0,32.8,31.6,32.1,32.2,32.18,28847549,9283.06,28650,1996262,6.92
2019-10-14,SAIL, EQ, 14-Oct-2019,32.2,32.65,33.05,32.3,32.6,32.65,32.72,21445957,7017.31,22448,2012435,9.38
2019-10-15,SAIL, EQ, 15-Oct-2019,32.65,32.5,34.45,31.6,33.45,33.4,32.93,55294896,18210.71,44011,11627657,21.03
2019-10-16,SAIL, EQ, 16-Oct-2019,33.4,33.4,33.75,32.55,32.75,32.8,33.16,25355672,8407.35,24419,2438315,9.62
2019-10-17,SAIL, EQ, 17-Oct-2019,32.8,32.6,33.8,32.0,33.55,33.55,32.8,25315121,8304.36,25138,1739218,6.87
2019-10-18,SAIL, EQ, 18-Oct-2019,33.55,33.45,36.55,33.15,36.3,36.2,35.45,58695573,20806.25,65042,6682394,11.38
2019-10-22,SAIL, EQ, 22-Oct-2019,36.2,36.2,37.3,35.4,35.55,35.6,36.33,36094539,13113.86,42092,3224516,8.93
2019-10-23,SAIL, EQ, 23-Oct-2019,35.6,35.5,35.95,34.75,35.15,35.15,35.3,20708720,7311.19,23236,1044706,5.04
2019-10-24,SAIL, EQ, 24-Oct-2019,35.15,35.3,35.75,34.2,34.4,34.35,34.89,28570124,9969.12,28446,2129382,7.45
2019-10-25,SAIL, EQ, 25-Oct-2019,34.35,34.5,35.15,34.05,34.8,34.9,34.56,23878498,8252.9,24358,1552656,6.5
2019-10-27,SAIL, EQ, 27-Oct-2019,34.9,35.2,35.35,35.05,35.15,35.15,35.2,1720845,605.72,4482,631264,36.68
2019-10-29,SAIL, EQ, 29-Oct-2019,35.15,35.15,37.2,35.0,36.9,37.0,36.73,36205662,13296.85,37036,4262891,11.77
2019-10-30,SAIL, EQ, 30-Oct-2019,37.0,37.15,37.65,36.7,37.5,37.35,37.24,26512896,9874.46,30553,2262279,8.53
2019-10-31,SAIL, EQ, 31-Oct-2019,37.35,37.4,38.35,36.0,36.8,36.6,37.35,27770274,10373.26,32099,4152612,14.95
2019-11-01,SAIL, EQ, 01-Nov-2019,36.6,36.7,39.4,36.55,38.95,38.95,38.1,46394896,17674.45,53412,5000109,10.78
2019-11-04,SAIL, EQ, 04-Nov-2019,38.95,39.5,41.2,39.5,40.2,40.3,40.45,45820695,18533.07,62585,4821311,10.52
2019-11-05,SAIL, EQ, 05-Nov-2019,40.3,40.2,40.75,38.8,38.95,39.1,39.94,29697013,11860.53,37328,2891430,9.74
2019-11-06,SAIL, EQ, 06-Nov-2019,39.1,38.85,39.7,38.6,39.05,39.3,39.29,25722198,10106.67,28411,2209904,8.59
2019-11-07,SAIL, EQ, 07-Nov-2019,39.3,39.4,40.7,38.5,39.8,39.95,39.47,38197820,15077.56,41712,1874457,4.91
2019-11-08,SAIL, EQ, 08-Nov-2019,39.95,39.85,39.95,38.55,38.7,38.7,39.27,27026861,10614.72,30088,1884717,6.97
2019-11-11,SAIL, EQ, 11-Nov-2019,38.7,38.6,39.85,38.1,39.6,39.55,38.85,35349501,13734.45,39167,3541068,10.02
2019-11-13,SAIL, EQ, 13-Nov-2019,39.55,39.35,39.9,37.55,37.65,37.85,38.95,29978471,11677.92,33089,3110834,10.38
2019-11-14,SAIL, EQ, 14-Nov-2019,37.85,37.9,38.25,36.85,37.25,37.3,37.6,31308358,11770.99,34468,3432101,10.96
2019-11-15,SAIL, EQ, 15-Nov-2019,37.3,36.8,37.45,36.05,36.35,36.4,36.65,37075054,13586.18,46418,3972190,10.71
2019-11-18,SAIL, EQ, 18-Nov-2019,36.4,36.55,37.5,36.3,37.4,37.3,36.97,28715500,10615.48,32121,2267531,7.9
2019-11-19,SAIL, EQ, 19-Nov-2019,37.3,37.4,37.5,36.75,37.1,37.05,37.02,20166801,7465.28,21511, 2068165, 10.26
2019-11-20,SAIL, EQ, 20-Nov-2019,37.05,37.15,38.4,37.15,37.85,37.9,37.87,26963527,10211.07,32485, 2018953, 7.49
2019-11-21,SAIL, EQ, 21-Nov-2019,37.9,37.8,37.9,36.1,36.15,36.25,36.94,28884217,10668.53,49705,3721451,12.88
2019-11-22,SAIL, EQ, 22-Nov-2019,36.25,36.4,39.25,36.2,39.2,38.55,37.31,44929987,16764.94,58297,7579843,16.87
2019-11-25,SAIL, EQ, 25-Nov-2019,38.55,39.2,40.35,39.05,39.55,39.7,39.63,37627922,14911.75,58853,4218833,11.21
2019-11-26,SAIL, EQ, 26-Nov-2019,39.7,40.0,40.1,38.25,38.55,38.6,39.06,34676343,13545.12,63593, 5453996, 15.73
2019-11-27,SAIL, EQ, 27-Nov-2019,38.6,38.95,39.35,38.35,38.85,38.9,38.83,23303605,9049.5,41554,1751003,7.51
2019-11-28,SAIL, EQ, 28-Nov-2019,38.9,39.0,40.4,38.9,40.0,39.9,39.64,28968362,11482.33,35779,3706345,12.79
2019-11-29,SAIL, EQ, 29-Nov-2019,39.9,39.9,40.3,39.0,39.25,39.35,39.55,25426332,10057.2,29580,2152898,8.47
2019-12-02,SAIL, EQ, 02-Dec-2019,39.35,39.5,39.8,38.85,39.6,39.5,39.28,21262889,8352.19,24550, 2635889, 12.40
2019-12-03,SAIL, EQ, 03-Dec-2019,39.5,39.35,39.4,37.55,38.05,38.05,38.15,31464253,12003.48,33053,4550542,14.46
2019-12-04,SAIL, EQ, 04-Dec-2019,38.05,37.35,39.5,36.8,39.35,39.35,38.3,34074178,13050.6,37203,1943842,5.7
2019-12-05,SAIL, EQ, 05-Dec-2019,39.35,39.7,40.25,38.45,38.55,38.7,39.22,29321512,11498.48,41015,2345164,8.0
2019-12-06,SAIL, EQ, 06-Dec-2019,38.7,39.0,39.55,37.8,38.2,38.3,38.51,27535575,10604.7,35775,1890975,6.87
2019-12-09,SAIL, EQ, 09-Dec-2019,38.3,38.5,39.95,38.3,39.35,39.4,39.34,29370202,11552.89,38944,2996022,10.2
2019-12-10,SAIL, EQ, 10-Dec-2019,39.4,39.15,39.45,38.05,38.15,38.25,38.74,18974222,7350.18,27128,1446562,7.62
2019-12-11,SAIL, EQ, 11-Dec-2019,38.25,38.2,38.85,37.5,38.15,38.2,38.2,20095683,7677.13,27064,1315874,6.55
2019-12-12,SAIL, EQ, 12-Dec-2019,38.2,38.45,40.0,38.3,39.55,39.8,39.33,25729420,10119.52,29088,3078953,11.97
2019-12-13,SAIL, EQ, 13-Dec-2019,39.8,40.9,41.75,40.15,40.55,40.6,40.84,46128763,18836.69,58501,3615669,7.84
2019-12-16,SAIL, EQ, 16-Dec-2019,40.6,41.0,41.0,39.3,39.4,39.45,39.86,22413922,8933.41,27784,1922498,8.58
2019-12-17,SAIL, EQ, 17-Dec-2019,39.45,39.6,41.5,39.35,40.8,40.85,40.71,42359512,17243.52,51962,4690361,11.07
2019-12-18,SAIL, EQ, 18-Dec-2019,40.85,40.7,41.5,40.3,40.9,41.05,40.97,35192583,14418.82,42151,3078592,8.75
2019-12-19,SAIL, EQ, 19-Dec-2019,41.05,40.9,41.4,40.6,41.05,41.1,40.95,25338726,10375.25,35596,1049920,4.14
2019-12-20,SAIL, EQ, 20-Dec-2019,41.1,40.95,42.0,40.65,41.65,41.55,41.48,32394792,13438.04,41962,2587457,7.99
2019-12-23,SAIL, EQ, 23-Dec-2019,41.55,41.45,42.1,40.8,40.85,41.0,41.43,26796488,11102.05,35019,2456924,9.17
2019-12-24,SAIL, EQ, 24-Dec-2019,41.0,41.0,41.45,40.85,41.1,41.0,41.16,21261677,8751.84,24705,1305055,6.14
2019-12-26,SAIL, EQ, 26-Dec-2019,41.0,41.25,42.8,41.15,42.3,42.4,42.09,40946850,17236.34,48204,5040971,12.31
2019-12-27,SAIL, EQ, 27-Dec-2019,42.4,42.45,42.7,41.65,42.15,42.15,42.12,18880983,7952.61,23767,1768656,9.37
2019-12-30,SAIL, EQ, 30-Dec-2019,42.15,42.2,43.35,41.8,43.1,43.1,42.59,26033812,11087.95,29671,2323716,8.93
2019-12-31,SAIL, EQ, 31-Dec-2019,43.1,43.0,43.3,42.7,42.95,42.9,42.99,20565737,8840.81,29766,1374079,6.68
2020-01-01,SAIL, EQ, 01-Jan-2020,42.9,43.15,43.5,42.55,43.05,42.9,43.0,24324562,10459.94,27490,1913403,7.87
2020-01-02,SAIL, EQ, 02-Jan-2020,42.9,44.0,47.6,43.7,47.05,47.25,46.1,90919639,41917.41,107837,8002890,8.8
2020-01-03,SAIL, EQ, 03-Jan-2020,47.25,46.7,47.55,46.2,46.65,46.65,46.91,35905086,16841.54,45989,3166329,8.82
2020-01-06,SAIL, EQ, 06-Jan-2020,46.65,46.3,46.4,44.6,44.75,44.8,45.34,26273422,11913.43,34417,4113915,15.66
2020-01-07,SAIL, EQ, 07-Jan-2020,44.8,45.5,46.3,44.85,45.45,45.5,45.52,26593985,12106.65,31870,2335995,8.78
2020-01-08,SAIL, EQ, 08-Jan-2020,45.5,45.35,47.05,44.75,46.75,46.8,45.87,36360158,16680.21,46252,2990217,8.22
2020-01-09,SAIL, EQ, 09-Jan-2020,46.8,47.4,48.85,47.35,48.6,48.55,48.09,30851490,14837.03,42333,4113871,13.33
2020-01-10,SAIL, EQ, 10-Jan-2020,48.55,48.6,50.4,48.3,49.95,49.9,49.68,41439011,20587.68,58273,5100667,12.31
2020-01-13,SAIL, EQ, 13-Jan-2020,49.9,50.0,50.4,49.05,50.05,50.0,49.81,25345459,12624.3,37397,2053320,8.1
2020-01-14,SAIL, EQ, 14-Jan-2020,50.0,50.45,51.65,50.1,50.85,50.75,50.91,33639648,17124.34,47772,4069632,12.1
2020-01-15,SAIL, EQ, 15-Jan-2020,50.75,50.4,51.65,49.65,51.5,51.45,50.82,27277045,13863.27,37866,2875989,10.54
2020-01-16,SAIL, EQ, 16-Jan-2020,51.45,51.5,51.75,50.65,50.9,50.85,51.03,23182881,11829.31,28286,3728181,16.08
2020-01-17,SAIL, EQ, 17-Jan-2020,50.85,50.5,51.9,50.5,50.9,50.95,51.25,18835022,9652.52,25716, 1555430, 8.26
2020-01-20,SAIL, EQ, 20-Jan-2020,50.95,51.15,51.45,49.95,50.7,50.75,50.7,18760402,9511.46,28619,2364605,12.6
2020-01-21,SAIL, EQ, 21-Jan-2020,50.75,50.4,51.2,49.65,49.65,49.8,50.28,24173709,12153.63,33469,2955271,12.23
2020-01-22,SAIL, EQ, 22-Jan-2020,49.8,50.0,50.3,49.2,49.7,49.8,49.68,18551852,9217.49,28327,2131184,11.49
2020-01-23,SAIL, EQ, 23-Jan-2020,49.8,49.55,50.8,49.4,50.45,50.4,50.25,13721598,6895.12,21286,1317459,9.6
2020-01-24,SAIL, EQ, 24-Jan-2020,50.4,50.45,51.5,50.1,51.05,51.05,50.99,16176998,8248.72,32217,1979478,12.24
2020-01-27,SAIL, EQ, 27-Jan-2020,51.05,50.7,50.7,48.35,48.5,48.75,49.33,23848030,11763.98,35441,3779452,15.85
2020-01-28,SAIL, EQ, 28-Jan-2020,48.75,48.7,49.1,46.65,47.0,47.05,47.59,31387261,14936.54,49611,5321876,16.96
2020-01-29,SAIL, EQ, 29-Jan-2020,47.05,47.6,48.45,47.45,47.7,47.65,47.93,17955370,8606.61,31561,1298984,7.23
2020-01-30,SAIL, EQ, 30-Jan-2020,47.65,47.7,47.75,46.6,47.45,47.35,47.16,20209701,9531.77,32058,2977300,14.73
2020-01-31,SAIL, EQ, 31-Jan-2020,47.35,47.6,47.95,46.2,46.6,46.5,46.96,17954383,8430.71,32836,1311007,7.3
2020-02-01,SAIL, EQ, 01-Feb-2020,46.5,46.0,47.15,44.0,44.25,44.5,45.81,18597802,8520.27,36350,1483160,7.97
2020-02-03,SAIL, EQ, 03-Feb-2020,44.5,43.7,45.25,43.25,45.15,44.75,44.2,29698362,13126.01,47774,1808199,6.09
2020-02-04,SAIL, EQ, 04-Feb-2020,44.75,45.3,46.75,44.9,46.65,46.5,45.86,22700326,10410.36,34964,1278193,5.63
2020-02-05,SAIL, EQ, 05-Feb-2020,46.5,46.75,49.2,46.3,49.0,48.75,47.71,30106870,14363.53,39088,4560597,15.15
2020-02-06,SAIL, EQ, 06-Feb-2020,48.75,49.1,49.75,48.3,48.7,48.9,49.12,23115534,11354.14,33820,1878705,8.13
2020-02-07,SAIL, EQ, 07-Feb-2020,48.9,48.55,49.3,48.2,48.5,48.65,48.75,18226191,8886.16,23909,941518,5.17
2020-02-10,SAIL, EQ, 10-Feb-2020,48.65,48.4,48.4,45.7,46.05,46.0,46.41,27010689,12534.49,37572,3155115,11.68
2020-02-11,SAIL, EQ, 11-Feb-2020,46.0,46.6,47.35,45.35,45.8,45.7,46.55,21550256,10031.85,30203,1687515,7.83
2020-02-12,SAIL, EQ, 12-Feb-2020,45.7,46.1,46.7,45.1,45.8,45.85,45.85,15980861,7327.22,22004,1273734,7.97
2020-02-13,SAIL, EQ, 13-Feb-2020,45.85,45.8,46.3,45.1,45.15,45.3,45.56,15054008,6857.99,24594,1412317,9.38
2020-02-14,SAIL, EQ, 14-Feb-2020,45.3,45.2,45.8,43.65,43.8,43.9,44.85,17516625,7855.77,29012, 1632559, 9.32
2020-02-17,SAIL, EQ, 17-Feb-2020,43.9,42.0,44.0,41.85,42.75,42.8,43.12,32718648,14107.84,36832,2690935,8.22
2020-02-18,SAIL, EQ, 18-Feb-2020,42.8,42.5,42.6,40.7,42.05,41.95,41.64,23914632,9957.31,32006,2279793,9.53
2020-02-19,SAIL, EQ, 19-Feb-2020,41.95,42.5,43.0,41.15,41.65,41.65,41.77,28855122,12054.12,35183, 4210117, 14.59
2020-02-20,SAIL, EQ, 20-Feb-2020,41.65,41.25,42.65,40.95,42.1,42.15,41.92,23850054,9996.88,32989,1225046,5.14
2020-02-24,SAIL, EQ, 24-Feb-2020,42.15,41.45,41.45,39.05,39.1,39.25,40.19,22757603,9146.78,29989,3029098,13.31
2020-02-25,SAIL, EQ, 25-Feb-2020,39.25,39.4,40.15,38.9,39.35,39.25,39.48,22137095,8739.51,26325,1684854,7.61
2020-02-26,SAIL, EQ, 26-Feb-2020,39.25,38.4,39.2,38.25,38.7,38.55,38.7,18975185,7343.64,24505,1642491,8.66
2020-02-27,SAIL, EQ, 27-Feb-2020,38.55,38.6,38.6,37.0,37.95,37.9,37.8,22730562,8592.95,26190,1978226,8.7
2020-02-28,SAIL, EQ, 28-Feb-2020,37.9,35.2,36.7,34.9,35.6,35.55,35.53,33171784,11784.55,37315,7334619,22.11
2020-03-02,SAIL, EQ, 02-Mar-2020,35.55,36.65,37.2,34.15,34.65,34.9,36.18,30887100,11173.81,39275,2399844,7.77
2020-03-03,SAIL, EQ, 03-Mar-2020,34.9,35.45,36.5,35.1,36.15,36.0,35.62,25225572,8986.33,37605,1080112,4.28
2020-03-04,SAIL, EQ, 04-Mar-2020,36.0,36.15,36.4,34.05,34.9,34.85,34.86,37654957,13127.3,36778,4261975,11.32
2020-03-05,SAIL, EQ, 05-Mar-2020,34.85,35.3,35.65,34.05,34.3,34.2,34.67,36583370,12683.7,36648,4726147,12.92
2020-03-06,SAIL, EQ, 06-Mar-2020,34.2,32.8,33.5,31.9,33.0,33.0,32.73,22839018,7476.1,26622,2124032,9.3
2020-03-09,SAIL, EQ, 09-Mar-2020,33.0,32.0,32.1,29.05,29.75,29.8,30.63,33096753,10136.99,38508,3968088,11.99
2020-03-11,SAIL, EQ, 11-Mar-2020,29.8,29.2,30.4,28.5,28.65,28.75,29.55,36530555,10793.8,42290,3712459,10.16
2020-03-12,SAIL, EQ, 12-Mar-2020,28.75,27.0,27.35,24.5,24.9,24.7,25.5,46930409,11968.67,53435,7831177,16.69
2020-03-13,SAIL, EQ, 13-Mar-2020,24.7,22.8,30.45,21.4,29.7,29.55,26.6,65615251,17454.86,82780,17592068,26.81
2020-03-16,SAIL, EQ, 16-Mar-2020,29.55,27.05,28.6,25.15,27.2,27.25,27.72,34356130,9524.39,65814,3864789,11.25
2020-03-17,SAIL, EQ, 17-Mar-2020,27.25,27.6,30.7,27.05,27.9,28.3,28.85,45328524,13078.64,95673,9620000,21.22
2020-03-18,SAIL, EQ, 18-Mar-2020,28.3,28.65,29.1,25.35,26.7,26.8,26.93,46502223,12525.14,96286,10310116,22.17
2020-03-19,SAIL, EQ, 19-Mar-2020,26.8,25.05,26.55,24.8,25.1,25.2,25.64,41258156,10579.76,62037,6877441,16.67
2020-03-20,SAIL, EQ, 20-Mar-2020,25.2,25.5,27.0,25.3,26.7,26.7,26.31,37286437,9811.27,66235,4260632,11.43
2020-03-23,SAIL, EQ, 23-Mar-2020,26.7,24.7,25.3,22.75,23.0,22.95,23.68,12938800,3064.29,34010,4838837,37.4
2020-03-24,SAIL, EQ, 24-Mar-2020,22.95,24.7,24.7,21.65,21.85,21.8,22.36,36471258,8156.48,59385,13844506,37.96
