Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2020-03-16,SBICARD, EQ, 16-Mar-2020,755.0,661.0,755.0,656.0,678.0,681.4,709.41,60893377,431983.82,1341563,35341400,58.04
2020-03-17,SBICARD, EQ, 17-Mar-2020,681.4,691.0,747.95,689.0,736.1,730.9,725.27,15147702,109862.21,601347,5690604,37.57
2020-03-18,SBICARD, EQ, 18-Mar-2020,730.9,752.1,769.0,680.0,687.0,689.2,717.14,8950986,64190.95,394939,3197852,35.73
2020-03-19,SBICARD, EQ, 19-Mar-2020,689.2,660.0,717.0,650.0,690.35,692.05,687.86,6432291,44245.09,335234,2613207,40.63
2020-03-20,SBICARD, EQ, 20-Mar-2020,692.05,706.25,730.0,690.25,725.0,724.5,709.06,6492749,46037.24,325953,3486281,53.69
2020-03-23,SBICARD, EQ, 23-Mar-2020,724.5,659.0,698.0,580.0,584.5,582.4,624.81,6260568,39116.58,365510,3683243,58.83
2020-03-24,SBICARD, EQ, 24-Mar-2020,582.4,620.0,623.95,575.05,620.0,613.7,600.74,4019346,24145.64,317311,1709102,42.52
2020-03-25,SBICARD, EQ, 25-Mar-2020,613.7,601.0,648.9,591.4,620.0,624.95,618.46,3488027,21572.15,202662,1063676,30.5
2020-03-26,SBICARD, EQ, 26-Mar-2020,624.95,634.0,693.8,621.45,652.5,650.95,658.19,4360649,28701.28,281979,1666009,38.21
2020-03-27,SBICARD, EQ, 27-Mar-2020,650.95,675.0,690.0,650.0,655.3,655.9,668.0,3114721,20806.26,192953,1252444,40.21
2020-03-30,SBICARD, EQ, 30-Mar-2020,655.9,640.0,642.7,607.0,617.5,615.35,627.04,1791951,11236.25,147201,746302,41.65
2020-03-31,SBICARD, EQ, 31-Mar-2020,615.35,635.0,638.0,608.55,618.4,618.65,619.7,2334681,14467.97,125201,870041,37.27
2020-04-01,SBICARD, EQ, 01-Apr-2020,618.65,624.0,624.0,601.25,608.2,608.05,612.24,1501066,9190.15,100175,574619,38.28
2020-04-03,SBICARD, EQ, 03-Apr-2020,608.05,613.8,614.7,588.0,591.8,590.25,596.99,1693653,10110.94,117158,846813,50.0
2020-04-07,SBICARD, EQ, 07-Apr-2020,590.25,605.0,611.0,582.0,585.8,586.05,590.0,3137486,18511.21,170841,1534187,48.9
2020-04-08,SBICARD, EQ, 08-Apr-2020,586.05,584.8,598.4,576.0,578.7,579.5,583.72,3091087,18043.19,185800,1237877,40.05
2020-04-09,SBICARD, EQ, 09-Apr-2020,579.5,585.05,614.25,575.0,593.15,595.2,592.81,6139709,36396.85,242099,2240767,36.5
2020-04-13,SBICARD, EQ, 13-Apr-2020,595.2,580.0,581.5,501.1,505.0,505.5,522.05,22874756,119417.91,805086,11324451,54.52
2020-04-15,SBICARD, EQ, 15-Apr-2020,505.5,510.0,524.45,502.0,505.5,504.65,512.07,8436966,43203.04,317750,3494756,41.42
2020-04-16,SBICARD, EQ, 16-Apr-2020,504.65,505.0,537.2,501.0,533.5,532.1,522.22,8012609,41843.68,232090,2749976,34.32
2020-04-17,SBICARD, EQ, 17-Apr-2020,532.1,546.0,548.8,523.0,532.0,530.5,531.65,6750064,35886.7,221403,3139518,46.51
2020-04-20,SBICARD, EQ, 20-Apr-2020,530.5,534.75,548.9,528.5,540.9,540.1,539.34,5766967,31103.82,168330,2204541,38.23
2020-04-21,SBICARD, EQ, 21-Apr-2020,540.1,528.9,534.9,518.0,525.5,525.9,526.92,3249487,17122.31,142284,1398001,43.02
2020-04-22,SBICARD, EQ, 22-Apr-2020,525.9,527.0,535.7,520.1,534.9,532.4,527.91,2719280,14355.42,106947,1009506,37.12
2020-04-23,SBICARD, EQ, 23-Apr-2020,532.4,539.0,574.0,535.0,565.55,560.95,549.67,4983406,27392.04,172886,2256816,45.29
2020-04-24,SBICARD, EQ, 24-Apr-2020,560.95,557.7,596.45,552.1,555.8,557.85,569.64,7824080,44569.39,247889,2356712,30.12
2020-04-27,SBICARD, EQ, 27-Apr-2020,557.85,563.7,575.0,542.85,552.0,552.7,554.93,3306453,18348.36,121085,880833,26.64
2020-04-28,SBICARD, EQ, 28-Apr-2020,552.7,556.0,562.45,547.45,551.1,550.9,552.09,1975826,10908.43,80059,752022,38.06
2020-04-29,SBICARD, EQ, 29-Apr-2020,550.9,555.4,584.0,548.4,581.0,577.5,569.39,6121364,34854.15,229023,2533040,41.38
2020-04-30,SBICARD, EQ, 30-Apr-2020,577.5,591.0,604.9,585.0,597.0,599.15,595.47,6038342,35956.35,229623,1929006,31.95
2020-05-04,SBICARD, EQ, 04-May-2020,599.15,566.2,578.0,566.2,568.35,568.45,571.12,2066389,11801.57,94870,848928,41.08
2020-05-05,SBICARD, EQ, 05-May-2020,568.45,577.75,584.3,550.6,552.9,553.0,562.99,2247828,12655.05,92171,832230,37.02
2020-05-06,SBICARD, EQ, 06-May-2020,553.0,557.0,569.0,542.0,567.15,565.65,557.67,2356415,13141.06,100442,612329,25.99
2020-05-07,SBICARD, EQ, 07-May-2020,565.65,563.0,579.0,558.9,574.0,574.45,572.48,2201886,12605.26,69729,891501,40.49
2020-05-08,SBICARD, EQ, 08-May-2020,574.45,585.0,586.0,548.6,552.8,561.95,565.68,5125026,28991.25,176980,1119592,21.85
2020-05-11,SBICARD, EQ, 11-May-2020,561.95,552.0,561.0,543.0,548.45,548.5,551.23,2746769,15140.89,120372,1022230,37.22
2020-05-12,SBICARD, EQ, 12-May-2020,548.5,542.0,548.35,530.2,542.0,543.1,537.46,2115701,11371.0,111780,639023,30.2
2020-05-13,SBICARD, EQ, 13-May-2020,543.1,570.0,570.55,545.25,548.0,548.3,550.64,2376132,13083.93,86766,1204372,50.69
2020-05-14,SBICARD, EQ, 14-May-2020,548.3,543.0,545.75,537.1,539.2,538.65,541.37,1456710,7886.13,66567,804978,55.26
2020-05-15,SBICARD, EQ, 15-May-2020,538.65,542.0,544.0,535.25,539.0,539.45,539.87,1044907,5641.19,50279,405542,38.81
2020-05-18,SBICARD, EQ, 18-May-2020,539.45,540.0,540.0,526.0,531.65,528.9,531.15,1212873,6442.18,72083,598702,49.36
2020-05-19,SBICARD, EQ, 19-May-2020,528.9,535.0,540.0,529.15,539.0,537.65,535.99,1329780,7127.54,62440,614533,46.21
2020-05-20,SBICARD, EQ, 20-May-2020,537.65,537.0,548.0,534.6,536.95,536.75,540.84,1142416,6178.68,69950,526535,46.09
2020-05-21,SBICARD, EQ, 21-May-2020,536.75,539.4,546.8,536.15,544.4,542.35,541.72,1181475,6400.26,44881,596986,50.53
2020-05-22,SBICARD, EQ, 22-May-2020,542.35,541.4,546.3,495.0,510.0,509.55,511.83,5257015,26906.93,208994,2421122,46.06
2020-05-26,SBICARD, EQ, 26-May-2020,509.55,515.0,518.0,496.5,500.4,498.75,502.78,4518856,22719.86,179949,2157325,47.74
