Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,SBILIFE, EQ, 23-Aug-2019,815.2,814.95,830.05,812.25,825.0,821.25,823.71,545349,4492.07,60573,338421,62.06
2019-10-01,SBILIFE, EQ, 01-Oct-2019,846.4,846.0,849.0,804.0,831.5,827.65,832.03,759109,6316.0,63814,458526,60.4
2019-10-03,SBILIFE, EQ, 03-Oct-2019,827.65,827.9,836.15,820.05,830.65,830.65,829.9,455628,3781.26,26520,340818,74.8
2019-10-04,SBILIFE, EQ, 04-Oct-2019,830.65,831.0,844.8,822.05,825.9,824.25,832.79,569471,4742.52,35471,380853,66.88
2019-10-07,SBILIFE, EQ, 07-Oct-2019,824.25,824.0,836.0,821.05,827.15,827.9,830.93,341633,2838.72,23668,210130,61.51
2019-10-09,SBILIFE, EQ, 09-Oct-2019,827.9,826.0,843.9,826.0,836.6,837.25,837.87,506576,4244.43,50294,342644,67.64
2019-10-10,SBILIFE, EQ, 10-Oct-2019,837.25,835.2,848.0,805.7,827.2,827.2,825.79,5286384,43654.35,40327,4638250,87.74
2019-10-11,SBILIFE, EQ, 11-Oct-2019,827.2,832.0,842.8,831.0,838.9,839.6,839.58,384745,3230.24,31674,254311,66.1
2019-10-14,SBILIFE, EQ, 14-Oct-2019,839.6,846.1,847.6,822.0,825.0,828.7,835.1,366115,3057.42,34474,216466,59.13
2019-10-15,SBILIFE, EQ, 15-Oct-2019,828.7,829.0,844.0,829.0,839.0,838.05,837.53,394890,3307.33,38361,200049,50.66
2019-10-16,SBILIFE, EQ, 16-Oct-2019,838.05,836.5,892.5,832.0,880.0,877.35,875.58,3634345,31821.57,141694,2054502,56.53
2019-10-17,SBILIFE, EQ, 17-Oct-2019,877.35,880.0,928.5,880.0,903.6,902.9,912.29,3687636,33641.82,167446,2023233,54.87
2019-10-18,SBILIFE, EQ, 18-Oct-2019,902.9,905.8,930.0,899.0,927.1,925.95,914.71,1819540,16643.59,123937,973254,53.49
2019-10-22,SBILIFE, EQ, 22-Oct-2019,925.95,929.2,997.5,929.2,989.9,989.15,969.48,2040975,19786.79,100090,930628,45.6
2019-10-23,SBILIFE, EQ, 23-Oct-2019,989.15,994.0,1012.3,970.15,984.0,985.95,992.03,1357514,13466.94,96939,531826,39.18
2019-10-24,SBILIFE, EQ, 24-Oct-2019,985.95,991.4,993.95,954.65,969.0,969.65,974.42,982596,9574.59,60352,518152,52.73
2019-10-25,SBILIFE, EQ, 25-Oct-2019,969.65,974.0,1000.0,965.25,979.95,982.15,985.72,975234,9613.09,60895,492563,50.51
2019-10-27,SBILIFE, EQ, 27-Oct-2019,982.15,990.0,999.0,977.15,998.0,993.95,990.83,150916,1495.33,7303,61052,40.45
2019-10-29,SBILIFE, EQ, 29-Oct-2019,993.95,998.5,1020.0,981.0,1018.0,1014.35,1004.59,880342,8843.84,61519,377894,42.93
2019-10-30,SBILIFE, EQ, 30-Oct-2019,1014.35,1016.0,1030.0,976.1,1000.5,999.8,983.15,7610404,74821.67,99552,6298736,82.76
2019-10-31,SBILIFE, EQ, 31-Oct-2019,999.8,1006.0,1013.3,987.0,993.3,991.5,997.76,849468,8475.64,59507,448252,52.77
2019-11-01,SBILIFE, EQ, 01-Nov-2019,991.5,993.3,1009.0,993.3,996.45,997.5,1001.01,655253,6559.17,60723,422767,64.52
2019-11-04,SBILIFE, EQ, 04-Nov-2019,997.5,1003.0,1003.1,989.7,1002.0,998.7,997.25,875743,8733.35,65648,653279,74.6
2019-11-05,SBILIFE, EQ, 05-Nov-2019,998.7,1000.0,1003.0,966.1,969.65,969.8,981.52,1230007,12072.77,103509,909335,73.93
2019-11-06,SBILIFE, EQ, 06-Nov-2019,969.8,974.45,980.0,941.55,969.0,968.95,960.82,1420970,13652.99,85551,701110,49.34
2019-11-07,SBILIFE, EQ, 07-Nov-2019,968.95,973.4,991.0,968.2,987.7,986.45,982.54,1351432,13278.35,71426,813911,60.23
2019-11-08,SBILIFE, EQ, 08-Nov-2019,986.45,1006.0,1022.0,976.5,983.5,982.2,994.56,5656687,56259.23,277773,3283140,58.04
2019-11-11,SBILIFE, EQ, 11-Nov-2019,982.2,982.0,982.0,968.45,970.25,969.95,972.94,2078020,20217.92,164757,1784944,85.9
2019-11-13,SBILIFE, EQ, 13-Nov-2019,969.95,984.5,1000.95,966.2,992.9,988.15,982.97,4039409,39706.02,169687,2375317,58.8
2019-11-14,SBILIFE, EQ, 14-Nov-2019,988.15,999.0,1013.0,984.9,1004.0,999.9,997.74,3441700,34339.28,134100,2378036,69.09
2019-11-15,SBILIFE, EQ, 15-Nov-2019,999.9,1008.2,1026.0,995.45,1002.8,1002.85,1009.46,2687762,27131.76,171721,1854274,68.99
2019-11-18,SBILIFE, EQ, 18-Nov-2019,1002.85,1004.9,1013.0,996.0,999.0,1000.05,1004.89,2144563,21550.45,133424,1432362,66.79
2019-11-19,SBILIFE, EQ, 19-Nov-2019,1000.05,954.95,970.0,930.0,936.95,936.55,941.58,60449782,569180.57,397790, 30981721, 51.25
2019-11-20,SBILIFE, EQ, 20-Nov-2019,936.55,940.0,948.7,936.1,938.65,939.7,942.72,2976893,28063.81,95009, 1422879, 47.80
2019-11-21,SBILIFE, EQ, 21-Nov-2019,939.7,942.45,945.45,916.0,929.95,929.6,932.82,2642185,24646.91,85734,1506667,57.02
2019-11-22,SBILIFE, EQ, 22-Nov-2019,929.6,931.0,945.75,931.0,943.9,942.65,939.1,3125980,29356.16,121081,2151841,68.84
2019-11-25,SBILIFE, EQ, 25-Nov-2019,942.65,943.5,954.4,943.5,949.15,951.6,949.99,3604001,34237.78,224120,2707483,75.12
2019-11-26,SBILIFE, EQ, 26-Nov-2019,951.6,957.4,977.95,937.85,961.1,958.95,957.57,43473998,416294.24,368973, 35201037, 80.97
