Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,SBIN, EQ, 23-Aug-2019,268.55,267.1,275.25,262.7,271.35,271.1,269.82,35212444,95010.59,225358,12871607,36.55
2019-10-01,SBIN, EQ, 01-Oct-2019,270.8,272.75,275.5,245.55,256.25,255.95,261.16,79350077,207227.95,512954,18323071,23.09
2019-10-03,SBIN, EQ, 03-Oct-2019,255.95,254.0,260.7,250.1,255.35,254.15,254.98,56207921,143320.59,414174,15549529,27.66
2019-10-04,SBIN, EQ, 04-Oct-2019,254.15,258.5,260.5,248.55,249.65,249.95,254.5,60029186,152776.12,433656,13441755,22.39
2019-10-07,SBIN, EQ, 07-Oct-2019,249.95,251.5,253.4,246.85,249.05,249.1,250.25,39160623,97998.57,286725,7471211,19.08
2019-10-09,SBIN, EQ, 09-Oct-2019,249.1,250.1,262.0,244.35,261.8,260.95,253.67,60328507,153033.9,419848,14314803,23.73
2019-10-10,SBIN, EQ, 10-Oct-2019,260.95,258.0,258.0,252.6,254.15,254.15,254.67,37577511,95699.76,235851,7379501,19.64
2019-10-11,SBIN, EQ, 11-Oct-2019,254.15,256.2,261.4,251.5,254.65,254.55,256.05,43272106,110796.84,269217,4802874,11.1
2019-10-14,SBIN, EQ, 14-Oct-2019,254.55,256.95,259.4,254.0,255.3,255.45,257.29,28265136,72724.17,179273,4441315,15.71
2019-10-15,SBIN, EQ, 15-Oct-2019,255.45,256.45,259.9,254.8,258.5,258.45,257.06,23444973,60267.37,158570,3020988,12.89
2019-10-16,SBIN, EQ, 16-Oct-2019,258.45,259.3,261.95,255.0,255.95,256.05,258.26,30892295,79782.38,208840,5747423,18.6
2019-10-17,SBIN, EQ, 17-Oct-2019,256.05,256.4,266.0,255.6,265.3,265.45,261.38,37061013,96868.93,252073,9998027,26.98
2019-10-18,SBIN, EQ, 18-Oct-2019,265.45,264.4,271.35,263.2,269.2,269.65,268.5,33203721,89152.63,203094,9219181,27.77
2019-10-22,SBIN, EQ, 22-Oct-2019,269.65,270.4,275.0,268.5,270.35,270.5,272.33,27574295,75094.43,187557,6670825,24.19
2019-10-23,SBIN, EQ, 23-Oct-2019,270.5,270.75,277.8,268.65,275.35,275.45,274.85,31789622,87372.77,209460,5801774,18.25
2019-10-24,SBIN, EQ, 24-Oct-2019,275.45,276.0,277.65,248.65,263.05,262.5,266.02,63943183,170099.84,434945,13170984,20.6
