Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,SHREECEM, EQ, 23-Aug-2019,18439.05,18370.0,18500.0,18272.3,18470.0,18409.35,18403.45,51752,9524.15,11657,35621,68.83
2019-10-01,SHREECEM, EQ, 01-Oct-2019,18888.15,18915.15,19130.45,18350.0,18669.1,18593.75,18716.47,20868,3905.75,8672,8476,40.62
2019-10-03,SHREECEM, EQ, 03-Oct-2019,18593.75,18400.0,18643.95,18127.65,18248.0,18259.6,18371.34,16230,2981.67,9195,8139,50.15
2019-10-04,SHREECEM, EQ, 04-Oct-2019,18259.6,18375.7,18391.5,18004.55,18150.5,18128.3,18128.97,25842,4684.89,9390,12554,48.58
2019-10-07,SHREECEM, EQ, 07-Oct-2019,18128.3,18240.0,18240.0,17727.0,17950.0,17826.3,17912.15,11866,2125.46,4010,7152,60.27
2019-10-09,SHREECEM, EQ, 09-Oct-2019,17826.3,17937.7,18539.35,17733.3,18451.5,18482.75,18222.7,29201,5321.21,8391,17898,61.29
2019-10-10,SHREECEM, EQ, 10-Oct-2019,18482.75,18350.0,18549.65,18116.0,18350.0,18268.75,18319.27,10771,1973.17,4145,3903,36.24
2019-10-11,SHREECEM, EQ, 11-Oct-2019,18268.75,18382.95,18570.0,18311.0,18390.0,18374.55,18432.18,13627,2511.75,4797,6361,46.68
2019-10-14,SHREECEM, EQ, 14-Oct-2019,18374.55,18400.0,18822.1,18351.1,18675.0,18695.6,18625.62,8088,1506.44,3850,3358,41.52
2019-10-15,SHREECEM, EQ, 15-Oct-2019,18695.6,18750.0,18860.95,18511.05,18599.0,18584.75,18672.09,37879,7072.8,13314,24744,65.32
2019-10-16,SHREECEM, EQ, 16-Oct-2019,18584.75,18699.9,18775.0,18501.0,18700.0,18595.85,18652.36,21922,4088.97,10093,10687,48.75
2019-10-17,SHREECEM, EQ, 17-Oct-2019,18595.85,18650.0,18699.95,17750.0,18200.0,18190.35,18124.11,40037,7256.35,10765,16032,40.04
2019-10-18,SHREECEM, EQ, 18-Oct-2019,18190.35,18304.0,18795.9,18220.1,18600.0,18679.75,18519.55,22362,4141.34,7831,8691,38.87
2019-10-22,SHREECEM, EQ, 22-Oct-2019,18679.75,19400.0,20312.45,19258.25,19550.0,19515.6,19720.15,115473,22771.45,25870,44904,38.89
2019-10-23,SHREECEM, EQ, 23-Oct-2019,19515.6,19629.8,19987.85,19461.0,19785.0,19764.95,19754.08,25321,5001.93,9917,9498,37.51
2019-10-24,SHREECEM, EQ, 24-Oct-2019,19764.95,19888.5,20449.0,19791.9,20394.95,20305.0,20202.16,28488,5755.19,9160,11851,41.6
2019-10-25,SHREECEM, EQ, 25-Oct-2019,20305.0,20280.0,20458.9,20025.0,20224.95,20130.75,20260.31,13730,2781.74,3880,4634,33.75
2019-10-27,SHREECEM, EQ, 27-Oct-2019,20130.75,20399.0,20399.0,20000.8,20090.0,20193.4,20259.34,2434,493.11,925,529,21.73
2019-10-29,SHREECEM, EQ, 29-Oct-2019,20193.4,20130.0,20401.75,20068.9,20320.0,20341.05,20253.89,15432,3125.58,5750,6393,41.43
2019-10-30,SHREECEM, EQ, 30-Oct-2019,20341.05,20600.0,20600.0,20070.0,20230.0,20246.95,20330.09,20701,4208.53,7513,10164,49.1
2019-10-31,SHREECEM, EQ, 31-Oct-2019,20246.95,20296.0,20394.0,19802.7,19999.95,19903.05,19987.73,37267,7448.83,10438,22883,61.4
2019-11-01,SHREECEM, EQ, 01-Nov-2019,19903.05,19952.6,20300.0,19803.0,20050.0,20003.65,19997.45,17769,3553.35,5316,9378,52.78
2019-11-04,SHREECEM, EQ, 04-Nov-2019,20003.65,19912.65,20340.0,19912.65,20099.0,20106.45,20178.45,31973,6451.65,9721,21590,67.53
2019-11-05,SHREECEM, EQ, 05-Nov-2019,20106.45,20199.0,20199.0,19791.55,19927.4,19829.3,19913.49,17968,3578.06,6785,9936,55.3
2019-11-06,SHREECEM, EQ, 06-Nov-2019,19829.3,19830.0,19913.1,19601.0,19750.0,19801.0,19761.25,18853,3725.59,5791,10611,56.28
2019-11-07,SHREECEM, EQ, 07-Nov-2019,19801.0,19950.0,20157.65,19873.55,20100.0,20040.75,20021.53,24010,4807.17,9041,16006,66.66
2019-11-08,SHREECEM, EQ, 08-Nov-2019,20040.75,20099.9,20166.0,19711.0,19765.9,19985.95,20000.4,22206,4441.29,4956,15145,68.2
2019-11-11,SHREECEM, EQ, 11-Nov-2019,19985.95,19870.0,19967.0,19612.55,19760.0,19784.0,19781.8,9335,1846.63,4680,5201,55.72
2019-11-13,SHREECEM, EQ, 13-Nov-2019,19784.0,19825.0,20268.75,19700.0,19713.2,19744.4,19854.39,15764,3129.85,6095,7546,47.87
2019-11-14,SHREECEM, EQ, 14-Nov-2019,19744.4,19750.05,19977.2,19550.05,19800.0,19670.5,19692.27,18505,3644.06,6035,8816,47.64
2019-11-15,SHREECEM, EQ, 15-Nov-2019,19670.5,19793.4,19800.0,19368.05,19610.0,19531.75,19594.52,31867,6244.19,8933,12827,40.25
2019-11-18,SHREECEM, EQ, 18-Nov-2019,19531.75,19745.0,20094.0,19577.45,19830.7,19869.3,19880.03,22159,4405.22,6834,11077,49.99
2019-11-19,SHREECEM, EQ, 19-Nov-2019,19869.3,19900.0,20077.95,19688.3,20065.0,20006.8,19920.23,27681,5514.12,6612, 16730, 60.44
2019-11-20,SHREECEM, EQ, 20-Nov-2019,20006.8,20003.4,20680.0,20003.4,20336.1,20289.95,20370.94,46837,9541.14,10764, 18587, 39.68
2019-11-21,SHREECEM, EQ, 21-Nov-2019,20289.95,20290.0,20574.95,20216.6,20318.05,20294.7,20331.76,23206,4718.19,8156,12416,53.5
2019-11-22,SHREECEM, EQ, 22-Nov-2019,20294.7,20300.0,20540.0,20260.65,20335.15,20297.7,20369.95,17906,3647.44,6024,9150,51.1
2019-11-25,SHREECEM, EQ, 25-Nov-2019,20297.7,20399.0,20660.85,20266.6,20593.5,20579.75,20452.82,20819,4258.07,7171,11640,55.91
2019-11-26,SHREECEM, EQ, 26-Nov-2019,20579.75,20685.0,21230.95,20590.0,20873.15,21039.85,20935.22,89725,18784.13,23907, 61768, 68.84
2019-11-27,SHREECEM, EQ, 27-Nov-2019,21039.85,21098.0,21393.65,20841.95,21377.0,21337.95,21161.66,24877,5264.39,7858,11437,45.97
2019-11-28,SHREECEM, EQ, 28-Nov-2019,21337.95,21237.8,21438.0,21104.0,21200.0,21185.4,21189.81,15537,3292.26,5209,8132,52.34
2019-11-29,SHREECEM, EQ, 29-Nov-2019,21185.4,21230.0,21299.2,20915.2,21049.0,20996.55,21058.09,18164,3824.99,6914,10520,57.92
2019-12-02,SHREECEM, EQ, 02-Dec-2019,20996.55,21099.95,21099.95,20789.75,20944.0,20918.0,20903.74,16202,3386.82,9276, 9330, 57.59
2019-12-03,SHREECEM, EQ, 03-Dec-2019,20918.0,20910.0,21089.0,20320.0,20520.0,20521.05,20644.43,17516,3616.08,7472,6806,38.86
2019-12-04,SHREECEM, EQ, 04-Dec-2019,20521.05,20599.85,20599.85,20190.9,20427.25,20436.8,20341.15,18011,3663.64,9778,7724,42.88
2019-12-05,SHREECEM, EQ, 05-Dec-2019,20436.8,20425.0,20515.55,20133.05,20429.6,20392.55,20355.32,17546,3571.54,6356,10186,58.05
2019-12-06,SHREECEM, EQ, 06-Dec-2019,20392.55,20490.0,20578.5,20239.85,20290.0,20304.7,20341.98,15533,3159.72,3939,7068,45.5
2019-12-09,SHREECEM, EQ, 09-Dec-2019,20304.7,20290.05,20507.7,20208.05,20320.0,20321.15,20348.54,11876,2416.59,4596,6236,52.51
2019-12-10,SHREECEM, EQ, 10-Dec-2019,20321.15,20330.0,20333.25,19950.0,20300.0,20106.6,20138.17,28297,5698.5,8093,18763,66.31
2019-12-11,SHREECEM, EQ, 11-Dec-2019,20106.6,20167.1,20284.95,19838.2,19889.05,19969.6,20038.48,18120,3630.97,4284,13335,73.59
2019-12-12,SHREECEM, EQ, 12-Dec-2019,19969.6,19987.0,20200.0,19902.2,20100.0,20086.0,20057.72,12362,2479.54,6386,7202,58.26
2019-12-13,SHREECEM, EQ, 13-Dec-2019,20086.0,20211.5,20469.65,20101.0,20399.9,20383.9,20367.64,22287,4539.34,8295,12509,56.13
2019-12-16,SHREECEM, EQ, 16-Dec-2019,20383.9,20383.9,20425.0,20242.15,20310.0,20302.15,20315.16,13208,2683.23,6531,7513,56.88
2019-12-17,SHREECEM, EQ, 17-Dec-2019,20302.15,20390.0,20720.0,20220.75,20590.5,20595.85,20470.17,21035,4305.9,7415,13330,63.37
2019-12-18,SHREECEM, EQ, 18-Dec-2019,20595.85,20510.0,20640.0,20133.25,20349.0,20338.8,20397.51,21054,4294.49,5960,10497,49.86
2019-12-19,SHREECEM, EQ, 19-Dec-2019,20338.8,20348.0,20410.0,20152.0,20290.15,20316.7,20296.18,6684,1356.6,2324,3220,48.17
2019-12-20,SHREECEM, EQ, 20-Dec-2019,20316.7,20356.75,20693.05,20215.15,20578.0,20553.3,20460.16,33192,6791.14,9142,18030,54.32
2019-12-23,SHREECEM, EQ, 23-Dec-2019,20553.3,20539.95,20607.7,20257.6,20315.5,20298.65,20364.64,18322,3731.21,5322,11424,62.35
2019-12-24,SHREECEM, EQ, 24-Dec-2019,20298.65,20379.0,20379.0,20114.05,20270.0,20269.3,20265.49,5527,1120.07,2124,2550,46.14
2019-12-26,SHREECEM, EQ, 26-Dec-2019,20269.3,20298.95,20429.25,20189.45,20400.0,20334.45,20296.07,14566,2956.33,3716,8718,59.85
2019-12-27,SHREECEM, EQ, 27-Dec-2019,20334.45,20389.9,20640.0,20280.0,20633.0,20506.1,20448.55,7982,1632.2,3252,3206,40.17
2019-12-30,SHREECEM, EQ, 30-Dec-2019,20506.1,20590.0,20649.0,20272.25,20516.0,20497.35,20442.79,10649,2176.95,3463,4410,41.41
2019-12-31,SHREECEM, EQ, 31-Dec-2019,20497.35,20489.0,20519.45,20330.35,20387.95,20363.95,20402.08,7138,1456.3,2347,3989,55.88
