Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2022-12-20,SHRIRAMFIN, EQ, 20-Dec-2022,1372.25,1369.9,1399.0,1352.4,1389.0,1389.25,1370.65,570309,7816.96,27503,295864,51.88
2022-12-21,SHRIRAMFIN, EQ, 21-Dec-2022,1389.25,1386.8,1419.5,1360.25,1360.25,1369.4,1390.23,857326,11918.79,38689,415277,48.44
2022-12-22,SHRIRAMFIN, EQ, 22-Dec-2022,1369.4,1375.0,1387.0,1328.35,1332.0,1339.4,1349.85,309992,4184.43,14511,105002,33.87
2022-12-23,SHRIRAMFIN, EQ, 23-Dec-2022,1339.4,1326.95,1326.95,1290.6,1296.45,1301.5,1305.4,312995,4085.82,14998,125871,40.22
2022-12-26,SHRIRAMFIN, EQ, 26-Dec-2022,1301.5,1301.55,1367.0,1295.05,1350.0,1351.15,1342.68,321370,4314.97,14892,58127,18.09
2022-12-27,SHRIRAMFIN, EQ, 27-Dec-2022,1351.15,1362.0,1390.0,1329.55,1382.0,1378.9,1364.11,484073,6603.31,26536,200646,41.45
2022-12-28,SHRIRAMFIN, EQ, 28-Dec-2022,1378.9,1363.55,1397.0,1352.5,1392.0,1388.6,1370.16,440215,6031.66,18170,159085,36.14
2022-12-29,SHRIRAMFIN, EQ, 29-Dec-2022,1388.6,1349.0,1349.0,1251.35,1314.95,1312.25,1291.7,3989146,51527.9,87415,1429661,35.84
2022-12-30,SHRIRAMFIN, EQ, 30-Dec-2022,1312.25,1330.0,1384.8,1325.15,1381.0,1376.9,1364.26,1465870,19998.21,38247,601535,41.04
2023-01-02,SHRIRAMFIN, EQ, 02-Jan-2023,1376.9,1381.0,1390.0,1362.0,1387.05,1385.8,1379.17,436989,6026.8,18891,163348,37.38
2023-01-03,SHRIRAMFIN, EQ, 03-Jan-2023,1385.8,1368.8,1376.95,1335.6,1340.0,1349.65,1358.48,535645,7276.65,26822,196315,36.65
2023-01-04,SHRIRAMFIN, EQ, 04-Jan-2023,1349.65,1348.0,1352.9,1317.85,1325.1,1328.35,1334.91,541935,7234.33,24534,228646,42.19
2023-01-05,SHRIRAMFIN, EQ, 05-Jan-2023,1328.35,1335.95,1340.0,1311.25,1318.55,1319.9,1324.07,461987,6117.02,20972,225597,48.83
2023-01-06,SHRIRAMFIN, EQ, 06-Jan-2023,1319.9,1324.9,1325.75,1287.0,1293.7,1294.65,1304.07,319983,4172.81,18463,131530,41.11
2023-01-09,SHRIRAMFIN, EQ, 09-Jan-2023,1294.65,1300.0,1324.7,1299.5,1323.5,1318.6,1315.92,469651,6180.22,41318,268008,57.07
2023-01-10,SHRIRAMFIN, EQ, 10-Jan-2023,1318.6,1322.65,1337.6,1318.6,1335.0,1333.9,1328.34,569860,7569.67,34667,367818,64.55
