Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,SIEMENS, EQ, 23-Aug-2019,1139.25,1136.0,1156.0,1122.45,1149.95,1147.6,1142.57,228500,2610.78,18204,42517,18.61
2019-10-01,SIEMENS, EQ, 01-Oct-2019,1516.05,1518.9,1565.0,1513.1,1542.0,1543.25,1544.8,1130864,17469.57,72974,308023,27.24
2019-10-03,SIEMENS, EQ, 03-Oct-2019,1543.25,1543.0,1552.0,1500.55,1533.1,1525.65,1528.65,637424,9744.0,50923,260685,40.9
2019-10-04,SIEMENS, EQ, 04-Oct-2019,1525.65,1526.0,1556.45,1526.0,1530.7,1533.4,1542.29,730395,11264.84,66340,274037,37.52
2019-10-07,SIEMENS, EQ, 07-Oct-2019,1533.4,1528.0,1560.0,1493.2,1526.8,1521.4,1536.38,831879,12780.82,53919,293035,35.23
2019-10-09,SIEMENS, EQ, 09-Oct-2019,1521.4,1521.4,1595.0,1515.5,1586.0,1588.2,1561.77,1060171,16557.47,71843,342337,32.29
2019-10-10,SIEMENS, EQ, 10-Oct-2019,1588.2,1586.0,1598.7,1554.2,1566.9,1572.3,1577.55,800313,12625.3,53111,257711,32.2
2019-10-11,SIEMENS, EQ, 11-Oct-2019,1572.3,1572.3,1595.0,1565.05,1577.0,1574.25,1578.25,508118,8019.35,38639,217219,42.75
2019-10-14,SIEMENS, EQ, 14-Oct-2019,1574.25,1580.1,1604.5,1569.65,1572.15,1573.7,1589.39,580227,9222.07,47084,241821,41.68
2019-10-15,SIEMENS, EQ, 15-Oct-2019,1573.7,1578.7,1595.5,1574.0,1592.0,1592.0,1586.95,482922,7663.71,30300,224508,46.49
2019-10-16,SIEMENS, EQ, 16-Oct-2019,1592.0,1595.0,1618.0,1592.0,1615.25,1611.25,1607.74,599054,9631.23,29373,201780,33.68
2019-10-17,SIEMENS, EQ, 17-Oct-2019,1611.25,1610.2,1632.4,1608.4,1625.5,1622.55,1621.04,857899,13906.91,33519,420748,49.04
2019-10-18,SIEMENS, EQ, 18-Oct-2019,1622.55,1625.55,1656.0,1620.2,1650.0,1648.7,1641.71,500602,8218.46,26180,214528,42.85
2019-10-22,SIEMENS, EQ, 22-Oct-2019,1648.7,1650.0,1693.5,1645.95,1680.35,1675.0,1669.25,592793,9895.2,34055,286575,48.34
2019-10-23,SIEMENS, EQ, 23-Oct-2019,1675.0,1675.0,1717.45,1659.3,1667.3,1673.2,1691.15,780998,13207.86,36866,336742,43.12
2019-10-24,SIEMENS, EQ, 24-Oct-2019,1673.2,1673.5,1680.95,1623.0,1628.1,1631.2,1642.17,576194,9462.11,31143,257183,44.63
2019-10-25,SIEMENS, EQ, 25-Oct-2019,1631.2,1628.0,1631.2,1592.5,1617.75,1620.6,1611.12,593215,9557.42,34254,274059,46.2
2019-10-27,SIEMENS, EQ, 27-Oct-2019,1620.6,1629.0,1640.0,1615.0,1629.9,1623.8,1625.74,39096,635.6,2170,13957,35.7
2019-10-29,SIEMENS, EQ, 29-Oct-2019,1623.8,1627.9,1662.95,1624.05,1638.9,1640.95,1646.16,471795,7766.51,53307,206378,43.74
2019-10-30,SIEMENS, EQ, 30-Oct-2019,1640.95,1654.65,1671.0,1641.55,1655.35,1651.3,1658.13,319316,5294.67,21313,138690,43.43
2019-10-31,SIEMENS, EQ, 31-Oct-2019,1651.3,1658.6,1676.95,1648.2,1670.0,1656.1,1661.73,452873,7525.53,30688,230163,50.82
2019-11-01,SIEMENS, EQ, 01-Nov-2019,1656.1,1666.45,1693.4,1661.75,1673.0,1671.65,1678.54,445320,7474.87,20119,210468,47.26
2019-11-04,SIEMENS, EQ, 04-Nov-2019,1671.65,1680.1,1696.7,1662.05,1685.95,1683.45,1682.56,525063,8834.49,20606,251922,47.98
2019-11-05,SIEMENS, EQ, 05-Nov-2019,1683.45,1679.5,1686.05,1640.2,1680.0,1677.4,1665.75,440520,7337.98,31986,212487,48.24
2019-11-06,SIEMENS, EQ, 06-Nov-2019,1677.4,1680.0,1708.95,1660.1,1682.2,1682.75,1686.96,589679,9947.64,42317,307715,52.18
2019-11-07,SIEMENS, EQ, 07-Nov-2019,1682.75,1686.7,1699.95,1659.0,1669.5,1665.05,1678.1,649773,10903.81,15351,395632,60.89
2019-11-08,SIEMENS, EQ, 08-Nov-2019,1665.05,1673.95,1683.0,1640.2,1647.65,1648.5,1659.8,959073,15918.72,63890,646883,67.45
2019-11-11,SIEMENS, EQ, 11-Nov-2019,1648.5,1647.0,1684.8,1640.0,1677.75,1675.2,1669.02,587190,9800.3,61641,376816,64.17
2019-11-13,SIEMENS, EQ, 13-Nov-2019,1675.2,1689.0,1695.0,1624.0,1632.0,1634.55,1650.25,842980,13911.28,54308,498748,59.16
2019-11-14,SIEMENS, EQ, 14-Nov-2019,1634.55,1635.0,1650.15,1608.25,1610.1,1612.5,1623.42,582704,9459.75,32697,322063,55.27
2019-11-15,SIEMENS, EQ, 15-Nov-2019,1612.5,1613.3,1623.2,1564.6,1575.5,1575.8,1584.84,995367,15775.0,53062,551257,55.38
2019-11-18,SIEMENS, EQ, 18-Nov-2019,1575.8,1575.5,1597.7,1545.9,1554.0,1554.6,1562.07,1109303,17328.11,33566,608770,54.88
2019-11-19,SIEMENS, EQ, 19-Nov-2019,1554.6,1554.05,1590.0,1545.55,1575.0,1579.0,1566.39,849421,13305.24,44332, 342927, 40.37
2019-11-20,SIEMENS, EQ, 20-Nov-2019,1579.0,1570.0,1597.95,1506.0,1543.2,1543.2,1546.3,2267097,35056.08,110044, 822321, 36.27
2019-11-21,SIEMENS, EQ, 21-Nov-2019,1543.2,1548.0,1551.6,1524.1,1536.05,1543.15,1540.73,864546,13320.36,43240,374411,43.31
2019-11-22,SIEMENS, EQ, 22-Nov-2019,1543.15,1543.2,1544.0,1470.3,1494.6,1489.55,1491.0,1465111,21844.82,86793,585709,39.98
2019-11-25,SIEMENS, EQ, 25-Nov-2019,1489.55,1494.0,1527.65,1491.55,1526.5,1521.6,1512.11,1021393,15444.56,61790,470483,46.06
2019-11-26,SIEMENS, EQ, 26-Nov-2019,1521.6,1530.0,1542.15,1462.15,1468.0,1493.9,1498.8,7621739,114234.95,211553, 6272544, 82.30
2019-11-27,SIEMENS, EQ, 27-Nov-2019,1493.9,1479.8,1484.0,1448.0,1478.2,1474.25,1462.57,1143254,16720.87,62841,445867,39.0
2019-11-28,SIEMENS, EQ, 28-Nov-2019,1474.25,1481.0,1493.9,1465.7,1487.0,1486.85,1478.23,476410,7042.43,29895,131696,27.64
2019-11-29,SIEMENS, EQ, 29-Nov-2019,1486.85,1486.25,1498.0,1461.05,1467.25,1470.2,1473.55,401229,5912.33,20669,160132,39.91
2019-12-02,SIEMENS, EQ, 02-Dec-2019,1470.2,1470.1,1489.0,1463.1,1483.0,1482.7,1477.6,265743,3926.63,21263, 100608, 37.86
2019-12-03,SIEMENS, EQ, 03-Dec-2019,1482.7,1478.1,1493.5,1466.0,1477.3,1477.15,1478.17,382335,5651.57,25351,193475,50.6
2019-12-04,SIEMENS, EQ, 04-Dec-2019,1477.15,1476.0,1503.7,1460.05,1483.05,1485.8,1490.86,684849,10210.11,42825,198661,29.01
2019-12-05,SIEMENS, EQ, 05-Dec-2019,1485.8,1487.0,1494.9,1469.15,1475.3,1479.05,1481.17,246746,3654.72,18769,74623,30.24
2019-12-06,SIEMENS, EQ, 06-Dec-2019,1479.05,1483.7,1489.65,1456.4,1476.95,1475.15,1474.0,286715,4226.19,15591,105137,36.67
2019-12-09,SIEMENS, EQ, 09-Dec-2019,1475.15,1480.0,1485.0,1463.1,1477.2,1474.8,1472.95,203357,2995.34,13349,62725,30.84
2019-12-10,SIEMENS, EQ, 10-Dec-2019,1474.8,1478.0,1488.85,1460.0,1463.0,1464.75,1474.89,158161,2332.7,9500,17848,11.28
2019-12-11,SIEMENS, EQ, 11-Dec-2019,1464.75,1467.5,1498.9,1453.65,1490.75,1493.0,1475.72,361335,5332.28,20468,142240,39.37
2019-12-12,SIEMENS, EQ, 12-Dec-2019,1493.0,1499.0,1506.9,1473.35,1487.9,1487.8,1488.3,369558,5500.12,33384,99280,26.86
2019-12-13,SIEMENS, EQ, 13-Dec-2019,1487.8,1493.7,1499.0,1424.65,1482.75,1484.1,1482.36,354061,5248.46,15692,109160,30.83
2019-12-16,SIEMENS, EQ, 16-Dec-2019,1484.1,1484.0,1518.5,1482.75,1493.05,1493.35,1503.55,938735,14114.35,42373,242570,25.84
2019-12-17,SIEMENS, EQ, 17-Dec-2019,1493.35,1496.1,1504.8,1480.3,1492.85,1495.05,1492.57,391336,5840.95,25412,115028,29.39
2019-12-18,SIEMENS, EQ, 18-Dec-2019,1495.05,1497.6,1515.3,1493.0,1504.0,1503.4,1504.85,448321,6746.55,20664,109865,24.51
2019-12-19,SIEMENS, EQ, 19-Dec-2019,1503.4,1502.4,1537.0,1497.0,1530.0,1527.7,1523.14,761881,11604.49,28768,181293,23.8
2019-12-20,SIEMENS, EQ, 20-Dec-2019,1527.7,1534.6,1549.9,1516.6,1531.25,1540.45,1536.08,1024116,15731.21,34888,381597,37.26
2019-12-23,SIEMENS, EQ, 23-Dec-2019,1540.45,1539.0,1558.0,1524.25,1530.55,1533.25,1541.33,498731,7687.11,24997,110902,22.24
2019-12-24,SIEMENS, EQ, 24-Dec-2019,1533.25,1538.0,1547.2,1530.3,1539.0,1535.7,1540.24,199095,3066.54,10324,33495,16.82
2019-12-26,SIEMENS, EQ, 26-Dec-2019,1535.7,1536.15,1541.35,1516.0,1520.25,1521.75,1527.09,266598,4071.2,12029,69626,26.12
2019-12-27,SIEMENS, EQ, 27-Dec-2019,1521.75,1527.7,1534.95,1520.25,1526.75,1526.75,1526.67,188496,2877.71,14116,56971,30.22
2019-12-30,SIEMENS, EQ, 30-Dec-2019,1526.75,1530.55,1545.0,1513.7,1516.05,1518.25,1528.2,397865,6080.15,14488,169575,42.62
2019-12-31,SIEMENS, EQ, 31-Dec-2019,1518.25,1515.0,1524.0,1492.7,1497.0,1496.7,1506.87,330506,4980.31,15522,102593,31.04
2020-01-01,SIEMENS, EQ, 01-Jan-2020,1496.7,1496.7,1507.9,1487.1,1488.6,1491.25,1495.11,158161,2364.67,9173,22365,14.14
2020-01-02,SIEMENS, EQ, 02-Jan-2020,1491.25,1499.0,1518.9,1485.6,1514.9,1513.7,1501.12,338340,5078.9,13781,82279,24.32
2020-01-03,SIEMENS, EQ, 03-Jan-2020,1513.7,1516.0,1517.5,1492.65,1510.0,1511.15,1506.19,318700,4800.23,22062,127777,40.09
2020-01-06,SIEMENS, EQ, 06-Jan-2020,1511.15,1490.1,1504.65,1459.55,1471.55,1474.5,1477.81,251738,3720.2,17382,52439,20.83
2020-01-07,SIEMENS, EQ, 07-Jan-2020,1474.5,1479.95,1497.35,1475.0,1485.85,1485.15,1484.45,187292,2780.26,13984,47519,25.37
2020-01-08,SIEMENS, EQ, 08-Jan-2020,1485.15,1470.55,1483.0,1463.1,1473.55,1473.1,1471.03,215038,3163.28,10448,67542,31.41
2020-01-09,SIEMENS, EQ, 09-Jan-2020,1473.1,1509.4,1511.85,1486.05,1510.9,1509.4,1499.84,208851,3132.43,11702,38049,18.22
