Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,SJVN, EQ, 23-Aug-2019,24.2,24.2,24.4,23.95,24.15,24.15,24.09,2162193,520.8,12335,1483450,68.61
2019-10-01,SJVN, EQ, 01-Oct-2019,24.25,24.2,24.55,24.0,24.45,24.3,24.24,1035203,250.98,4023,445829,43.07
2019-10-03,SJVN, EQ, 03-Oct-2019,24.3,24.45,24.45,23.85,23.95,23.9,24.02,1118380,268.64,6702,723136,64.66
2019-10-04,SJVN, EQ, 04-Oct-2019,23.9,24.05,24.1,23.75,23.9,23.8,23.89,1881526,449.41,20487,950748,50.53
2019-10-07,SJVN, EQ, 07-Oct-2019,23.8,24.0,24.1,23.75,24.0,23.95,23.9,754831,180.43,3617,404809,53.63
2019-10-09,SJVN, EQ, 09-Oct-2019,23.95,24.0,24.3,23.85,23.95,24.05,24.0,736606,176.77,3440,411830,55.91
2019-10-10,SJVN, EQ, 10-Oct-2019,24.05,24.0,24.2,23.95,23.95,24.0,24.0,507944,121.93,4440,282858,55.69
2019-10-11,SJVN, EQ, 11-Oct-2019,24.0,24.0,24.1,23.9,23.9,23.95,23.97,632769,151.67,7244,295733,46.74
2019-10-14,SJVN, EQ, 14-Oct-2019,23.95,23.9,24.55,23.85,24.35,24.25,24.16,2139555,516.88,13193,878354,41.05
2019-10-15,SJVN, EQ, 15-Oct-2019,24.25,24.15,24.95,24.15,24.9,24.8,24.67,1068754,263.65,4658,558675,52.27
2019-10-16,SJVN, EQ, 16-Oct-2019,24.8,24.85,24.95,24.4,24.55,24.55,24.6,753586,185.36,6722,303958,40.33
2019-10-17,SJVN, EQ, 17-Oct-2019,24.55,24.55,24.65,24.15,24.3,24.2,24.33,906979,220.64,9417,473523,52.21
2019-10-18,SJVN, EQ, 18-Oct-2019,24.2,24.3,25.8,24.25,25.7,25.65,25.21,5806433,1464.0,10285,4375220,75.35
2019-10-22,SJVN, EQ, 22-Oct-2019,25.65,25.8,25.85,24.55,24.6,24.6,24.85,1614588,401.23,6832,866427,53.66
2019-10-23,SJVN, EQ, 23-Oct-2019,24.6,24.7,25.0,24.6,24.9,24.95,24.86,618246,153.72,2712,299471,48.44
2019-10-24,SJVN, EQ, 24-Oct-2019,24.95,24.95,25.0,24.6,24.9,24.85,24.83,964876,239.53,3424,421874,43.72
2019-10-25,SJVN, EQ, 25-Oct-2019,24.85,24.7,25.0,24.7,24.85,24.9,24.92,301168,75.05,906,156326,51.91
2019-10-27,SJVN, EQ, 27-Oct-2019,24.9,25.0,25.25,24.9,25.25,25.15,25.12,149785,37.62,667,104558,69.81
2019-10-29,SJVN, EQ, 29-Oct-2019,25.15,25.0,25.0,24.8,24.85,24.85,24.91,755328,188.15,2012,364398,48.24
2019-10-30,SJVN, EQ, 30-Oct-2019,24.85,25.0,25.0,24.75,25.0,24.85,24.89,1206426,300.29,3361,653085,54.13
2019-10-31,SJVN, EQ, 31-Oct-2019,24.85,25.0,25.0,24.3,24.5,24.5,24.63,2080475,512.42,9808,1342031,64.51
2019-11-01,SJVN, EQ, 01-Nov-2019,24.5,24.7,24.85,24.45,24.75,24.7,24.64,720464,177.55,2106,398610,55.33
2019-11-04,SJVN, EQ, 04-Nov-2019,24.7,25.0,25.0,24.45,24.5,24.5,24.56,3820653,938.5,4243,3182931,83.31
2019-11-05,SJVN, EQ, 05-Nov-2019,24.5,24.5,25.3,24.35,24.5,24.5,24.51,3328210,815.83,3407,2639571,79.31
2019-11-06,SJVN, EQ, 06-Nov-2019,24.5,24.5,24.65,24.35,24.55,24.5,24.49,1705368,417.64,6276,1058047,62.04
2019-11-07,SJVN, EQ, 07-Nov-2019,24.5,24.6,24.9,24.45,24.55,24.5,24.57,2746741,674.91,5965,1290365,46.98
2019-11-08,SJVN, EQ, 08-Nov-2019,24.5,24.6,24.65,24.45,24.6,24.5,24.54,1294274,317.67,2031,818643,63.25
2019-11-11,SJVN, EQ, 11-Nov-2019,24.5,24.5,24.9,24.4,24.65,24.5,24.59,1730718,425.6,1866,1105195,63.86
2019-11-13,SJVN, EQ, 13-Nov-2019,24.5,25.5,25.6,24.45,24.65,24.55,24.87,5579424,1387.44,7857,3482741,62.42
2019-11-14,SJVN, EQ, 14-Nov-2019,24.55,24.7,24.8,24.5,24.65,24.55,24.6,1246942,306.72,1922,629746,50.5
2019-11-15,SJVN, EQ, 15-Nov-2019,24.55,24.65,24.85,24.4,24.5,24.5,24.56,2362237,580.15,2836,1493945,63.24
2019-11-18,SJVN, EQ, 18-Nov-2019,24.5,24.5,24.75,24.45,24.6,24.55,24.5,8628408,2114.37,2592,8104252,93.93
2019-11-19,SJVN, EQ, 19-Nov-2019,24.55,24.5,24.7,24.5,24.5,24.55,24.57,688549,169.17,1327, 407938, 59.25
2019-11-20,SJVN, EQ, 20-Nov-2019,24.55,24.7,24.75,24.5,24.7,24.65,24.61,1308128,321.96,2106, 557555, 42.62
2019-11-21,SJVN, EQ, 21-Nov-2019,24.65,24.65,24.95,24.55,24.75,24.65,24.73,1006722,248.95,2197,448982,44.6
2019-11-22,SJVN, EQ, 22-Nov-2019,24.65,24.7,24.75,24.6,24.65,24.65,24.64,506781,124.85,1362,237473,46.86
