Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,SRF, EQ, 23-Aug-2019,2787.75,2790.1,2832.0,2753.0,2815.0,2809.85,2792.0,361708,10098.89,25005,90297,24.96
2019-10-01,SRF, EQ, 01-Oct-2019,2751.95,2745.0,2760.0,2652.05,2673.25,2683.0,2708.26,358647,9713.1,36618,95544,26.64
2019-10-03,SRF, EQ, 03-Oct-2019,2683.0,2678.95,2749.15,2642.15,2725.5,2731.0,2711.35,206802,5607.12,12652,41123,19.89
2019-10-04,SRF, EQ, 04-Oct-2019,2731.0,2730.0,2769.0,2659.85,2679.0,2667.95,2719.31,206571,5617.3,13386,37869,18.33
2019-10-07,SRF, EQ, 07-Oct-2019,2667.95,2670.05,2690.95,2637.55,2651.0,2650.7,2663.32,106393,2833.59,6890,17071,16.05
2019-10-09,SRF, EQ, 09-Oct-2019,2650.7,2650.5,2760.0,2650.1,2755.0,2748.7,2721.95,212995,5797.62,14146,58074,27.27
2019-10-10,SRF, EQ, 10-Oct-2019,2748.7,2745.5,2789.0,2722.25,2739.9,2743.4,2754.34,171990,4737.19,12956,27444,15.96
2019-10-11,SRF, EQ, 11-Oct-2019,2743.4,2739.5,2746.0,2686.0,2690.0,2693.95,2711.75,161988,4392.7,15675,55047,33.98
2019-10-14,SRF, EQ, 14-Oct-2019,2693.95,2699.0,2713.45,2595.2,2611.95,2612.65,2656.78,424743,11284.49,20939,170196,40.07
2019-10-15,SRF, EQ, 15-Oct-2019,2612.65,2625.0,2669.85,2588.0,2621.35,2624.65,2632.29,557839,14683.96,30975,188910,33.86
2019-10-16,SRF, EQ, 16-Oct-2019,2624.65,2635.0,2648.25,2590.0,2632.0,2633.95,2626.08,340303,8936.64,16217,120410,35.38
2019-10-17,SRF, EQ, 17-Oct-2019,2633.95,2635.0,2688.4,2618.0,2672.2,2677.9,2655.1,273860,7271.27,18719,56821,20.75
2019-10-18,SRF, EQ, 18-Oct-2019,2677.9,2677.9,2721.95,2664.5,2693.7,2693.7,2701.0,181485,4901.9,10831,47313,26.07
2019-10-22,SRF, EQ, 22-Oct-2019,2693.7,2694.9,2749.0,2694.9,2712.6,2713.8,2725.82,134036,3653.59,7000,20886,15.58
2019-10-23,SRF, EQ, 23-Oct-2019,2713.8,2716.55,2893.0,2703.0,2836.0,2825.35,2829.07,584155,16526.16,31773,56485,9.67
2019-10-24,SRF, EQ, 24-Oct-2019,2825.35,2840.0,2879.0,2835.0,2851.0,2846.05,2857.2,267804,7651.69,16325,87258,32.58
2019-10-25,SRF, EQ, 25-Oct-2019,2846.05,2851.0,2930.0,2835.0,2849.1,2851.1,2885.37,501355,14465.93,29686,109078,21.76
2019-10-27,SRF, EQ, 27-Oct-2019,2851.1,2872.0,2874.0,2842.0,2851.0,2853.3,2858.71,17405,497.56,1610,2887,16.59
2019-10-29,SRF, EQ, 29-Oct-2019,2853.3,2862.9,2948.0,2783.05,2784.0,2819.6,2867.9,348293,9988.68,30014,123587,35.48
2019-10-30,SRF, EQ, 30-Oct-2019,2819.6,2808.5,2814.95,2715.0,2799.5,2796.15,2770.33,855803,23708.58,45020,383518,44.81
2019-10-31,SRF, EQ, 31-Oct-2019,2796.15,2799.9,2920.0,2757.95,2900.0,2896.25,2843.03,647862,18418.89,27522,142487,21.99
2019-11-01,SRF, EQ, 01-Nov-2019,2896.25,2895.55,2925.3,2860.0,2902.0,2902.6,2896.49,307775,8914.67,16775,47837,15.54
2019-11-04,SRF, EQ, 04-Nov-2019,2902.6,2902.0,2975.0,2870.8,2941.0,2929.9,2926.41,613224,17945.42,36828,69762,11.38
2019-11-05,SRF, EQ, 05-Nov-2019,2929.9,2900.0,3064.7,2890.0,2956.0,2957.45,2961.81,1150812,34084.87,57808,213807,18.58
2019-11-06,SRF, EQ, 06-Nov-2019,2957.45,2955.0,3128.35,2931.6,3070.0,3067.1,3065.62,1433435,43943.63,73740,206528,14.41
2019-11-07,SRF, EQ, 07-Nov-2019,3067.1,3079.0,3165.0,3039.0,3152.95,3148.75,3107.12,720917,22399.73,42693,120139,16.66
2019-11-08,SRF, EQ, 08-Nov-2019,3148.75,3148.0,3225.0,3119.6,3141.9,3139.45,3176.08,799344,25387.81,60206,150804,18.87
2019-11-11,SRF, EQ, 11-Nov-2019,3139.45,3135.3,3197.75,3129.4,3157.5,3154.75,3161.62,361518,11429.84,22335,75592,20.91
2019-11-13,SRF, EQ, 13-Nov-2019,3154.75,3170.0,3190.0,3130.0,3146.0,3144.7,3167.32,354111,11215.83,20101,42950,12.13
2019-11-14,SRF, EQ, 14-Nov-2019,3144.7,3150.0,3190.0,3130.0,3161.15,3159.7,3165.82,316254,10012.03,15917,18527,5.86
2019-11-15,SRF, EQ, 15-Nov-2019,3159.7,3178.0,3244.85,3158.2,3214.0,3215.7,3217.08,517635,16652.74,25197,38749,7.49
2019-11-18,SRF, EQ, 18-Nov-2019,3215.7,3237.95,3245.7,3182.75,3206.0,3206.35,3212.89,307592,9882.6,18101,55583,18.07
2019-11-19,SRF, EQ, 19-Nov-2019,3206.35,3218.0,3226.35,3185.2,3208.0,3200.55,3202.65,128761,4123.77,7010, 18330, 14.24
2019-11-20,SRF, EQ, 20-Nov-2019,3200.55,3200.0,3272.9,3200.0,3220.1,3220.35,3240.89,379707,12305.89,20791, 36104, 9.51
