Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,SUNPHARMA, EQ, 23-Aug-2019,414.55,415.0,429.95,408.9,427.9,427.8,420.84,5479802,23060.93,85076,1015295,18.53,Pharma
2019-10-01,SUNPHARMA, EQ, 01-Oct-2019,389.45,388.5,396.4,380.1,388.0,386.55,389.01,4308157,16759.02,98376,1346550,31.26,Pharma
2019-10-03,SUNPHARMA, EQ, 03-Oct-2019,386.55,382.0,391.45,377.65,387.1,388.15,385.43,5216456,20105.96,106807,1927697,36.95,Pharma
2019-10-04,SUNPHARMA, EQ, 04-Oct-2019,388.15,389.0,394.0,384.2,385.45,386.05,388.48,4024033,15632.6,88238,1413161,35.12,Pharma
2019-10-07,SUNPHARMA, EQ, 07-Oct-2019,386.05,386.05,387.65,372.6,380.25,379.9,378.94,5151963,19522.94,87751,996821,19.35,Pharma
2019-10-09,SUNPHARMA, EQ, 09-Oct-2019,379.9,378.0,387.75,374.2,384.1,383.95,381.12,4991946,19025.21,87267,1792162,35.9,Pharma
2019-10-10,SUNPHARMA, EQ, 10-Oct-2019,383.95,385.0,389.8,378.7,386.05,387.05,385.55,4581317,17663.31,64463,1195620,26.1,Pharma
2019-10-11,SUNPHARMA, EQ, 11-Oct-2019,387.05,387.4,389.35,381.5,387.3,386.3,384.62,4273739,16437.73,56854,1099912,25.74,Pharma
2019-10-14,SUNPHARMA, EQ, 14-Oct-2019,386.3,387.0,399.0,387.0,395.5,394.65,394.99,4372357,17270.51,73295,1194634,27.32,Pharma
2019-10-15,SUNPHARMA, EQ, 15-Oct-2019,394.65,397.2,400.0,392.25,396.2,396.8,396.46,2892153,11466.21,45973,396183,13.7,Pharma
2019-10-16,SUNPHARMA, EQ, 16-Oct-2019,396.8,398.05,402.2,394.25,398.6,399.7,399.19,5503380,21969.19,71067,2074560,37.7,Pharma
2019-10-17,SUNPHARMA, EQ, 17-Oct-2019,399.7,401.6,402.55,396.8,400.0,401.5,399.68,2934902,11730.28,54036,786561,26.8,Pharma
2019-10-18,SUNPHARMA, EQ, 18-Oct-2019,401.5,401.0,406.5,397.5,400.95,401.65,402.57,4647037,18707.45,55301,1291991,27.8,Pharma
2019-10-22,SUNPHARMA, EQ, 22-Oct-2019,401.65,402.0,408.0,400.95,405.6,405.45,405.26,2944611,11933.39,84680,1054658,35.82,Pharma
2019-10-23,SUNPHARMA, EQ, 23-Oct-2019,405.45,405.6,411.35,403.0,405.5,405.2,406.39,3374975,13715.68,60552,1120339,33.2,Pharma
2019-10-24,SUNPHARMA, EQ, 24-Oct-2019,405.2,405.0,407.75,398.7,406.4,405.95,404.16,3017220,12194.31,74302,799222,26.49,Pharma
2019-10-25,SUNPHARMA, EQ, 25-Oct-2019,405.95,405.0,419.5,401.05,416.35,417.5,412.93,4845146,20007.26,77514,1554096,32.08,Pharma
2019-10-27,SUNPHARMA, EQ, 27-Oct-2019,417.5,416.05,419.8,416.05,417.0,417.75,417.96,359082,1500.84,7411,121699,33.89,Pharma
2019-10-29,SUNPHARMA, EQ, 29-Oct-2019,417.75,417.7,425.5,414.0,421.8,421.95,421.72,3863059,16291.14,71180,1489602,38.56,Pharma
2019-10-30,SUNPHARMA, EQ, 30-Oct-2019,421.95,426.95,432.55,418.1,429.6,429.65,424.82,3511610,14918.17,58004,758810,21.61,Pharma
2019-10-31,SUNPHARMA, EQ, 31-Oct-2019,429.65,429.6,440.55,428.8,434.7,433.4,435.27,6710116,29206.95,97323,3192973,47.58,Pharma
2019-11-01,SUNPHARMA, EQ, 01-Nov-2019,433.4,434.65,440.9,433.1,438.9,437.55,437.32,3545584,15505.66,58866,1042470,29.4,Pharma
2019-11-04,SUNPHARMA, EQ, 04-Nov-2019,437.55,439.95,442.4,433.65,438.6,437.95,439.19,4646694,20407.93,58805,2023989,43.56,Pharma
2019-11-05,SUNPHARMA, EQ, 05-Nov-2019,437.95,435.5,439.8,424.05,429.2,429.9,431.06,6719996,28967.25,65433,3498644,52.06,Pharma
2019-11-06,SUNPHARMA, EQ, 06-Nov-2019,429.9,432.4,452.9,422.1,427.5,427.9,438.13,15917528,69738.71,184052,2890919,18.16,Pharma
2019-11-07,SUNPHARMA, EQ, 07-Nov-2019,427.9,431.7,444.0,423.4,442.5,440.6,435.78,14294406,62291.6,152916,3490801,24.42,Pharma
2019-11-08,SUNPHARMA, EQ, 08-Nov-2019,440.6,442.0,442.5,420.85,421.65,422.1,428.17,11902470,50962.28,138582,3162515,26.57,Pharma
2019-11-11,SUNPHARMA, EQ, 11-Nov-2019,422.1,415.0,423.3,407.1,420.6,421.45,416.73,10249882,42714.27,127922,2702993,26.37,Pharma
2019-11-13,SUNPHARMA, EQ, 13-Nov-2019,421.45,420.0,426.9,410.0,412.55,412.0,417.92,6033467,25214.93,71449,2667612,44.21,Pharma
2019-11-14,SUNPHARMA, EQ, 14-Nov-2019,412.0,413.2,417.35,407.55,410.5,410.2,412.73,4750176,19605.17,127361,2143285,45.12,Pharma
2019-11-15,SUNPHARMA, EQ, 15-Nov-2019,410.2,412.75,418.9,410.15,416.0,415.05,415.04,5416931,22482.55,67389,2328614,42.99,Pharma
2019-11-18,SUNPHARMA, EQ, 18-Nov-2019,415.05,418.0,430.0,417.05,424.75,424.55,425.04,7710740,32773.42,109161,2544570,33.0,Pharma
