Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,SUNTV, EQ, 23-Aug-2019,415.1,411.7,435.7,408.0,435.0,434.1,426.07,1435521,6116.36,22627,135013,9.41,Others
2019-10-01,SUNTV, EQ, 01-Oct-2019,472.7,474.95,484.3,459.25,478.15,477.9,476.17,2715261,12929.2,38266,692837,25.52,Others
2019-10-03,SUNTV, EQ, 03-Oct-2019,477.9,469.95,488.0,466.0,486.0,485.1,479.69,1937035,9291.82,29163,162914,8.41,Others
2019-10-04,SUNTV, EQ, 04-Oct-2019,485.1,483.7,486.0,460.5,460.5,462.95,475.34,1575271,7487.9,23393,261244,16.58,Others
2019-10-07,SUNTV, EQ, 07-Oct-2019,462.95,462.9,464.5,449.0,459.0,459.8,457.15,1365246,6241.22,20691,98506,7.22,Others
2019-10-09,SUNTV, EQ, 09-Oct-2019,459.8,459.0,473.8,452.15,470.9,471.75,464.54,1400243,6504.73,23084,93766,6.7,Others
2019-10-10,SUNTV, EQ, 10-Oct-2019,471.75,466.3,480.8,464.5,467.45,468.15,472.03,1536015,7250.44,19156,348410,22.68,Others
2019-10-11,SUNTV, EQ, 11-Oct-2019,468.15,467.0,476.0,462.6,466.85,467.1,469.93,1385288,6509.93,20791,150420,10.86,Others
2019-10-14,SUNTV, EQ, 14-Oct-2019,467.1,470.0,482.6,466.45,479.4,480.3,476.39,981882,4677.6,13640,182799,18.62,Others
2019-10-15,SUNTV, EQ, 15-Oct-2019,480.3,476.1,495.0,476.1,490.5,490.1,487.64,2254599,10994.25,31279,405722,18.0,Others
2019-10-16,SUNTV, EQ, 16-Oct-2019,490.1,486.85,500.0,481.7,483.65,483.2,491.1,1721899,8456.24,23469,199319,11.58,Others
2019-10-17,SUNTV, EQ, 17-Oct-2019,483.2,486.0,504.45,482.1,502.6,502.55,493.48,1848392,9121.43,25855,303235,16.41,Others
2019-10-18,SUNTV, EQ, 18-Oct-2019,502.55,496.1,519.45,495.7,517.5,516.95,509.17,1880802,9576.43,32846,204511,10.87,Others
2019-10-22,SUNTV, EQ, 22-Oct-2019,516.95,516.95,532.4,514.2,516.0,520.0,523.72,2076744,10876.4,28712,488055,23.5,Others
2019-10-23,SUNTV, EQ, 23-Oct-2019,520.0,519.55,525.15,512.5,515.75,517.6,518.49,954999,4951.6,12617,36685,3.84,Others
2019-10-24,SUNTV, EQ, 24-Oct-2019,517.6,519.5,523.9,513.6,520.0,520.3,520.15,1347034,7006.64,18765,395327,29.35,Others
2019-10-25,SUNTV, EQ, 25-Oct-2019,520.3,521.25,535.75,520.45,533.0,531.6,529.91,1363039,7222.95,21224,200951,14.74,Others
2019-10-27,SUNTV, EQ, 27-Oct-2019,531.6,534.2,536.4,525.0,531.9,531.25,532.22,80643,429.2,2075,10761,13.34,Others
2019-10-29,SUNTV, EQ, 29-Oct-2019,531.25,530.0,533.2,522.15,527.0,528.2,528.43,1137942,6013.24,18425,213285,18.74,Others
2019-10-30,SUNTV, EQ, 30-Oct-2019,528.2,530.0,535.3,517.05,519.0,519.15,523.68,1150048,6022.58,15857,261513,22.74,Others
