Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,SYNGENE, EQ, 23-Aug-2019,304.7,305.0,306.2,297.5,299.5,300.35,301.22,49963,150.5,3642,29459,58.96
2019-10-01,SYNGENE, EQ, 01-Oct-2019,310.05,310.9,313.5,304.5,307.5,307.7,307.98,43168,132.95,1526,28916,66.98
2019-10-03,SYNGENE, EQ, 03-Oct-2019,307.7,306.0,311.0,302.6,309.5,309.8,306.94,25806,79.21,2422,15083,58.45
2019-10-04,SYNGENE, EQ, 04-Oct-2019,309.8,306.0,314.35,306.0,310.0,310.6,310.73,91466,284.21,1981,81844,89.48
2019-10-07,SYNGENE, EQ, 07-Oct-2019,310.6,312.2,312.2,303.0,309.5,306.15,307.47,334395,1028.15,5808,317107,94.83
2019-10-09,SYNGENE, EQ, 09-Oct-2019,306.15,309.5,309.5,304.05,305.0,305.0,305.05,144689,441.38,2778,131901,91.16
2019-10-10,SYNGENE, EQ, 10-Oct-2019,305.0,304.15,310.95,303.1,307.3,309.1,305.48,366817,1120.53,4948,343191,93.56
2019-10-11,SYNGENE, EQ, 11-Oct-2019,309.1,307.3,312.95,303.55,309.4,309.95,306.54,244941,750.83,5738,210182,85.81
2019-10-14,SYNGENE, EQ, 14-Oct-2019,309.95,313.6,316.0,309.9,314.6,315.05,314.57,83818,263.67,9021,58891,70.26
2019-10-15,SYNGENE, EQ, 15-Oct-2019,315.05,315.05,333.0,315.05,325.0,325.55,324.03,217681,705.35,6555,136597,62.75
2019-10-16,SYNGENE, EQ, 16-Oct-2019,325.55,325.55,331.65,319.75,326.0,326.7,326.63,83283,272.03,9873,38269,45.95
2019-10-17,SYNGENE, EQ, 17-Oct-2019,326.7,326.55,329.0,323.25,328.0,327.9,326.31,43160,140.83,5337,28513,66.06
2019-10-18,SYNGENE, EQ, 18-Oct-2019,327.9,324.6,334.5,324.6,330.55,332.25,330.63,100886,333.55,7997,71879,71.25
2019-10-22,SYNGENE, EQ, 22-Oct-2019,332.25,333.9,333.9,322.2,326.35,326.75,329.54,229282,755.59,6350,188802,82.34
2019-10-23,SYNGENE, EQ, 23-Oct-2019,326.75,333.95,344.35,330.0,331.05,330.95,334.49,221850,742.07,9081,82918,37.38
2019-10-24,SYNGENE, EQ, 24-Oct-2019,330.95,335.75,335.75,327.25,330.0,330.05,330.26,97296,321.33,2121,75862,77.97
2019-10-25,SYNGENE, EQ, 25-Oct-2019,330.05,327.2,334.2,327.2,330.0,330.0,330.27,69511,229.58,1653,53130,76.43
2019-10-27,SYNGENE, EQ, 27-Oct-2019,330.0,327.05,332.0,325.35,330.0,329.15,328.33,18820,61.79,832,10471,55.64
2019-10-29,SYNGENE, EQ, 29-Oct-2019,329.15,326.2,333.0,324.95,330.5,330.05,329.74,73219,241.43,1436,49638,67.79
2019-10-30,SYNGENE, EQ, 30-Oct-2019,330.05,328.1,331.5,328.1,330.05,330.15,330.22,55902,184.6,1982,39691,71.0
2019-10-31,SYNGENE, EQ, 31-Oct-2019,330.15,329.35,332.0,326.55,331.45,331.4,330.21,348151,1149.64,8055,311536,89.48
2019-11-01,SYNGENE, EQ, 01-Nov-2019,331.4,331.7,331.7,323.5,324.9,325.25,327.92,41241,135.24,3579,27937,67.74
2019-11-04,SYNGENE, EQ, 04-Nov-2019,325.25,327.3,332.0,325.4,331.2,330.0,330.32,76131,251.47,1726,62373,81.93
2019-11-05,SYNGENE, EQ, 05-Nov-2019,330.0,330.35,331.8,328.25,330.0,330.25,330.38,70919,234.3,2698,59502,83.9
2019-11-06,SYNGENE, EQ, 06-Nov-2019,330.25,331.9,333.2,325.1,325.1,327.8,329.99,438536,1447.11,1708,418050,95.33
2019-11-07,SYNGENE, EQ, 07-Nov-2019,327.8,328.25,331.5,316.0,328.95,323.4,322.22,80829,260.45,4596,49801,61.61
2019-11-08,SYNGENE, EQ, 08-Nov-2019,323.4,321.0,332.0,321.0,330.95,330.35,326.63,53983,176.33,1894,32153,59.56
2019-11-11,SYNGENE, EQ, 11-Nov-2019,330.35,328.4,332.75,327.35,330.0,330.65,330.3,55230,182.42,4285,38843,70.33
2019-11-13,SYNGENE, EQ, 13-Nov-2019,330.65,327.1,331.45,327.1,330.0,329.95,329.93,121275,400.13,4644,100405,82.79
2019-11-14,SYNGENE, EQ, 14-Nov-2019,329.95,329.0,330.95,318.2,321.9,322.45,321.05,111175,356.93,2750,91321,82.14
2019-11-15,SYNGENE, EQ, 15-Nov-2019,322.45,322.45,325.4,317.1,318.1,320.35,320.07,286011,915.42,2673,270429,94.55
