Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,TATACOMM, EQ, 23-Aug-2019,423.8,423.0,427.05,401.95,420.55,421.45,418.53,109870,459.84,5529,52990,48.23
2019-10-01,TATACOMM, EQ, 01-Oct-2019,375.1,381.0,384.4,351.05,365.55,367.2,374.97,632208,2370.56,10040,397294,62.84
2019-10-03,TATACOMM, EQ, 03-Oct-2019,367.2,364.0,374.4,352.45,365.0,365.9,370.42,760542,2817.24,3794,679105,89.29
2019-10-04,TATACOMM, EQ, 04-Oct-2019,365.9,372.0,372.5,365.2,366.0,365.85,368.54,78334,288.69,2323,51393,65.61
2019-10-07,TATACOMM, EQ, 07-Oct-2019,365.85,371.8,371.8,360.0,360.0,363.45,365.29,52922,193.32,1478,31641,59.79
2019-10-09,TATACOMM, EQ, 09-Oct-2019,363.45,363.45,370.0,356.0,363.0,362.95,362.69,92813,336.62,1653,55111,59.38
2019-10-10,TATACOMM, EQ, 10-Oct-2019,362.95,363.0,372.95,363.0,369.0,370.5,369.8,143325,530.01,2765,67413,47.04
2019-10-11,TATACOMM, EQ, 11-Oct-2019,370.5,371.9,373.95,337.3,353.15,353.7,360.87,214549,774.24,4372,138286,64.45
2019-10-14,TATACOMM, EQ, 14-Oct-2019,353.7,356.1,368.15,340.0,354.05,354.7,359.04,54712,196.44,2621,18856,34.46
2019-10-15,TATACOMM, EQ, 15-Oct-2019,354.7,354.05,362.0,352.0,357.0,357.3,358.57,61756,221.44,3113,25684,41.59
2019-10-16,TATACOMM, EQ, 16-Oct-2019,357.3,356.0,364.85,356.0,360.25,360.5,361.43,46567,168.31,4639,21706,46.61
2019-10-17,TATACOMM, EQ, 17-Oct-2019,360.5,364.0,367.0,358.0,361.25,361.85,362.3,71613,259.45,3952,29270,40.87
2019-10-18,TATACOMM, EQ, 18-Oct-2019,361.85,362.55,365.0,355.15,358.3,359.7,360.3,123538,445.11,2817,109460,88.6
2019-10-22,TATACOMM, EQ, 22-Oct-2019,359.7,355.1,369.0,355.1,364.95,365.35,364.49,79667,290.38,5198,57375,72.02
2019-10-23,TATACOMM, EQ, 23-Oct-2019,365.35,368.0,368.0,352.5,361.9,359.25,362.64,215514,781.54,3166,168649,78.25
2019-10-24,TATACOMM, EQ, 24-Oct-2019,359.25,361.0,361.8,342.7,347.5,347.7,350.89,62697,220.0,2976,26187,41.77
2019-10-25,TATACOMM, EQ, 25-Oct-2019,347.7,353.7,357.6,342.25,356.5,355.75,352.74,49698,175.3,1952,17999,36.22
2019-10-27,TATACOMM, EQ, 27-Oct-2019,355.75,358.0,358.0,350.0,357.0,355.55,354.66,4432,15.72,262,2492,56.23
2019-10-29,TATACOMM, EQ, 29-Oct-2019,355.55,359.0,368.0,349.0,353.0,354.75,361.19,113878,411.31,4222,38607,33.9
2019-10-30,TATACOMM, EQ, 30-Oct-2019,354.75,354.6,358.0,346.0,357.0,355.8,353.94,35514,125.7,1927,10785,30.37
2019-10-31,TATACOMM, EQ, 31-Oct-2019,355.8,359.0,359.0,346.0,353.0,352.15,350.55,150039,525.97,2145,116781,77.83
2019-11-01,TATACOMM, EQ, 01-Nov-2019,352.15,356.9,364.0,352.15,360.0,359.85,358.97,62119,222.99,3558,34391,55.36
2019-11-04,TATACOMM, EQ, 04-Nov-2019,359.85,358.1,374.9,352.0,372.0,369.9,361.15,316349,1142.51,3771,268137,84.76
2019-11-05,TATACOMM, EQ, 05-Nov-2019,369.9,369.9,376.85,356.5,359.0,360.25,365.85,97913,358.21,4923,44826,45.78
2019-11-06,TATACOMM, EQ, 06-Nov-2019,360.25,360.0,365.0,355.55,357.8,358.65,361.27,31880,115.17,1568,8756,27.47
2019-11-07,TATACOMM, EQ, 07-Nov-2019,358.65,359.0,377.9,355.65,377.9,372.0,368.11,125884,463.4,5862,50495,40.11
2019-11-08,TATACOMM, EQ, 08-Nov-2019,372.0,373.7,379.05,367.7,371.55,372.1,372.71,189162,705.02,4104,137760,72.83
2019-11-11,TATACOMM, EQ, 11-Nov-2019,372.1,375.8,375.9,356.0,370.0,369.75,368.31,82242,302.9,2584,41162,50.05
2019-11-13,TATACOMM, EQ, 13-Nov-2019,369.75,361.05,366.95,353.3,357.0,357.4,358.47,135375,485.28,12523,81310,60.06
2019-11-14,TATACOMM, EQ, 14-Nov-2019,357.4,353.0,357.95,350.05,351.25,353.95,353.43,43631,154.2,1363,21779,49.92
2019-11-15,TATACOMM, EQ, 15-Nov-2019,353.95,351.45,356.0,350.1,353.9,353.45,353.4,127131,449.28,4653,104814,82.45
2019-11-18,TATACOMM, EQ, 18-Nov-2019,353.45,352.05,359.5,348.0,352.5,351.9,352.21,104267,367.24,7071,64699,62.05
2019-11-19,TATACOMM, EQ, 19-Nov-2019,351.9,356.0,367.75,346.6,351.2,353.0,356.24,84358,300.52,5477, 35541, 42.13
2019-11-20,TATACOMM, EQ, 20-Nov-2019,353.0,351.2,362.5,348.2,351.05,354.0,352.74,94153,332.11,12894, 34439, 36.58
2019-11-21,TATACOMM, EQ, 21-Nov-2019,354.0,352.5,359.0,348.55,352.9,352.8,354.44,135782,481.27,18708,71236,52.46
2019-11-22,TATACOMM, EQ, 22-Nov-2019,352.8,353.9,372.0,350.15,360.95,361.9,363.64,271797,988.36,18077,115715,42.57
2019-11-25,TATACOMM, EQ, 25-Nov-2019,361.9,363.9,386.0,360.1,375.0,375.05,373.53,347671,1298.64,18786,165638,47.64
2019-11-26,TATACOMM, EQ, 26-Nov-2019,375.05,376.95,385.0,355.8,357.8,360.8,371.15,288008,1068.94,18308, 159347, 55.33
2019-11-27,TATACOMM, EQ, 27-Nov-2019,360.8,363.9,432.95,362.3,432.95,412.3,405.03,1087217,4403.6,37487,384955,35.41
2019-11-28,TATACOMM, EQ, 28-Nov-2019,412.3,423.0,464.8,413.8,446.0,447.95,445.66,4038702,17998.99,118994,827021,20.48
2019-11-29,TATACOMM, EQ, 29-Nov-2019,447.95,445.8,459.8,440.0,443.0,445.15,449.41,572408,2572.44,14557,142998,24.98
2019-12-02,TATACOMM, EQ, 02-Dec-2019,445.15,443.95,454.0,412.0,425.5,420.8,438.12,311974,1366.82,9895, 86348, 27.68
2019-12-03,TATACOMM, EQ, 03-Dec-2019,420.8,425.05,426.1,406.25,406.35,409.5,412.18,163414,673.57,8022,62193,38.06
2019-12-04,TATACOMM, EQ, 04-Dec-2019,409.5,409.0,429.7,406.05,411.0,410.35,416.31,184854,769.56,9498,52936,28.64
2019-12-05,TATACOMM, EQ, 05-Dec-2019,410.35,411.0,413.85,401.25,403.9,403.55,407.23,136933,557.63,7454,67937,49.61
2019-12-06,TATACOMM, EQ, 06-Dec-2019,403.55,405.2,408.15,395.0,396.0,395.35,399.54,86061,343.85,3813,52944,61.52
2019-12-09,TATACOMM, EQ, 09-Dec-2019,395.35,396.8,404.0,391.0,396.0,396.85,396.61,94400,374.4,4072,31870,33.76
2019-12-10,TATACOMM, EQ, 10-Dec-2019,396.85,397.4,406.4,387.0,387.7,389.8,392.11,62373,244.57,4793,35722,57.27
2019-12-11,TATACOMM, EQ, 11-Dec-2019,389.8,392.9,395.05,380.45,386.0,386.95,387.78,70490,273.35,5287,41246,58.51
2019-12-12,TATACOMM, EQ, 12-Dec-2019,386.95,389.3,394.0,380.9,393.95,391.35,388.65,141526,550.03,7036,89519,63.25
2019-12-13,TATACOMM, EQ, 13-Dec-2019,391.35,390.85,399.9,389.5,391.0,392.95,395.21,60546,239.29,2251,23885,39.45
2019-12-16,TATACOMM, EQ, 16-Dec-2019,392.95,389.05,395.6,380.0,380.15,382.6,386.79,30839,119.28,1701,15118,49.02
2019-12-17,TATACOMM, EQ, 17-Dec-2019,382.6,384.9,390.0,380.0,389.0,387.75,384.77,44574,171.51,3075,18709,41.97
2019-12-18,TATACOMM, EQ, 18-Dec-2019,387.75,387.8,424.9,382.9,395.9,395.4,405.0,342609,1387.57,9561,67650,19.75
2019-12-19,TATACOMM, EQ, 19-Dec-2019,395.4,399.4,404.1,389.3,398.0,396.6,397.33,96540,383.59,3416,23988,24.85
2019-12-20,TATACOMM, EQ, 20-Dec-2019,396.6,402.8,402.8,382.0,385.0,386.8,390.72,153730,600.65,3774,71319,46.39
2019-12-23,TATACOMM, EQ, 23-Dec-2019,386.8,387.9,392.0,382.15,384.0,386.25,385.78,62094,239.55,2455,21589,34.77
2019-12-24,TATACOMM, EQ, 24-Dec-2019,386.25,388.9,408.0,382.8,393.3,395.55,397.75,318654,1267.44,7783,72709,22.82
2019-12-26,TATACOMM, EQ, 26-Dec-2019,395.55,398.75,398.75,385.0,389.5,391.0,395.0,95206,376.06,3135,19873,20.87
2019-12-27,TATACOMM, EQ, 27-Dec-2019,391.0,394.0,397.75,388.5,388.55,391.2,393.1,38034,149.51,1651,13269,34.89
2019-12-30,TATACOMM, EQ, 30-Dec-2019,391.2,391.2,396.0,383.3,385.0,385.8,388.08,48901,189.77,2655,19197,39.26
2019-12-31,TATACOMM, EQ, 31-Dec-2019,385.8,386.2,414.7,383.0,397.1,396.95,400.44,201354,806.29,6388,45394,22.54
2020-01-01,TATACOMM, EQ, 01-Jan-2020,396.95,397.3,404.0,393.05,400.5,399.35,398.21,38131,151.84,1325,10007,26.24
2020-01-02,TATACOMM, EQ, 02-Jan-2020,399.35,400.95,411.0,399.6,403.5,404.75,406.23,166789,677.56,4950,45771,27.44
2020-01-03,TATACOMM, EQ, 03-Jan-2020,404.75,404.5,425.0,398.3,419.0,420.75,415.9,248117,1031.93,16974,95975,38.68
2020-01-06,TATACOMM, EQ, 06-Jan-2020,420.75,417.8,422.0,401.05,413.65,415.95,412.59,190686,786.75,14872,66618,34.94
2020-01-07,TATACOMM, EQ, 07-Jan-2020,415.95,422.0,434.0,411.35,412.55,417.0,424.49,188618,800.66,6490,60859,32.27
2020-01-08,TATACOMM, EQ, 08-Jan-2020,417.0,411.25,424.0,402.9,411.0,416.85,415.23,154137,640.03,4312,20907,13.56
2020-01-09,TATACOMM, EQ, 09-Jan-2020,416.85,420.0,426.45,410.1,415.0,413.75,417.04,80708,336.59,3047,34842,43.17
