Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2020-02-27,TATACONSUM, EQ, 27-Feb-2020,365.65,364.1,365.65,360.25,363.0,363.3,362.83,1827751,6631.72,25087,956756,52.35,FMCG
2020-02-28,TATACONSUM, EQ, 28-Feb-2020,363.3,357.95,357.95,341.55,348.8,346.15,346.51,4494646,15574.23,36885,3022910,67.26,FMCG
2020-03-02,TATACONSUM, EQ, 02-Mar-2020,346.15,351.05,355.25,333.6,338.0,338.8,348.01,3837169,13353.81,48165,2115419,55.13,FMCG
2020-03-03,TATACONSUM, EQ, 03-Mar-2020,338.8,340.6,357.7,340.6,357.65,355.3,351.15,4204156,14762.7,76287,2077781,49.42,FMCG
2020-03-04,TATACONSUM, EQ, 04-Mar-2020,355.3,356.2,357.6,339.0,348.8,349.2,346.99,2331888,8091.52,49946,1102198,47.27,FMCG
2020-03-05,TATACONSUM, EQ, 05-Mar-2020,349.2,353.75,357.1,347.0,347.15,348.5,351.97,1890082,6652.53,52394,911685,48.24,FMCG
2020-03-06,TATACONSUM, EQ, 06-Mar-2020,348.5,340.0,346.9,334.15,342.4,344.5,343.0,4469801,15331.55,63442,2999896,67.11,FMCG
2020-03-09,TATACONSUM, EQ, 09-Mar-2020,344.5,338.0,340.85,319.15,325.95,330.1,331.66,5653412,18749.85,47319,2380543,42.11,FMCG
2020-03-11,TATACONSUM, EQ, 11-Mar-2020,330.1,326.85,337.75,325.0,327.15,327.85,331.09,3475868,11508.13,28129,2377438,68.4,FMCG
2020-03-12,TATACONSUM, EQ, 12-Mar-2020,327.85,320.0,320.0,297.2,305.85,303.45,305.13,5405030,16492.2,76325,2952471,54.62,FMCG
2020-03-13,TATACONSUM, EQ, 13-Mar-2020,303.45,273.55,327.8,258.0,326.05,324.25,307.89,7428604,22871.97,67999,4591456,61.81,FMCG
2020-03-16,TATACONSUM, EQ, 16-Mar-2020,324.25,305.3,314.3,296.6,305.0,300.3,304.79,3695163,11262.65,98388,1816079,49.15,FMCG
2020-03-17,TATACONSUM, EQ, 17-Mar-2020,300.3,305.0,308.7,282.0,285.0,283.85,291.94,3307865,9657.04,86334,1817649,54.95,FMCG
2020-03-18,TATACONSUM, EQ, 18-Mar-2020,283.85,285.0,288.6,262.0,268.2,267.45,270.24,4038726,10914.22,80378,2273910,56.3,FMCG
2020-03-19,TATACONSUM, EQ, 19-Mar-2020,267.45,258.0,265.5,232.25,248.05,250.75,249.1,6319923,15743.22,115205,2800328,44.31,FMCG
2020-03-20,TATACONSUM, EQ, 20-Mar-2020,250.75,247.0,273.4,244.5,265.0,264.2,260.04,3907691,10161.71,52348,1434751,36.72,FMCG
2020-03-23,TATACONSUM, EQ, 23-Mar-2020,264.2,240.0,247.9,225.0,225.05,226.5,236.48,2922955,6912.08,55578,1641482,56.16,FMCG
2020-03-24,TATACONSUM, EQ, 24-Mar-2020,226.5,249.15,256.1,213.7,254.45,249.05,239.63,6054692,14508.9,73889,3219188,53.17,FMCG
2020-03-25,TATACONSUM, EQ, 25-Mar-2020,249.05,248.1,282.45,246.9,279.5,277.15,269.68,3964419,10691.33,84168,1916967,48.35,FMCG
2020-03-26,TATACONSUM, EQ, 26-Mar-2020,277.15,279.5,293.55,263.45,283.0,279.05,282.0,3335026,9404.72,55305,1494452,44.81,FMCG
2020-03-27,TATACONSUM, EQ, 27-Mar-2020,279.05,290.0,294.95,279.25,290.0,284.75,287.47,2980927,8569.34,67462,1675248,56.2,FMCG
2020-03-30,TATACONSUM, EQ, 30-Mar-2020,284.75,282.5,284.0,272.65,281.85,281.4,278.88,2901726,8092.26,85070,1706064,58.79,FMCG
2020-03-31,TATACONSUM, EQ, 31-Mar-2020,281.4,291.5,297.0,284.85,294.95,294.85,291.93,3270034,9546.19,87485,2039399,62.37,FMCG
2020-04-01,TATACONSUM, EQ, 01-Apr-2020,294.85,292.85,304.0,277.35,279.25,280.0,284.01,5532600,15713.39,105227,3774106,68.22,FMCG
