Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,TATAMOTORS, EQ, 23-Aug-2019,107.7,108.9,111.6,107.65,111.5,111.05,109.52,41178606,45100.07,153440,5025233,12.2,Auto
2019-10-01,TATAMOTORS, EQ, 01-Oct-2019,117.45,118.0,119.85,113.0,115.0,115.3,116.91,40232789,47037.99,155181,2480875,6.17,Auto
2019-10-03,TATAMOTORS, EQ, 03-Oct-2019,115.3,112.65,123.5,112.65,122.65,122.4,120.83,65103359,78661.28,234403,5867726,9.01,Auto
2019-10-04,TATAMOTORS, EQ, 04-Oct-2019,122.4,122.8,123.8,118.8,119.05,119.65,121.24,35712218,43297.97,122515,4280981,11.99,Auto
2019-10-07,TATAMOTORS, EQ, 07-Oct-2019,119.65,120.25,120.55,116.35,117.4,117.5,118.59,35471184,42065.15,131962,6009613,16.94,Auto
2019-10-09,TATAMOTORS, EQ, 09-Oct-2019,117.5,118.5,121.7,115.45,120.95,120.9,118.42,44666296,52893.47,157065,4581191,10.26,Auto
2019-10-10,TATAMOTORS, EQ, 10-Oct-2019,120.9,119.3,119.7,116.2,116.8,116.8,117.54,31229192,36707.75,117692,2398999,7.68,Auto
2019-10-11,TATAMOTORS, EQ, 11-Oct-2019,116.8,118.05,122.2,117.25,121.15,121.3,119.71,41027561,49113.22,133759,3106476,7.57,Auto
2019-10-14,TATAMOTORS, EQ, 14-Oct-2019,121.3,122.6,130.0,122.5,127.4,127.85,127.75,68048611,86933.41,226951,8027202,11.8,Auto
2019-10-15,TATAMOTORS, EQ, 15-Oct-2019,127.85,127.1,128.9,123.7,126.55,126.95,126.05,57548920,72539.7,188137,5543853,9.63,Auto
2019-10-16,TATAMOTORS, EQ, 16-Oct-2019,126.95,127.3,128.3,124.5,125.9,125.85,126.33,31522518,39823.37,116464,2019726,6.41,Auto
2019-10-17,TATAMOTORS, EQ, 17-Oct-2019,125.85,127.1,144.35,125.1,142.55,139.5,134.19,67933615,91157.77,219228,14873819,21.89,Auto
2019-10-18,TATAMOTORS, EQ, 18-Oct-2019,139.5,139.0,141.8,135.6,136.6,136.85,137.97,64884113,89523.72,248963,6918673,10.66,Auto
2019-10-22,TATAMOTORS, EQ, 22-Oct-2019,136.85,133.35,135.6,129.8,131.35,131.75,132.75,53532482,71063.69,231910,6414974,11.98,Auto
2019-10-23,TATAMOTORS, EQ, 23-Oct-2019,131.75,130.45,133.8,127.25,132.3,132.65,131.2,50293574,65987.2,175970,3751536,7.46,Auto
2019-10-24,TATAMOTORS, EQ, 24-Oct-2019,132.65,133.0,135.15,130.5,133.85,133.5,133.14,41951668,55855.5,154844,5869600,13.99,Auto
2019-10-25,TATAMOTORS, EQ, 25-Oct-2019,133.5,132.0,133.0,125.7,126.25,126.85,129.15,42868958,55363.56,154653,4760937,11.11,Auto
2019-10-27,TATAMOTORS, EQ, 27-Oct-2019,126.85,139.5,150.7,139.5,149.5,147.7,147.72,39490461,58334.21,163321,6945428,17.59,Auto
2019-10-29,TATAMOTORS, EQ, 29-Oct-2019,147.7,151.9,175.5,151.2,172.15,172.45,166.77,184435614,307587.51,720492,33149608,17.97,Auto
