Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,TATAPOWER, EQ, 23-Aug-2019,53.4,53.45,55.8,52.2,54.8,54.5,54.51,11745308,6402.84,36423,2520644,21.46
2019-10-01,TATAPOWER, EQ, 01-Oct-2019,62.5,62.5,62.85,58.75,59.4,59.35,60.31,9081992,5477.59,44059,2741108,30.18
2019-10-03,TATAPOWER, EQ, 03-Oct-2019,59.35,58.95,59.75,58.6,59.4,59.35,59.24,5139225,3044.73,20336,1715760,33.39
2019-10-04,TATAPOWER, EQ, 04-Oct-2019,59.35,59.8,59.95,57.8,58.1,58.0,58.74,4218735,2477.98,18781,1514951,35.91
2019-10-07,TATAPOWER, EQ, 07-Oct-2019,58.0,58.25,59.0,56.75,58.05,58.2,57.96,8486582,4918.85,15062,1754377,20.67
2019-10-09,TATAPOWER, EQ, 09-Oct-2019,58.2,58.5,61.75,58.05,61.15,61.45,59.66,12749464,7605.86,34641,3828545,30.03
2019-10-10,TATAPOWER, EQ, 10-Oct-2019,61.45,61.1,62.1,60.4,61.5,61.6,61.33,7059183,4329.38,16204,761702,10.79
2019-10-11,TATAPOWER, EQ, 11-Oct-2019,61.6,62.0,62.0,60.7,60.9,61.1,61.2,6976429,4269.34,20104,3323824,47.64
2019-10-14,TATAPOWER, EQ, 14-Oct-2019,61.1,60.75,61.6,59.55,59.95,59.8,60.43,4814837,2909.68,15221,1583157,32.88
2019-10-15,TATAPOWER, EQ, 15-Oct-2019,59.8,60.0,60.3,59.15,59.65,59.75,59.81,4933745,2951.04,12155,2592817,52.55
2019-10-16,TATAPOWER, EQ, 16-Oct-2019,59.75,60.0,60.05,57.8,58.05,58.1,58.54,7716452,4517.22,18374,2593621,33.61
2019-10-17,TATAPOWER, EQ, 17-Oct-2019,58.1,58.15,60.2,57.6,60.0,59.85,58.47,11906599,6962.14,15925,6055291,50.86
2019-10-18,TATAPOWER, EQ, 18-Oct-2019,59.85,60.0,60.5,59.2,59.7,59.95,60.01,10786215,6472.91,16639,4819547,44.68
2019-10-22,TATAPOWER, EQ, 22-Oct-2019,59.95,59.85,60.7,58.85,59.2,59.2,60.01,8748155,5249.68,19668,3560095,40.7
2019-10-23,TATAPOWER, EQ, 23-Oct-2019,59.2,59.55,62.25,59.25,60.9,61.1,61.17,9254939,5661.65,24185,1314908,14.21
2019-10-24,TATAPOWER, EQ, 24-Oct-2019,61.1,61.5,61.5,58.5,59.15,59.15,59.52,5162218,3072.72,12745,1217011,23.58
2019-10-25,TATAPOWER, EQ, 25-Oct-2019,59.15,59.65,59.65,57.25,57.55,57.6,58.12,4657499,2706.96,18010,1091188,23.43
2019-10-27,TATAPOWER, EQ, 27-Oct-2019,57.6,58.45,58.6,57.65,58.25,58.15,58.31,674171,393.14,2783,307429,45.6
2019-10-29,TATAPOWER, EQ, 29-Oct-2019,58.15,58.5,59.3,57.9,58.5,58.45,58.68,14361888,8427.77,41953,5411911,37.68
2019-10-30,TATAPOWER, EQ, 30-Oct-2019,58.45,58.7,59.0,58.25,58.6,58.6,58.63,4477801,2625.21,19502,1788313,39.94
2019-10-31,TATAPOWER, EQ, 31-Oct-2019,58.6,58.9,59.7,58.4,59.35,59.3,59.1,8154223,4819.46,31427,3709494,45.49
2019-11-01,TATAPOWER, EQ, 01-Nov-2019,59.3,59.6,60.3,59.15,59.6,59.5,59.71,6997405,4178.1,26296,3173277,45.35
2019-11-04,TATAPOWER, EQ, 04-Nov-2019,59.5,59.75,60.8,59.2,59.55,59.7,59.98,9648773,5787.62,36873,4572825,47.39
2019-11-05,TATAPOWER, EQ, 05-Nov-2019,59.7,60.1,60.15,58.45,58.6,58.7,59.16,5308306,3140.35,23333,1672197,31.5
2019-11-06,TATAPOWER, EQ, 06-Nov-2019,58.7,58.7,59.25,57.9,58.8,58.9,58.71,8233444,4833.59,25536,4392036,53.34
2019-11-07,TATAPOWER, EQ, 07-Nov-2019,58.9,59.4,59.4,57.5,58.75,58.75,58.52,9181608,5373.18,20305,3711282,40.42
2019-11-08,TATAPOWER, EQ, 08-Nov-2019,58.75,59.55,60.35,58.65,59.8,59.55,59.5,25224076,15007.72,38542,15347598,60.85
2019-11-11,TATAPOWER, EQ, 11-Nov-2019,59.55,60.8,60.8,56.6,57.25,57.5,57.79,24360351,14077.28,66443,7663958,31.46
2019-11-13,TATAPOWER, EQ, 13-Nov-2019,57.5,57.85,57.95,55.05,55.2,55.4,56.36,10060059,5669.93,29253,3747162,37.25
2019-11-14,TATAPOWER, EQ, 14-Nov-2019,55.4,55.3,55.95,54.35,54.85,54.65,55.09,6076033,3347.02,15634,1942474,31.97
2019-11-15,TATAPOWER, EQ, 15-Nov-2019,54.65,55.0,55.45,54.2,54.55,54.5,54.72,5676494,3106.41,18175,2003526,35.3
2019-11-18,TATAPOWER, EQ, 18-Nov-2019,54.5,54.5,56.6,54.5,56.1,55.95,55.76,7099868,3959.01,18351,2456248,34.6
2019-11-19,TATAPOWER, EQ, 19-Nov-2019,55.95,56.0,56.3,55.35,55.65,55.75,55.83,3922027,2189.57,9746, 1183805, 30.18
2019-11-20,TATAPOWER, EQ, 20-Nov-2019,55.75,55.65,55.85,55.1,55.4,55.4,55.5,4758920,2641.44,15748, 2079652, 43.70
2019-11-21,TATAPOWER, EQ, 21-Nov-2019,55.4,55.35,56.2,54.55,55.1,54.85,55.21,7025549,3879.01,19573,2858519,40.69
2019-11-22,TATAPOWER, EQ, 22-Nov-2019,54.85,55.2,55.75,54.7,55.2,55.15,55.25,8206981,4534.28,18208,2435291,29.67
2019-11-25,TATAPOWER, EQ, 25-Nov-2019,55.15,55.15,56.1,55.15,55.95,55.95,55.72,5254263,2927.89,12571,2161392,41.14
2019-11-26,TATAPOWER, EQ, 26-Nov-2019,55.95,56.25,57.1,55.4,56.8,56.65,56.46,13251685,7481.76,22124, 8171576, 61.66
2019-11-27,TATAPOWER, EQ, 27-Nov-2019,56.65,57.0,57.5,56.55,56.75,56.8,56.98,6969108,3970.67,14670,3696426,53.04
2019-11-28,TATAPOWER, EQ, 28-Nov-2019,56.8,56.6,56.8,55.7,56.55,56.45,56.24,12572613,7070.48,22065,4073170,32.4
2019-11-29,TATAPOWER, EQ, 29-Nov-2019,56.45,56.8,58.95,56.55,57.45,57.35,57.87,13401893,7755.44,30656,3756405,28.03
2019-12-02,TATAPOWER, EQ, 02-Dec-2019,57.35,57.35,57.4,55.55,56.5,56.35,56.1,12052254,6761.7,29899, 6751098, 56.02
2019-12-03,TATAPOWER, EQ, 03-Dec-2019,56.35,56.5,56.5,55.0,55.35,55.45,55.54,5536309,3074.86,10701,2209798,39.91
2019-12-04,TATAPOWER, EQ, 04-Dec-2019,55.45,55.0,56.15,54.9,55.9,55.85,55.68,3605231,2007.47,9123,796292,22.09
2019-12-05,TATAPOWER, EQ, 05-Dec-2019,55.85,56.15,56.15,55.25,55.85,55.8,55.76,7119298,3969.94,30878,2368271,33.27
2019-12-06,TATAPOWER, EQ, 06-Dec-2019,55.8,57.35,57.35,53.2,53.45,53.5,54.57,14587403,7960.84,40340,5124225,35.13
2019-12-09,TATAPOWER, EQ, 09-Dec-2019,53.5,53.5,54.65,52.25,52.65,52.45,53.18,8338162,4434.16,28264,3473288,41.66
2019-12-10,TATAPOWER, EQ, 10-Dec-2019,52.45,52.7,53.75,51.05,51.4,51.4,51.95,18892627,9815.31,37737,7950453,42.08
2019-12-11,TATAPOWER, EQ, 11-Dec-2019,51.4,51.15,53.1,51.15,52.75,52.8,52.33,7113895,3722.89,29638,2093353,29.43
2019-12-12,TATAPOWER, EQ, 12-Dec-2019,52.8,52.7,53.75,52.55,53.3,53.35,53.25,5730574,3051.37,28221,1913845,33.4
2019-12-13,TATAPOWER, EQ, 13-Dec-2019,53.35,53.6,54.6,52.9,54.2,54.0,53.68,13996578,7513.46,25064,6117366,43.71
2019-12-16,TATAPOWER, EQ, 16-Dec-2019,54.0,54.15,55.55,54.05,55.15,55.0,54.89,13368024,7337.32,20109,2874938,21.51
2019-12-17,TATAPOWER, EQ, 17-Dec-2019,55.0,55.0,56.2,54.65,56.1,56.05,55.6,7255855,4034.47,20186,2249335,31.0
2019-12-18,TATAPOWER, EQ, 18-Dec-2019,56.05,56.25,56.25,54.8,55.25,55.5,55.49,5634510,3126.45,16806,1437929,25.52
2019-12-19,TATAPOWER, EQ, 19-Dec-2019,55.5,54.95,56.05,54.55,55.65,55.7,55.44,6911871,3831.63,16230,1914733,27.7
2019-12-20,TATAPOWER, EQ, 20-Dec-2019,55.7,55.65,56.1,55.25,55.35,55.45,55.59,5836678,3244.89,17203,2405461,41.21
2019-12-23,TATAPOWER, EQ, 23-Dec-2019,55.45,55.0,56.0,55.0,55.7,55.75,55.62,6340544,3526.41,14365,1982967,31.27
2019-12-24,TATAPOWER, EQ, 24-Dec-2019,55.75,56.45,56.65,55.75,55.95,56.1,56.17,7649247,4296.82,21357,2813784,36.79
2019-12-26,TATAPOWER, EQ, 26-Dec-2019,56.1,56.0,56.55,55.0,55.1,55.15,55.62,4026238,2239.39,9425,768722,19.09
2019-12-27,TATAPOWER, EQ, 27-Dec-2019,55.15,55.3,56.3,55.3,56.2,56.1,55.95,2983035,1668.86,7611,980107,32.86
2019-12-30,TATAPOWER, EQ, 30-Dec-2019,56.1,55.9,56.7,55.7,56.4,56.45,56.32,3198070,1801.25,7716,879443,27.5
2019-12-31,TATAPOWER, EQ, 31-Dec-2019,56.45,56.5,56.9,56.3,56.65,56.5,56.52,3504310,1980.72,7855,1123236,32.05
2020-01-01,TATAPOWER, EQ, 01-Jan-2020,56.5,56.8,57.85,56.65,57.55,57.6,57.28,3878107,2221.39,10437,913336,23.55
2020-01-02,TATAPOWER, EQ, 02-Jan-2020,57.6,57.9,58.15,56.8,58.0,58.0,57.47,12142359,6978.76,43097,5942670,48.94
2020-01-03,TATAPOWER, EQ, 03-Jan-2020,58.0,58.0,58.55,57.3,57.65,57.75,57.86,9746134,5638.95,23266,3939492,40.42
2020-01-06,TATAPOWER, EQ, 06-Jan-2020,57.75,57.05,57.5,55.95,56.85,56.75,56.72,3833784,2174.38,9317,709301,18.5
2020-01-07,TATAPOWER, EQ, 07-Jan-2020,56.75,57.1,57.55,56.05,56.45,56.6,56.81,3974582,2257.97,10388,908901,22.87
2020-01-08,TATAPOWER, EQ, 08-Jan-2020,56.6,56.0,56.75,55.7,56.2,56.25,56.2,3078686,1730.25,8892,496348,16.12
2020-01-09,TATAPOWER, EQ, 09-Jan-2020,56.25,56.55,58.2,56.55,57.8,57.8,57.74,6282472,3627.22,15350,1758571,27.99
2020-01-10,TATAPOWER, EQ, 10-Jan-2020,57.8,57.75,59.5,57.35,58.95,58.95,58.71,10571670,6206.97,29046,4119549,38.97
