Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,TATASTEEL, EQ, 23-Aug-2019,333.7,333.0,348.95,330.35,343.5,345.25,342.05,11210134,38344.37,111113,1283894,11.45
2019-10-01,TATASTEEL, EQ, 01-Oct-2019,360.5,362.0,364.7,344.1,351.0,351.55,353.43,12564189,44405.5,113880,1460000,11.62
2019-10-03,TATASTEEL, EQ, 03-Oct-2019,351.55,346.5,348.9,338.45,339.55,339.6,343.27,12130956,41641.66,128015,1795417,14.8
2019-10-04,TATASTEEL, EQ, 04-Oct-2019,339.6,344.75,344.8,331.1,331.7,333.1,339.29,11445216,38832.44,117923,1217682,10.64
2019-10-07,TATASTEEL, EQ, 07-Oct-2019,333.1,334.85,338.25,323.5,325.8,324.8,330.79,12415780,41069.54,133791,2117665,17.06
2019-10-09,TATASTEEL, EQ, 09-Oct-2019,324.8,323.35,338.0,320.35,338.0,336.45,327.69,14776741,48421.4,141420,2237977,15.15
2019-10-10,TATASTEEL, EQ, 10-Oct-2019,336.45,332.9,334.55,328.0,329.45,329.95,330.5,11507498,38032.02,97567,1304591,11.34
2019-10-11,TATASTEEL, EQ, 11-Oct-2019,329.95,335.0,342.45,332.0,338.6,339.0,337.51,17158849,57911.99,134654,1197007,6.98
2019-10-14,TATASTEEL, EQ, 14-Oct-2019,339.0,345.75,352.75,342.95,344.65,344.85,347.89,16723963,58180.41,145099,2999650,17.94
2019-10-15,TATASTEEL, EQ, 15-Oct-2019,344.85,345.05,358.35,338.7,349.2,349.2,347.45,17972207,62444.28,136536,1557319,8.67
2019-10-16,TATASTEEL, EQ, 16-Oct-2019,349.2,353.8,353.8,345.25,346.25,347.4,348.52,12814302,44659.89,117361,1654950,12.91
2019-10-17,TATASTEEL, EQ, 17-Oct-2019,347.4,346.0,361.35,340.35,359.9,356.1,347.66,16695158,58041.59,143783,2641451,15.82
2019-10-18,TATASTEEL, EQ, 18-Oct-2019,356.1,355.95,362.8,351.75,357.7,359.6,357.74,16568036,59270.09,127352,2529048,15.26
2019-10-22,TATASTEEL, EQ, 22-Oct-2019,359.6,357.5,363.8,353.0,353.25,354.5,358.07,11944283,42768.34,109684,1184904,9.92
2019-10-23,TATASTEEL, EQ, 23-Oct-2019,354.5,352.0,358.75,349.25,355.85,356.2,354.79,9318450,33061.22,88695,1243454,13.34
2019-10-24,TATASTEEL, EQ, 24-Oct-2019,356.2,356.05,362.0,353.8,359.5,359.9,358.23,10973402,39310.34,96342,2056457,18.74
2019-10-25,TATASTEEL, EQ, 25-Oct-2019,359.9,356.3,368.95,356.05,358.2,362.25,364.05,14996692,54595.93,124622,3850057,25.67
2019-10-27,TATASTEEL, EQ, 27-Oct-2019,362.25,363.8,365.55,363.1,365.55,365.0,364.8,1082016,3947.2,12377,256436,23.7
2019-10-29,TATASTEEL, EQ, 29-Oct-2019,365.0,365.55,399.7,365.55,388.5,390.2,386.97,25155314,97342.33,195635,5482863,21.8
2019-10-30,TATASTEEL, EQ, 30-Oct-2019,390.2,389.9,393.7,384.3,388.55,388.0,388.25,14371442,55796.75,101240,4266207,29.69
2019-10-31,TATASTEEL, EQ, 31-Oct-2019,388.0,388.9,390.1,376.2,380.0,380.55,383.69,21756023,83476.66,114081,9634747,44.29
2019-11-01,TATASTEEL, EQ, 01-Nov-2019,380.55,380.05,402.9,378.0,396.45,399.5,390.76,24111195,94216.61,165942,6217886,25.79
2019-11-04,TATASTEEL, EQ, 04-Nov-2019,399.5,403.0,421.7,403.0,407.25,409.15,414.75,28934434,120004.23,234652,5343014,18.47
2019-11-05,TATASTEEL, EQ, 05-Nov-2019,409.15,414.0,417.9,401.6,403.75,403.95,410.56,20874434,85701.15,167124,2516421,12.06
2019-11-06,TATASTEEL, EQ, 06-Nov-2019,403.95,402.0,408.9,398.7,402.45,404.45,403.53,17935147,72373.89,140248,1976774,11.02
2019-11-07,TATASTEEL, EQ, 07-Nov-2019,404.45,404.0,408.85,388.8,402.8,403.1,398.52,40700760,162199.81,281133,4850261,11.92
2019-11-08,TATASTEEL, EQ, 08-Nov-2019,403.1,401.5,406.2,395.1,397.35,397.95,400.45,21423520,85791.05,145945,3156205,14.73
2019-11-11,TATASTEEL, EQ, 11-Nov-2019,397.95,395.5,403.75,394.0,401.0,401.45,400.13,13573974,54313.0,103568,1176636,8.67
2019-11-13,TATASTEEL, EQ, 13-Nov-2019,401.45,400.9,408.85,392.7,393.45,397.9,403.52,17511469,70661.57,126681,2486340,14.2
2019-11-14,TATASTEEL, EQ, 14-Nov-2019,397.9,396.1,398.7,389.4,392.5,391.95,393.36,10869425,42756.4,81252,964156,8.87
2019-11-15,TATASTEEL, EQ, 15-Nov-2019,391.95,392.0,403.0,390.6,393.4,394.5,396.19,11813259,46802.82,87790,1074888,9.1
2019-11-18,TATASTEEL, EQ, 18-Nov-2019,394.5,396.4,412.6,396.0,411.9,410.05,406.08,18906528,76776.21,152327,2221269,11.75
2019-11-19,TATASTEEL, EQ, 19-Nov-2019,410.05,414.0,414.85,400.0,403.0,401.75,406.67,14265083,58012.29,114133, 1583128, 11.10
2019-11-20,TATASTEEL, EQ, 20-Nov-2019,401.75,401.0,408.5,397.3,398.2,398.7,402.05,12255602,49273.85,93900, 1184542, 9.67
2019-11-21,TATASTEEL, EQ, 21-Nov-2019,398.7,399.0,399.15,383.25,385.75,385.1,391.59,10208554,39975.79,98524,1779757,17.43
2019-11-22,TATASTEEL, EQ, 22-Nov-2019,385.1,386.0,402.8,383.1,401.35,400.0,391.97,17271949,67701.45,126658,2603812,15.08
2019-11-25,TATASTEEL, EQ, 25-Nov-2019,400.0,405.25,421.0,403.0,421.0,419.5,414.74,27612458,114519.47,299929,5400136,19.56
2019-11-26,TATASTEEL, EQ, 26-Nov-2019,419.5,425.0,429.3,416.75,425.3,424.15,424.04,28276312,119903.86,250836, 5650858, 19.98
2019-11-27,TATASTEEL, EQ, 27-Nov-2019,424.15,425.3,427.0,419.2,421.15,421.35,422.45,10984679,46404.97,108553,1618566,14.73
2019-11-28,TATASTEEL, EQ, 28-Nov-2019,421.35,422.2,434.3,422.15,431.0,432.1,429.34,15766073,67690.15,152985,2650037,16.81
2019-11-29,TATASTEEL, EQ, 29-Nov-2019,432.1,427.45,429.5,421.1,426.7,427.5,425.68,12631956,53771.23,106194,1713401,13.56
2019-12-02,TATASTEEL, EQ, 02-Dec-2019,427.5,424.95,426.95,419.0,419.25,420.85,422.65,8337171,35237.17,81580, 718444, 8.62
2019-12-03,TATASTEEL, EQ, 03-Dec-2019,420.85,418.0,418.55,396.4,398.95,399.65,405.21,16870656,68361.18,132388,2529389,14.99
2019-12-04,TATASTEEL, EQ, 04-Dec-2019,399.65,392.8,411.45,389.0,409.9,409.3,398.79,26113249,104137.07,219246,3793025,14.53
2019-12-05,TATASTEEL, EQ, 05-Dec-2019,409.3,411.05,411.85,397.1,399.0,399.8,403.17,11110884,44795.72,99838,1109077,9.98
2019-12-06,TATASTEEL, EQ, 06-Dec-2019,399.8,401.45,407.5,393.85,401.95,403.25,402.51,16931082,68149.78,125216,837931,4.95
