Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,TCS, EQ, 23-Aug-2019,2216.0,2214.95,2259.9,2213.9,2250.0,2247.7,2244.15,2826425,63429.32,142446,1480086,52.37
2019-10-01,TCS, EQ, 01-Oct-2019,2099.3,2095.95,2095.95,2039.7,2060.3,2059.95,2059.04,3342877,68831.09,170294,2098408,62.77
2019-10-03,TCS, EQ, 03-Oct-2019,2059.95,2070.0,2081.15,2046.15,2056.0,2060.25,2065.47,2317618,47869.75,187925,1389047,59.93
2019-10-04,TCS, EQ, 04-Oct-2019,2060.25,2060.6,2087.95,2054.95,2078.0,2079.35,2079.28,2163251,44980.1,128092,1442042,66.66
2019-10-07,TCS, EQ, 07-Oct-2019,2079.35,2080.0,2094.5,2041.0,2046.0,2047.7,2062.27,2177916,44914.46,98775,1162115,53.36
2019-10-09,TCS, EQ, 09-Oct-2019,2047.7,2060.0,2060.0,2015.5,2021.9,2020.1,2026.43,2066920,41884.6,107493,984558,47.63
2019-10-10,TCS, EQ, 10-Oct-2019,2020.1,2028.0,2039.05,1997.1,2002.8,2004.45,2015.15,2881452,58065.67,125920,959388,33.3
2019-10-11,TCS, EQ, 11-Oct-2019,2004.45,1931.0,1995.0,1925.0,1989.0,1986.85,1958.07,12593069,246581.43,327238,6323332,50.21
2019-10-14,TCS, EQ, 14-Oct-2019,1986.85,1995.0,2032.75,1968.0,2021.0,2021.0,2009.8,3510704,70558.09,154256,1642252,46.78
2019-10-15,TCS, EQ, 15-Oct-2019,2021.0,2032.0,2047.0,2022.7,2037.8,2037.3,2039.28,2261310,46114.52,147982,1390076,61.47
2019-10-16,TCS, EQ, 16-Oct-2019,2037.3,2038.0,2056.0,2016.0,2055.0,2046.4,2032.41,3034082,61664.92,160140,1792942,59.09
2019-10-17,TCS, EQ, 17-Oct-2019,2046.4,2014.0,2038.0,1999.3,2029.0,2030.95,2018.47,3818774,77080.78,189836,2333221,61.1
2019-10-18,TCS, EQ, 18-Oct-2019,2030.95,2037.5,2063.9,2025.0,2059.0,2057.35,2046.03,3087901,63179.36,115810,1979438,64.1
2019-10-22,TCS, EQ, 22-Oct-2019,2057.35,2080.0,2111.5,2040.05,2050.0,2051.4,2067.79,5552505,114814.15,236213,3583843,64.54
2019-10-23,TCS, EQ, 23-Oct-2019,2051.4,2060.0,2083.85,2052.5,2082.0,2070.1,2068.82,2348134,48578.59,204587,1352785,57.61
2019-10-24,TCS, EQ, 24-Oct-2019,2070.1,2084.0,2099.0,2061.3,2079.75,2082.0,2077.28,2798671,58136.17,156073,1754891,62.7
2019-10-25,TCS, EQ, 25-Oct-2019,2082.0,2094.0,2130.0,2075.05,2121.6,2124.95,2102.55,3954245,83139.95,165203,2535407,64.12
2019-10-27,TCS, EQ, 27-Oct-2019,2124.95,2129.0,2129.0,2108.8,2117.65,2115.7,2117.14,224421,4751.3,13145,76692,34.17
2019-10-29,TCS, EQ, 29-Oct-2019,2115.7,2121.5,2201.7,2121.5,2197.5,2194.85,2173.21,5064173,110055.22,261926,3658144,72.24
2019-10-30,TCS, EQ, 30-Oct-2019,2194.85,2225.0,2260.0,2176.85,2258.0,2252.8,2229.89,5195136,115845.99,180430,3259740,62.75
2019-10-31,TCS, EQ, 31-Oct-2019,2252.8,2250.0,2284.95,2237.0,2274.55,2269.65,2267.61,4879261,110642.84,170321,2815579,57.71
2019-11-01,TCS, EQ, 01-Nov-2019,2269.65,2264.0,2275.0,2195.0,2207.0,2200.9,2218.97,4172620,92589.16,189932,2399676,57.51
2019-11-04,TCS, EQ, 04-Nov-2019,2200.9,2207.0,2229.2,2180.9,2194.1,2193.95,2197.42,2646411,58152.86,111662,1206343,45.58
2019-11-05,TCS, EQ, 05-Nov-2019,2193.95,2197.0,2211.0,2169.0,2198.0,2201.85,2187.98,2693475,58932.71,136536,1572121,58.37
2019-11-06,TCS, EQ, 06-Nov-2019,2201.85,2200.0,2210.8,2179.0,2190.8,2188.5,2191.37,2540719,55676.65,112401,1426496,56.15
2019-11-07,TCS, EQ, 07-Nov-2019,2188.5,2204.5,2204.5,2175.2,2185.0,2185.35,2186.08,1915598,41876.6,97328,1082863,56.53
2019-11-08,TCS, EQ, 08-Nov-2019,2185.35,2189.6,2189.6,2124.0,2130.0,2129.95,2149.77,2788759,59952.04,110953,1620822,58.12
2019-11-11,TCS, EQ, 11-Nov-2019,2129.95,2135.0,2139.0,2091.0,2100.9,2100.95,2105.79,2983768,62831.94,159080,1728479,57.93
2019-11-13,TCS, EQ, 13-Nov-2019,2100.95,2118.0,2183.8,2118.0,2179.0,2178.6,2161.51,3823365,82642.31,160217,1769830,46.29
2019-11-14,TCS, EQ, 14-Nov-2019,2178.6,2187.5,2200.0,2146.7,2190.0,2196.8,2183.42,2995915,65413.37,104976,1188996,39.69
2019-11-15,TCS, EQ, 15-Nov-2019,2196.8,2196.0,2211.5,2168.75,2174.45,2174.45,2191.82,2724180,59709.22,95061,1528537,56.11
2019-11-18,TCS, EQ, 18-Nov-2019,2174.45,2178.4,2187.75,2148.75,2151.0,2152.6,2159.1,1611089,34785.08,66947,935177,58.05
2019-11-19,TCS, EQ, 19-Nov-2019,2152.6,2153.0,2154.65,2105.0,2110.0,2108.8,2116.98,2975313,62986.64,119968, 1817909, 61.10
