Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,TECHM, EQ, 23-Aug-2019,682.75,684.25,694.4,679.4,687.0,683.85,688.86,7015461,48326.89,141603,4929308,70.26
2019-10-01,TECHM, EQ, 01-Oct-2019,714.5,715.0,715.0,700.0,704.85,704.95,706.17,1709480,12071.8,74027,893915,52.29
2019-10-03,TECHM, EQ, 03-Oct-2019,704.95,705.25,717.75,692.55,701.0,702.5,706.88,2111319,14924.57,66490,957455,45.35
2019-10-04,TECHM, EQ, 04-Oct-2019,702.5,705.0,713.8,702.55,707.4,708.15,708.24,2273166,16099.5,61065,1368809,60.22
2019-10-07,TECHM, EQ, 07-Oct-2019,708.15,708.15,716.8,700.7,702.7,704.8,705.96,2578403,18202.46,40481,1638392,63.54
2019-10-09,TECHM, EQ, 09-Oct-2019,704.8,702.8,713.9,701.85,711.0,711.05,708.06,1115851,7900.89,40510,469821,42.1
2019-10-10,TECHM, EQ, 10-Oct-2019,711.05,708.05,718.85,703.5,709.1,711.3,712.76,1507268,10743.24,51535,552517,36.66
2019-10-11,TECHM, EQ, 11-Oct-2019,711.3,701.3,723.9,697.5,721.0,721.45,710.48,3785425,26894.85,62872,1599001,42.24
2019-10-14,TECHM, EQ, 14-Oct-2019,721.45,721.0,728.65,717.45,721.5,720.75,722.7,1871571,13525.8,34218,733662,39.2
2019-10-15,TECHM, EQ, 15-Oct-2019,720.75,724.0,729.0,719.0,720.9,720.5,722.77,1482881,10717.84,51020,553582,37.33
2019-10-16,TECHM, EQ, 16-Oct-2019,720.5,720.1,729.75,717.7,728.0,727.7,724.72,2114943,15327.36,55471,1166509,55.16
2019-10-17,TECHM, EQ, 17-Oct-2019,727.7,725.0,731.0,715.95,724.8,724.35,721.12,2177984,15705.79,55236,1219688,56.0
