Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,TITAN, EQ, 23-Aug-2019,1061.75,1062.3,1082.9,1040.0,1067.05,1073.5,1067.35,1925420,20551.01,78998,787621,40.91
2019-10-01,TITAN, EQ, 01-Oct-2019,1273.05,1282.0,1297.8,1267.55,1281.0,1280.6,1283.92,1454512,18674.79,57725,283975,19.52
2019-10-03,TITAN, EQ, 03-Oct-2019,1280.6,1279.4,1298.0,1268.75,1294.5,1295.5,1288.48,1449986,18682.81,76233,337016,23.24
2019-10-04,TITAN, EQ, 04-Oct-2019,1295.5,1303.0,1306.7,1240.1,1250.7,1250.9,1270.62,2383219,30281.69,91792,707838,29.7
2019-10-07,TITAN, EQ, 07-Oct-2019,1250.9,1255.1,1265.8,1241.3,1259.0,1259.0,1257.31,1100794,13840.41,45301,269197,24.45
2019-10-09,TITAN, EQ, 09-Oct-2019,1259.0,1200.0,1236.25,1177.05,1230.4,1230.3,1206.83,8327469,100498.0,241093,1709734,20.53
2019-10-10,TITAN, EQ, 10-Oct-2019,1230.3,1231.2,1242.45,1220.0,1238.0,1234.7,1231.08,1479753,18216.98,63330,247551,16.73
2019-10-11,TITAN, EQ, 11-Oct-2019,1234.7,1242.05,1249.0,1215.0,1242.0,1243.6,1234.54,2182903,26948.87,78935,658931,30.19
2019-10-14,TITAN, EQ, 14-Oct-2019,1243.6,1239.8,1258.0,1233.5,1250.55,1248.95,1249.28,1241231,15506.44,51672,283898,22.87
2019-10-15,TITAN, EQ, 15-Oct-2019,1248.95,1254.0,1275.15,1253.0,1272.0,1272.1,1265.44,1379017,17450.69,49662,338280,24.53
2019-10-16,TITAN, EQ, 16-Oct-2019,1272.1,1274.8,1277.7,1256.05,1275.0,1274.55,1268.26,1223194,15513.25,43170,304347,24.88
2019-10-17,TITAN, EQ, 17-Oct-2019,1274.55,1285.0,1285.55,1271.1,1276.0,1277.05,1277.54,1500556,19170.22,70053,613487,40.88
2019-10-18,TITAN, EQ, 18-Oct-2019,1277.05,1278.0,1305.0,1274.05,1301.25,1300.6,1291.3,1135957,14668.6,42588,385170,33.91
2019-10-22,TITAN, EQ, 22-Oct-2019,1300.6,1300.45,1336.8,1294.5,1331.0,1329.45,1326.13,2138284,28356.52,70993,803598,37.58
2019-10-23,TITAN, EQ, 23-Oct-2019,1329.45,1331.95,1366.35,1327.05,1356.0,1348.65,1353.12,3148288,42600.15,146137,996331,31.65
2019-10-24,TITAN, EQ, 24-Oct-2019,1348.65,1364.0,1379.0,1350.65,1378.0,1374.55,1364.2,1791699,24442.44,96651,622190,34.73
2019-10-25,TITAN, EQ, 25-Oct-2019,1374.55,1378.9,1389.95,1331.15,1334.35,1335.0,1355.37,3934315,53324.57,95378,1498165,38.08
2019-10-27,TITAN, EQ, 27-Oct-2019,1335.0,1338.95,1341.8,1315.7,1319.5,1319.9,1325.75,470394,6236.24,18062,143455,30.5
2019-10-29,TITAN, EQ, 29-Oct-2019,1319.9,1320.0,1340.0,1293.2,1333.55,1332.6,1322.7,2030358,26855.52,67072,579450,28.54
2019-10-30,TITAN, EQ, 30-Oct-2019,1332.6,1347.0,1347.0,1312.0,1318.0,1316.15,1323.05,1681593,22248.37,56426,362215,21.54
2019-10-31,TITAN, EQ, 31-Oct-2019,1316.15,1322.0,1336.0,1319.65,1331.8,1331.2,1328.79,1533763,20380.43,57880,523255,34.12
2019-11-01,TITAN, EQ, 01-Nov-2019,1331.2,1331.8,1333.35,1287.05,1303.0,1301.9,1306.26,2491686,32547.94,85957,608569,24.42
2019-11-04,TITAN, EQ, 04-Nov-2019,1301.9,1311.0,1311.0,1282.1,1298.55,1298.8,1294.81,1706003,22089.55,63583,359709,21.08
2019-11-05,TITAN, EQ, 05-Nov-2019,1298.8,1295.0,1306.25,1277.5,1284.4,1283.8,1286.93,2881634,37084.71,89764,892008,30.95
2019-11-06,TITAN, EQ, 06-Nov-2019,1283.8,1165.0,1199.0,1150.0,1154.3,1156.1,1173.93,18294122,214760.07,507535,5822256,31.83
2019-11-07,TITAN, EQ, 07-Nov-2019,1156.1,1161.0,1179.0,1156.45,1165.8,1167.2,1167.04,6500446,75862.72,176010,2332752,35.89
2019-11-08,TITAN, EQ, 08-Nov-2019,1167.2,1167.2,1172.95,1154.0,1155.05,1156.75,1163.43,2796511,32535.37,93763,977140,34.94
2019-11-11,TITAN, EQ, 11-Nov-2019,1156.75,1156.75,1163.75,1137.65,1153.65,1155.7,1153.89,2357413,27202.0,99113,707889,30.03
2019-11-13,TITAN, EQ, 13-Nov-2019,1155.7,1155.7,1167.0,1150.1,1158.0,1159.05,1158.7,2336007,27067.31,88954,927876,39.72
2019-11-14,TITAN, EQ, 14-Nov-2019,1159.05,1164.0,1176.3,1162.0,1169.2,1169.1,1169.36,2571355,30068.27,105239,1092781,42.5
2019-11-15,TITAN, EQ, 15-Nov-2019,1169.1,1173.0,1174.8,1155.9,1160.0,1158.45,1161.66,1506407,17499.26,68288,656077,43.55
2019-11-18,TITAN, EQ, 18-Nov-2019,1158.45,1160.15,1164.5,1152.8,1158.5,1158.8,1158.66,1132129,13117.58,41091,390176,34.46
2019-11-19,TITAN, EQ, 19-Nov-2019,1158.8,1158.8,1167.8,1153.1,1164.0,1163.2,1161.77,1109428,12888.96,37270, 364762, 32.88
2019-11-20,TITAN, EQ, 20-Nov-2019,1163.2,1166.0,1167.5,1156.4,1159.1,1162.85,1162.36,920219,10696.24,31671, 346639, 37.67
2019-11-21,TITAN, EQ, 21-Nov-2019,1162.85,1163.0,1170.0,1144.0,1146.6,1148.25,1155.88,1417102,16380.05,52643,540502,38.14
