Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,TORNTPHARM, EQ, 23-Aug-2019,1674.85,1673.7,1684.75,1628.2,1659.9,1659.6,1657.57,249479,4135.28,10574,123834,49.64
2019-10-01,TORNTPHARM, EQ, 01-Oct-2019,1667.4,1669.65,1670.0,1607.6,1610.0,1616.25,1632.59,178754,2918.32,13269,90987,50.9
2019-10-03,TORNTPHARM, EQ, 03-Oct-2019,1616.25,1605.75,1612.85,1578.0,1600.0,1598.85,1594.56,234100,3732.88,23413,98647,42.14
2019-10-04,TORNTPHARM, EQ, 04-Oct-2019,1598.85,1598.05,1658.45,1598.05,1630.05,1630.55,1640.78,250120,4103.92,11345,71886,28.74
2019-10-07,TORNTPHARM, EQ, 07-Oct-2019,1630.55,1624.75,1645.0,1581.65,1618.05,1613.65,1616.41,242688,3922.84,13210,74494,30.7
2019-10-09,TORNTPHARM, EQ, 09-Oct-2019,1613.65,1608.3,1671.0,1608.3,1669.0,1666.2,1644.04,110485,1816.42,6775,31417,28.44
2019-10-10,TORNTPHARM, EQ, 10-Oct-2019,1666.2,1565.0,1705.05,1555.0,1690.0,1688.25,1636.68,1783778,29194.79,66436,267916,15.02
2019-10-11,TORNTPHARM, EQ, 11-Oct-2019,1688.25,1689.9,1689.9,1637.0,1648.0,1644.35,1650.76,330198,5450.77,16703,96669,29.28
2019-10-14,TORNTPHARM, EQ, 14-Oct-2019,1644.35,1631.6,1704.1,1631.6,1695.5,1697.95,1689.24,366908,6197.96,16495,134470,36.65
2019-10-15,TORNTPHARM, EQ, 15-Oct-2019,1697.95,1695.55,1741.95,1680.0,1700.0,1699.85,1710.54,505473,8646.33,27853,164709,32.59
2019-10-16,TORNTPHARM, EQ, 16-Oct-2019,1699.85,1669.7,1689.85,1632.0,1636.5,1642.05,1651.92,637820,10536.27,22845,197163,30.91
2019-10-17,TORNTPHARM, EQ, 17-Oct-2019,1642.05,1635.0,1699.15,1627.3,1691.5,1694.5,1667.29,316291,5273.5,16945,68820,21.76
2019-10-18,TORNTPHARM, EQ, 18-Oct-2019,1694.5,1677.4,1695.05,1666.0,1675.4,1684.65,1685.17,544212,9170.91,11322,377747,69.41
2019-10-22,TORNTPHARM, EQ, 22-Oct-2019,1684.65,1638.0,1689.0,1638.0,1668.75,1670.0,1659.34,377383,6262.08,13067,209212,55.44
2019-10-23,TORNTPHARM, EQ, 23-Oct-2019,1670.0,1680.45,1691.45,1649.05,1685.0,1680.25,1673.22,241823,4046.23,17669,115257,47.66
2019-10-24,TORNTPHARM, EQ, 24-Oct-2019,1680.25,1690.75,1782.0,1687.4,1757.2,1767.75,1754.52,1106617,19415.84,42874,194735,17.6
2019-10-25,TORNTPHARM, EQ, 25-Oct-2019,1767.75,1767.75,1767.75,1733.95,1745.0,1743.8,1753.32,209890,3680.04,9881,41813,19.92
2019-10-27,TORNTPHARM, EQ, 27-Oct-2019,1743.8,1745.0,1768.0,1735.0,1735.0,1743.35,1749.58,19686,344.42,1229,2648,13.45
2019-10-29,TORNTPHARM, EQ, 29-Oct-2019,1743.35,1740.0,1806.0,1723.3,1790.15,1798.85,1780.41,307105,5467.72,17977,109623,35.7
2019-10-30,TORNTPHARM, EQ, 30-Oct-2019,1798.85,1792.0,1809.85,1752.5,1760.0,1765.4,1775.39,197325,3503.3,10386,72211,36.59
2019-10-31,TORNTPHARM, EQ, 31-Oct-2019,1765.4,1762.1,1798.0,1762.1,1778.0,1776.3,1778.78,212376,3777.7,15138,70524,33.21
2019-11-01,TORNTPHARM, EQ, 01-Nov-2019,1776.3,1786.0,1818.9,1778.0,1803.0,1801.9,1798.55,189695,3411.75,13752,59632,31.44
2019-11-04,TORNTPHARM, EQ, 04-Nov-2019,1801.9,1801.85,1833.5,1798.85,1808.6,1810.7,1816.44,189016,3433.36,12453,40532,21.44
