Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,TRENT, EQ, 23-Aug-2019,469.85,471.45,482.35,462.15,474.3,474.8,471.73,244769,1154.65,8150,119464,48.81
2019-10-01,TRENT, EQ, 01-Oct-2019,483.9,480.6,489.3,476.0,477.85,478.65,481.87,79281,382.03,3831,43796,55.24
2019-10-03,TRENT, EQ, 03-Oct-2019,478.65,481.5,500.0,481.1,499.1,499.6,492.68,166739,821.5,7651,53691,32.2
2019-10-04,TRENT, EQ, 04-Oct-2019,499.6,499.15,505.0,485.2,487.0,490.0,498.75,118615,591.59,7945,64209,54.13
2019-10-07,TRENT, EQ, 07-Oct-2019,490.0,490.9,491.95,478.0,486.1,488.15,485.73,44818,217.69,2430,17333,38.67
2019-10-09,TRENT, EQ, 09-Oct-2019,488.15,489.5,506.8,480.2,503.4,504.1,498.86,122255,609.88,5291,71086,58.15
2019-10-10,TRENT, EQ, 10-Oct-2019,504.1,505.8,506.45,494.1,495.0,497.9,498.82,178112,888.46,3417,136153,76.44
2019-10-11,TRENT, EQ, 11-Oct-2019,497.9,498.5,509.95,497.9,508.0,507.6,505.41,82764,418.3,5098,34839,42.09
2019-10-14,TRENT, EQ, 14-Oct-2019,507.6,510.6,510.65,502.15,505.8,505.7,509.11,157195,800.29,5342,134451,85.53
2019-10-15,TRENT, EQ, 15-Oct-2019,505.7,506.5,510.0,501.5,505.0,504.95,505.44,135526,685.0,2715,108834,80.3
2019-10-16,TRENT, EQ, 16-Oct-2019,504.95,506.0,508.55,502.4,506.5,505.8,505.97,30341,153.52,1511,16762,55.25
2019-10-17,TRENT, EQ, 17-Oct-2019,505.8,507.0,507.95,491.2,501.0,500.55,500.1,92914,464.66,3741,60432,65.04
2019-10-18,TRENT, EQ, 18-Oct-2019,500.55,500.55,522.2,500.55,522.0,519.75,515.99,177961,918.27,14394,128150,72.01
2019-10-22,TRENT, EQ, 22-Oct-2019,519.75,520.95,525.1,515.45,523.0,520.3,521.93,81390,424.8,6396,32507,39.94
2019-10-23,TRENT, EQ, 23-Oct-2019,520.3,522.0,539.0,517.25,528.5,526.2,532.05,172278,916.6,5914,65791,38.19
2019-10-24,TRENT, EQ, 24-Oct-2019,526.2,529.0,549.0,512.6,536.75,537.45,532.15,298536,1588.66,17781,169872,56.9
2019-10-25,TRENT, EQ, 25-Oct-2019,537.45,536.8,545.95,529.75,544.95,544.0,542.24,140932,764.19,5372,86823,61.61
2019-10-27,TRENT, EQ, 27-Oct-2019,544.0,548.8,555.0,541.0,541.0,546.1,550.22,39631,218.06,1942,22769,57.45
