Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,TVSMOTOR, EQ, 23-Aug-2019,356.3,356.0,367.45,352.6,365.3,365.55,361.46,1518152,5487.52,25931,345820,22.78,Auto
2019-10-01,TVSMOTOR, EQ, 01-Oct-2019,422.0,418.0,424.5,411.1,418.05,419.6,417.84,1593936,6660.03,23878,85917,5.39,Auto
2019-10-03,TVSMOTOR, EQ, 03-Oct-2019,419.6,405.0,414.7,402.0,403.9,405.3,407.33,1993787,8121.29,32603,228174,11.44,Auto
2019-10-04,TVSMOTOR, EQ, 04-Oct-2019,405.3,403.9,415.0,392.75,396.25,396.35,404.2,1763359,7127.52,27776,192370,10.91,Auto
2019-10-07,TVSMOTOR, EQ, 07-Oct-2019,396.35,390.0,400.5,380.7,397.75,393.7,387.96,2029657,7874.19,25460,319103,15.72,Auto
2019-10-09,TVSMOTOR, EQ, 09-Oct-2019,393.7,395.0,400.7,388.25,393.95,396.95,394.32,1916445,7556.85,26408,490137,25.58,Auto
2019-10-10,TVSMOTOR, EQ, 10-Oct-2019,396.95,396.7,396.7,382.05,383.1,384.45,386.88,1165519,4509.18,21109,230233,19.75,Auto
2019-10-11,TVSMOTOR, EQ, 11-Oct-2019,384.45,386.2,396.9,382.2,394.4,394.0,390.38,1604685,6264.33,16748,467673,29.14,Auto
2019-10-14,TVSMOTOR, EQ, 14-Oct-2019,394.0,392.25,400.5,386.7,398.05,397.5,394.41,1350640,5327.05,16443,261781,19.38,Auto
2019-10-15,TVSMOTOR, EQ, 15-Oct-2019,397.5,398.0,411.9,391.65,410.1,410.1,405.09,3185751,12905.17,37392,722279,22.67,Auto
2019-10-16,TVSMOTOR, EQ, 16-Oct-2019,410.1,412.6,416.6,406.65,412.0,411.7,411.53,3745656,15414.47,38192,1651546,44.09,Auto
2019-10-17,TVSMOTOR, EQ, 17-Oct-2019,411.7,408.0,451.8,397.1,446.4,439.8,425.8,7521706,32027.45,88495,917418,12.2,Auto
2019-10-18,TVSMOTOR, EQ, 18-Oct-2019,439.8,432.5,460.0,428.3,456.25,456.5,450.09,7430853,33445.65,92676,1134531,15.27,Auto
2019-10-22,TVSMOTOR, EQ, 22-Oct-2019,456.5,451.6,463.0,448.05,452.0,451.6,455.23,2647500,12052.09,42272,556910,21.04,Auto
2019-10-23,TVSMOTOR, EQ, 23-Oct-2019,451.6,454.0,469.0,446.35,461.55,462.95,460.44,2572546,11845.03,34334,507528,19.73,Auto
2019-10-24,TVSMOTOR, EQ, 24-Oct-2019,462.95,461.0,467.6,450.45,459.35,459.35,458.33,1837569,8422.08,26002,280431,15.26,Auto
2019-10-25,TVSMOTOR, EQ, 25-Oct-2019,459.35,452.35,467.0,452.35,465.0,464.95,462.69,1773165,8204.19,18993,282751,15.95,Auto
2019-10-27,TVSMOTOR, EQ, 27-Oct-2019,464.95,470.0,472.0,461.0,461.25,464.9,465.72,236050,1099.33,3606,34377,14.56,Auto
2019-10-29,TVSMOTOR, EQ, 29-Oct-2019,464.9,463.75,482.85,462.45,480.3,479.05,475.34,2250861,10699.21,29277,471007,20.93,Auto
2019-10-30,TVSMOTOR, EQ, 30-Oct-2019,479.05,478.0,500.8,474.05,493.55,494.85,490.68,2995598,14698.82,31643,652336,21.78,Auto
2019-10-31,TVSMOTOR, EQ, 31-Oct-2019,494.85,502.0,504.0,478.45,479.8,486.65,492.06,4501628,22150.6,62360,1280302,28.44,Auto
2019-11-01,TVSMOTOR, EQ, 01-Nov-2019,486.65,484.7,488.5,463.2,467.55,469.25,475.91,2628138,12507.66,32074,410216,15.61,Auto
2019-11-04,TVSMOTOR, EQ, 04-Nov-2019,469.25,470.0,471.7,452.8,455.65,455.65,460.39,1646975,7582.45,24475,280086,17.01,Auto
2019-11-05,TVSMOTOR, EQ, 05-Nov-2019,455.65,460.0,468.3,455.0,457.95,458.85,463.38,1972191,9138.74,25257,289393,14.67,Auto
2019-11-06,TVSMOTOR, EQ, 06-Nov-2019,458.85,458.85,464.1,454.55,460.45,460.7,459.65,1168437,5370.73,15637,149389,12.79,Auto
2019-11-07,TVSMOTOR, EQ, 07-Nov-2019,460.7,461.55,463.95,447.55,450.4,449.3,452.55,1537259,6956.88,30102,515152,33.51,Auto
2019-11-08,TVSMOTOR, EQ, 08-Nov-2019,449.3,450.0,456.45,445.0,448.0,452.4,452.22,1322514,5980.72,17553,245516,18.56,Auto
2019-11-11,TVSMOTOR, EQ, 11-Nov-2019,452.4,450.0,454.45,438.7,445.05,446.3,444.73,2385247,10607.98,37188,861410,36.11,Auto
2019-11-13,TVSMOTOR, EQ, 13-Nov-2019,446.3,447.0,463.2,446.05,459.15,459.8,454.79,2650866,12055.92,41971,1413153,53.31,Auto
2019-11-14,TVSMOTOR, EQ, 14-Nov-2019,459.8,461.5,461.95,445.0,445.5,448.3,451.04,1799094,8114.63,27674,609587,33.88,Auto
2019-11-15,TVSMOTOR, EQ, 15-Nov-2019,448.3,451.1,459.9,450.25,452.0,451.8,455.24,1315879,5990.4,25124,321030,24.4,Auto
2019-11-18,TVSMOTOR, EQ, 18-Nov-2019,451.8,452.0,455.95,445.2,449.55,451.8,450.06,1664570,7491.63,32395,455445,27.36,Auto
2019-11-19,TVSMOTOR, EQ, 19-Nov-2019,451.8,452.95,456.0,445.55,447.5,447.85,449.28,843871,3791.38,13372,171105,20.28,Auto
2019-11-20,TVSMOTOR, EQ, 20-Nov-2019,447.85,448.0,452.4,442.8,448.6,448.05,447.5,911015,4076.77,12045,178442,19.59,Auto
2019-11-21,TVSMOTOR, EQ, 21-Nov-2019,448.05,450.0,460.8,446.85,448.4,448.4,454.87,2749884,12508.32,35606,462280,16.81,Auto
2019-11-22,TVSMOTOR, EQ, 22-Nov-2019,448.4,451.0,453.95,441.2,442.0,442.95,445.7,1622778,7232.77,16923,437499,26.96,Auto
2019-11-25,TVSMOTOR, EQ, 25-Nov-2019,442.95,445.0,458.95,442.35,457.15,455.5,450.66,1799285,8108.66,18998,561984,31.23,Auto
2019-11-26,TVSMOTOR, EQ, 26-Nov-2019,455.5,457.75,464.65,451.4,452.0,453.0,457.34,1516097,6933.76,19802,324803,21.42,Auto
2019-11-27,TVSMOTOR, EQ, 27-Nov-2019,453.0,459.6,476.6,454.0,475.0,472.1,465.82,2602641,12123.62,29737,455823,17.51,Auto
2019-11-28,TVSMOTOR, EQ, 28-Nov-2019,472.1,473.4,490.0,470.25,485.7,487.8,480.46,3469572,16669.95,41380,798231,23.01,Auto
2019-11-29,TVSMOTOR, EQ, 29-Nov-2019,487.8,484.0,485.95,470.35,476.15,477.25,477.96,1527483,7300.83,17373,274343,17.96,Auto
2019-12-02,TVSMOTOR, EQ, 02-Dec-2019,477.25,474.7,483.5,462.1,464.9,467.75,471.23,1811823,8537.78,27094,141725,7.82,Auto
2019-12-03,TVSMOTOR, EQ, 03-Dec-2019,467.75,462.55,467.95,451.5,454.0,455.35,460.0,897136,4126.83,13980,82975,9.25,Auto
2019-12-04,TVSMOTOR, EQ, 04-Dec-2019,455.35,454.7,454.7,444.25,451.55,451.55,449.49,1294687,5819.47,22556,337883,26.1,Auto
2019-12-05,TVSMOTOR, EQ, 05-Dec-2019,451.55,454.35,460.0,450.0,451.0,452.2,455.16,1093627,4977.75,14936,119178,10.9,Auto
2019-12-06,TVSMOTOR, EQ, 06-Dec-2019,452.2,452.0,454.75,438.1,444.0,444.15,444.83,1043581,4642.17,13400,130946,12.55,Auto
2019-12-09,TVSMOTOR, EQ, 09-Dec-2019,444.15,446.95,453.0,435.6,440.2,440.2,442.35,2205088,9754.21,33162,512280,23.23,Auto
2019-12-10,TVSMOTOR, EQ, 10-Dec-2019,440.2,442.95,443.65,433.55,434.95,436.1,436.91,1212047,5295.58,14755,55776,4.6,Auto
2019-12-11,TVSMOTOR, EQ, 11-Dec-2019,436.1,438.8,441.2,430.5,438.1,439.35,434.91,946769,4117.61,14211,92359,9.76,Auto
2019-12-12,TVSMOTOR, EQ, 12-Dec-2019,439.35,442.05,447.9,439.4,443.1,444.1,444.48,962777,4279.38,13278,97983,10.18,Auto
2019-12-13,TVSMOTOR, EQ, 13-Dec-2019,444.1,443.5,461.25,443.5,457.25,457.3,455.52,1858870,8467.58,23551,255060,13.72,Auto
2019-12-16,TVSMOTOR, EQ, 16-Dec-2019,457.3,458.0,460.0,446.25,448.2,449.05,451.43,1094491,4940.82,31482,290647,26.56,Auto
2019-12-17,TVSMOTOR, EQ, 17-Dec-2019,449.05,449.0,456.9,447.5,451.1,451.4,452.75,1259701,5703.34,18436,437757,34.75,Auto
2019-12-18,TVSMOTOR, EQ, 18-Dec-2019,451.4,451.4,452.95,442.3,445.55,445.55,445.9,1153002,5141.2,15514,417634,36.22,Auto
2019-12-19,TVSMOTOR, EQ, 19-Dec-2019,445.55,447.0,463.8,445.2,456.7,456.45,457.15,3818286,17455.38,51383,618862,16.21,Auto
2019-12-20,TVSMOTOR, EQ, 20-Dec-2019,456.45,457.0,462.7,454.1,459.7,461.1,459.01,1398625,6419.83,20296,169844,12.14,Auto
2019-12-23,TVSMOTOR, EQ, 23-Dec-2019,461.1,462.0,471.95,459.4,465.05,466.6,467.62,2089293,9769.93,31855,258726,12.38,Auto
