Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,UBL, EQ, 23-Aug-2019,1291.45,1290.45,1314.75,1261.95,1306.75,1305.25,1290.12,331130,4271.97,11373,61844,18.68
2019-10-01,UBL, EQ, 01-Oct-2019,1347.15,1354.05,1354.05,1307.6,1325.0,1324.8,1323.56,526187,6964.38,23415,288983,54.92
2019-10-03,UBL, EQ, 03-Oct-2019,1324.8,1321.15,1333.5,1315.0,1325.25,1326.55,1324.01,237495,3144.46,13335,137241,57.79
2019-10-04,UBL, EQ, 04-Oct-2019,1326.55,1329.9,1341.4,1261.3,1261.3,1269.7,1286.32,360814,4641.23,16056,111412,30.88
2019-10-07,UBL, EQ, 07-Oct-2019,1269.7,1271.4,1275.8,1248.0,1248.0,1253.75,1261.42,114901,1449.38,5264,16608,14.45
2019-10-09,UBL, EQ, 09-Oct-2019,1253.75,1254.15,1300.0,1246.0,1280.0,1281.55,1275.28,484426,6177.78,18438,203233,41.95
2019-10-10,UBL, EQ, 10-Oct-2019,1281.55,1278.0,1304.75,1270.0,1279.45,1281.4,1290.75,458940,5923.77,9459,250519,54.59
2019-10-11,UBL, EQ, 11-Oct-2019,1281.4,1281.4,1287.75,1246.55,1265.25,1263.35,1257.86,547768,6890.14,11557,358613,65.47
2019-10-14,UBL, EQ, 14-Oct-2019,1263.35,1266.0,1284.0,1261.0,1277.3,1276.35,1271.74,308362,3921.57,6799,177445,57.54
2019-10-15,UBL, EQ, 15-Oct-2019,1276.35,1277.3,1299.25,1265.5,1285.9,1286.1,1286.6,456957,5879.22,20727,272310,59.59
2019-10-16,UBL, EQ, 16-Oct-2019,1286.1,1286.1,1302.0,1267.0,1301.9,1298.4,1290.53,473844,6115.08,10112,335984,70.91
2019-10-17,UBL, EQ, 17-Oct-2019,1298.4,1298.4,1327.0,1289.9,1326.5,1322.6,1307.9,717667,9386.38,13224,430253,59.95
2019-10-18,UBL, EQ, 18-Oct-2019,1322.6,1322.0,1335.0,1307.4,1323.4,1330.0,1324.35,282306,3738.72,11034,131875,46.71
2019-10-22,UBL, EQ, 22-Oct-2019,1330.0,1336.0,1336.0,1299.3,1319.3,1318.9,1314.3,476966,6268.75,22170,284693,59.69
2019-10-23,UBL, EQ, 23-Oct-2019,1318.9,1311.9,1344.95,1311.9,1332.1,1333.0,1329.48,346663,4608.81,14829,136519,39.38
2019-10-24,UBL, EQ, 24-Oct-2019,1333.0,1338.5,1356.7,1324.0,1346.8,1350.65,1346.58,472988,6369.14,8887,276464,58.45
2019-10-25,UBL, EQ, 25-Oct-2019,1350.65,1357.25,1365.0,1331.9,1335.0,1337.75,1352.55,348440,4712.83,29149,155473,44.62
2019-10-27,UBL, EQ, 27-Oct-2019,1337.75,1350.0,1355.0,1315.0,1327.0,1324.25,1325.6,57264,759.09,2394,13115,22.9
2019-10-29,UBL, EQ, 29-Oct-2019,1324.25,1329.65,1329.65,1278.7,1288.1,1290.85,1294.48,987144,12778.41,19927,745823,75.55
2019-10-30,UBL, EQ, 30-Oct-2019,1290.85,1285.85,1285.85,1247.95,1266.35,1265.55,1264.24,1215626,15368.41,29881,827712,68.09
2019-10-31,UBL, EQ, 31-Oct-2019,1265.55,1265.55,1286.95,1259.5,1275.5,1276.15,1276.57,562634,7182.41,23724,297259,52.83
2019-11-01,UBL, EQ, 01-Nov-2019,1276.15,1284.0,1284.0,1240.5,1247.0,1249.15,1252.42,962891,12059.44,25380,540984,56.18
2019-11-04,UBL, EQ, 04-Nov-2019,1249.15,1250.1,1265.45,1229.95,1233.75,1233.7,1248.34,1426429,17806.71,28859,1120840,78.58
2019-11-05,UBL, EQ, 05-Nov-2019,1233.7,1229.7,1245.05,1210.5,1214.5,1217.85,1228.02,754430,9264.56,26533,357870,47.44
2019-11-06,UBL, EQ, 06-Nov-2019,1217.85,1215.2,1277.05,1194.2,1258.0,1257.45,1232.1,3227234,39762.74,55146,2189312,67.84
2019-11-07,UBL, EQ, 07-Nov-2019,1257.45,1260.0,1265.3,1221.0,1237.0,1236.6,1248.25,642326,8017.81,24458,277490,43.2
2019-11-08,UBL, EQ, 08-Nov-2019,1236.6,1220.0,1296.2,1220.0,1250.0,1255.4,1264.3,1891378,23912.69,66947,440728,23.3
2019-11-11,UBL, EQ, 11-Nov-2019,1255.4,1250.0,1273.3,1237.3,1252.0,1246.4,1255.54,548799,6890.38,20898,191573,34.91
2019-11-13,UBL, EQ, 13-Nov-2019,1246.4,1252.0,1260.0,1237.0,1240.2,1242.25,1248.79,367679,4591.55,27757,163182,44.38
2019-11-14,UBL, EQ, 14-Nov-2019,1242.25,1248.0,1253.35,1230.0,1245.9,1250.25,1244.54,302857,3769.18,18529,176626,58.32
2019-11-15,UBL, EQ, 15-Nov-2019,1250.25,1246.0,1260.45,1240.95,1252.9,1247.95,1251.16,254708,3186.8,12802,129124,50.69
2019-11-18,UBL, EQ, 18-Nov-2019,1247.95,1248.0,1255.05,1236.0,1248.1,1246.7,1244.62,143873,1790.67,11370,50178,34.88
2019-11-19,UBL, EQ, 19-Nov-2019,1246.7,1245.1,1250.0,1223.5,1230.0,1230.65,1231.87,515508,6350.38,42128, 307063, 59.57
2019-11-20,UBL, EQ, 20-Nov-2019,1230.65,1236.0,1236.0,1213.0,1230.0,1222.05,1221.98,593763,7255.65,26092, 332295, 55.96
2019-11-21,UBL, EQ, 21-Nov-2019,1222.05,1229.6,1245.95,1222.5,1227.05,1227.3,1231.75,281811,3471.2,14701,86667,30.75
2019-11-22,UBL, EQ, 22-Nov-2019,1227.3,1230.9,1235.5,1217.95,1220.0,1221.75,1223.26,229599,2808.59,7375,90864,39.58
2019-11-25,UBL, EQ, 25-Nov-2019,1221.75,1222.0,1229.55,1201.3,1221.0,1222.25,1216.45,494374,6013.8,15471,137357,27.78
2019-11-26,UBL, EQ, 26-Nov-2019,1222.25,1239.0,1261.95,1221.3,1228.7,1225.85,1243.19,611044,7596.42,16241, 167314, 27.38
2019-11-27,UBL, EQ, 27-Nov-2019,1225.85,1220.0,1258.6,1210.75,1249.65,1255.25,1247.95,481476,6008.56,13292,219923,45.68
2019-11-28,UBL, EQ, 28-Nov-2019,1255.25,1249.0,1284.95,1248.7,1275.9,1277.8,1274.54,621679,7923.54,28757,230518,37.08
2019-11-29,UBL, EQ, 29-Nov-2019,1277.8,1266.0,1298.5,1250.65,1254.4,1257.6,1276.82,273362,3490.35,10041,108658,39.75
2019-12-02,UBL, EQ, 02-Dec-2019,1257.6,1263.9,1274.2,1239.75,1250.0,1248.3,1248.87,146097,1824.56,5564, 62525, 42.80
2019-12-03,UBL, EQ, 03-Dec-2019,1248.3,1254.0,1264.95,1242.05,1245.0,1245.25,1251.82,270632,3387.81,9567,145797,53.87
2019-12-04,UBL, EQ, 04-Dec-2019,1245.25,1243.0,1247.3,1221.0,1237.6,1236.6,1233.78,332992,4108.39,25284,136898,41.11
2019-12-05,UBL, EQ, 05-Dec-2019,1236.6,1243.0,1244.15,1221.65,1230.05,1230.35,1232.08,469776,5788.03,25534,300834,64.04
2019-12-06,UBL, EQ, 06-Dec-2019,1230.35,1232.15,1237.9,1211.45,1214.0,1219.5,1220.93,355361,4338.7,19124,172887,48.65
2019-12-09,UBL, EQ, 09-Dec-2019,1219.5,1211.15,1230.0,1205.4,1225.0,1223.6,1216.97,343298,4177.85,32352,174208,50.75
2019-12-10,UBL, EQ, 10-Dec-2019,1223.6,1231.0,1232.0,1200.0,1200.0,1201.05,1216.16,717456,8725.38,18389,532495,74.22
2019-12-11,UBL, EQ, 11-Dec-2019,1201.05,1200.0,1212.8,1186.15,1201.05,1201.95,1198.52,495380,5937.24,18413,218604,44.13
2019-12-12,UBL, EQ, 12-Dec-2019,1201.95,1209.0,1215.0,1185.0,1210.0,1210.6,1202.07,801834,9638.57,33034,326438,40.71
2019-12-13,UBL, EQ, 13-Dec-2019,1210.6,1212.0,1224.6,1202.35,1217.0,1221.3,1214.57,361089,4385.67,22332,152881,42.34
2019-12-16,UBL, EQ, 16-Dec-2019,1221.3,1218.95,1220.0,1203.65,1213.0,1212.05,1211.51,189254,2292.83,6955,54337,28.71
2019-12-17,UBL, EQ, 17-Dec-2019,1212.05,1210.1,1221.65,1204.05,1207.95,1209.75,1211.79,292306,3542.13,13594,108313,37.05
2019-12-18,UBL, EQ, 18-Dec-2019,1209.75,1213.9,1224.6,1194.4,1219.0,1217.35,1206.79,535331,6460.34,17060,266067,49.7
