Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,ULTRACEMCO, EQ, 23-Aug-2019,3838.15,3838.0,3899.4,3791.1,3868.0,3861.8,3844.63,783702,30130.42,63636,414837,52.93,Cement
2019-10-01,ULTRACEMCO, EQ, 01-Oct-2019,4341.25,4368.0,4410.0,4155.0,4218.0,4212.6,4265.73,362440,15460.72,35515,113416,31.29,Cement
2019-10-03,ULTRACEMCO, EQ, 03-Oct-2019,4212.6,4219.0,4219.0,4114.0,4141.0,4146.8,4165.97,321369,13388.13,34511,141372,43.99,Cement
2019-10-04,ULTRACEMCO, EQ, 04-Oct-2019,4146.8,4173.2,4183.3,3967.0,3979.6,3979.55,4057.14,476329,19325.33,40139,164440,34.52,Cement
2019-10-07,ULTRACEMCO, EQ, 07-Oct-2019,3979.55,3999.0,4008.8,3853.0,3875.0,3870.4,3900.18,413509,16127.6,39381,131685,31.85,Cement
2019-10-09,ULTRACEMCO, EQ, 09-Oct-2019,3870.4,3868.0,4061.0,3868.0,4061.0,4043.55,4003.55,802345,32122.32,60933,189876,23.67,Cement
2019-10-10,ULTRACEMCO, EQ, 10-Oct-2019,4043.55,4047.5,4080.0,3947.05,3977.0,3976.3,3989.44,390651,15584.78,37643,64376,16.48,Cement
2019-10-11,ULTRACEMCO, EQ, 11-Oct-2019,3976.3,3986.0,4099.9,3965.0,4075.0,4077.2,4047.3,624956,25293.86,38320,149913,23.99,Cement
2019-10-14,ULTRACEMCO, EQ, 14-Oct-2019,4077.2,4075.0,4207.1,4051.55,4181.0,4170.3,4152.62,467406,19409.59,31070,143866,30.78,Cement
2019-10-15,ULTRACEMCO, EQ, 15-Oct-2019,4170.3,4194.9,4219.2,4141.55,4205.0,4206.5,4190.74,349808,14659.55,33537,74328,21.25,Cement
2019-10-16,ULTRACEMCO, EQ, 16-Oct-2019,4206.5,4232.8,4298.0,4226.55,4267.35,4285.3,4272.7,323562,13824.84,28455,58561,18.1,Cement
2019-10-17,ULTRACEMCO, EQ, 17-Oct-2019,4285.3,4271.0,4280.0,4221.05,4254.05,4260.45,4247.69,335206,14238.5,26474,112096,33.44,Cement
2019-10-18,ULTRACEMCO, EQ, 18-Oct-2019,4260.45,4268.7,4363.0,4255.65,4272.2,4295.3,4319.82,539285,23296.15,44054,174299,32.32,Cement
2019-10-22,ULTRACEMCO, EQ, 22-Oct-2019,4295.3,4295.0,4409.9,4217.0,4250.8,4249.3,4301.05,999349,42982.45,78053,240648,24.08,Cement
2019-10-23,ULTRACEMCO, EQ, 23-Oct-2019,4249.3,4275.85,4299.0,4212.0,4251.15,4251.3,4262.78,432380,18431.43,25556,120807,27.94,Cement
2019-10-24,ULTRACEMCO, EQ, 24-Oct-2019,4251.3,4265.0,4330.0,4243.75,4289.95,4311.55,4282.21,884456,37874.29,61289,475335,53.74,Cement
2019-10-25,ULTRACEMCO, EQ, 25-Oct-2019,4311.55,4293.8,4306.8,4175.0,4199.0,4196.6,4234.08,587008,24854.4,44785,325450,55.44,Cement
2019-10-27,ULTRACEMCO, EQ, 27-Oct-2019,4196.6,4203.0,4275.0,4172.0,4181.0,4189.9,4205.43,56626,2381.37,4009,18294,32.31,Cement
2019-10-29,ULTRACEMCO, EQ, 29-Oct-2019,4189.9,4219.7,4219.7,4081.0,4125.0,4117.7,4127.87,775239,32000.82,60067,420593,54.25,Cement
2019-10-30,ULTRACEMCO, EQ, 30-Oct-2019,4117.7,4170.0,4206.95,4101.25,4120.65,4122.7,4142.14,616338,25529.56,54061,256902,41.68,Cement
2019-10-31,ULTRACEMCO, EQ, 31-Oct-2019,4122.7,4122.7,4166.0,4091.4,4143.5,4143.2,4130.88,763791,31551.27,64204,458531,60.03,Cement
2019-11-01,ULTRACEMCO, EQ, 01-Nov-2019,4143.2,4143.0,4178.8,4131.75,4168.95,4162.75,4159.34,255083,10609.76,20345,75122,29.45,Cement
2019-11-04,ULTRACEMCO, EQ, 04-Nov-2019,4162.75,4172.0,4296.7,4172.0,4237.5,4238.7,4237.24,875545,37098.97,43438,373179,42.62,Cement
2019-11-05,ULTRACEMCO, EQ, 05-Nov-2019,4238.7,4250.0,4250.0,4134.35,4145.0,4147.4,4176.29,386308,16133.35,34609,149393,38.67,Cement
2019-11-06,ULTRACEMCO, EQ, 06-Nov-2019,4147.4,4160.0,4176.9,4116.05,4126.1,4135.65,4140.1,417808,17297.66,23532,212375,50.83,Cement
2019-11-07,ULTRACEMCO, EQ, 07-Nov-2019,4135.65,4160.0,4235.25,4160.0,4184.95,4187.4,4198.62,615076,25824.73,46400,302222,49.14,Cement
2019-11-08,ULTRACEMCO, EQ, 08-Nov-2019,4187.4,4170.0,4194.85,4126.25,4140.0,4147.25,4168.48,371096,15469.05,31990,205562,55.39,Cement
2019-11-11,ULTRACEMCO, EQ, 11-Nov-2019,4147.25,4133.0,4180.0,4108.0,4136.2,4137.05,4146.09,275634,11428.03,23209,105372,38.23,Cement
2019-11-13,ULTRACEMCO, EQ, 13-Nov-2019,4137.05,4137.05,4172.4,4105.1,4122.35,4115.6,4147.23,519389,21540.26,25348,340892,65.63,Cement
2019-11-14,ULTRACEMCO, EQ, 14-Nov-2019,4115.6,4130.0,4132.0,3993.1,4012.95,4003.4,4030.76,573058,23098.58,36807,265837,46.39,Cement
2019-11-15,ULTRACEMCO, EQ, 15-Nov-2019,4003.4,4043.85,4094.0,4015.0,4079.95,4077.4,4063.49,621773,25265.68,34442,259803,41.78,Cement
2019-11-18,ULTRACEMCO, EQ, 18-Nov-2019,4077.4,4075.9,4145.3,4070.05,4117.7,4126.35,4118.58,498006,20510.77,44826,224084,45.0,Cement
2019-11-19,ULTRACEMCO, EQ, 19-Nov-2019,4126.35,4130.0,4130.0,4085.25,4097.0,4100.15,4100.7,561897,23041.72,31783,404079,71.91,Cement
2019-11-20,ULTRACEMCO, EQ, 20-Nov-2019,4100.15,4098.0,4130.0,4075.0,4104.0,4114.05,4113.17,836453,34404.76,21015,681955,81.53,Cement
2019-11-21,ULTRACEMCO, EQ, 21-Nov-2019,4114.05,4110.0,4110.0,4064.0,4064.0,4077.25,4081.97,213325,8707.87,25939,100458,47.09,Cement
2019-11-22,ULTRACEMCO, EQ, 22-Nov-2019,4077.25,4084.8,4097.85,4030.05,4070.05,4081.15,4066.98,222219,9037.6,16777,75223,33.85,Cement
2019-11-25,ULTRACEMCO, EQ, 25-Nov-2019,4081.15,4118.0,4129.0,4095.05,4113.45,4113.45,4113.26,413582,17011.69,30745,222128,53.71,Cement
