Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,UPL, EQ, 23-Aug-2019,518.05,518.0,550.35,514.05,550.05,547.25,536.95,4297069,23072.93,86192,651241,15.16,Chemicals
2019-10-01,UPL, EQ, 01-Oct-2019,603.95,609.95,614.35,584.5,594.25,594.95,602.35,4548803,27399.83,75427,987075,21.7,Chemicals
2019-10-03,UPL, EQ, 03-Oct-2019,594.95,590.0,598.5,572.25,595.35,594.4,591.64,1610688,9529.46,53493,494064,30.67,Chemicals
2019-10-04,UPL, EQ, 04-Oct-2019,594.4,598.9,604.95,580.35,581.45,582.55,592.91,3019366,17902.21,56559,906713,30.03,Chemicals
2019-10-07,UPL, EQ, 07-Oct-2019,582.55,583.0,592.65,576.5,580.0,581.05,584.04,1808468,10562.16,27965,535748,29.62,Chemicals
2019-10-09,UPL, EQ, 09-Oct-2019,581.05,581.0,584.6,573.75,580.8,581.7,579.67,1743937,10109.06,32629,568334,32.59,Chemicals
2019-10-10,UPL, EQ, 10-Oct-2019,581.7,578.0,588.8,574.7,582.0,583.45,582.31,1789997,10423.27,30883,576909,32.23,Chemicals
2019-10-11,UPL, EQ, 11-Oct-2019,583.45,584.2,593.2,581.0,587.8,589.85,588.92,1710191,10071.66,29079,382439,22.36,Chemicals
2019-10-14,UPL, EQ, 14-Oct-2019,589.85,583.0,589.65,568.1,584.5,586.65,581.31,3373152,19608.5,48694,636684,18.88,Chemicals
2019-10-15,UPL, EQ, 15-Oct-2019,586.65,585.0,591.0,580.8,583.2,583.1,585.92,2213363,12968.59,40294,956157,43.2,Chemicals
2019-10-16,UPL, EQ, 16-Oct-2019,583.1,586.8,592.0,580.0,588.95,588.75,585.03,1733497,10141.43,42362,562319,32.44,Chemicals
2019-10-17,UPL, EQ, 17-Oct-2019,588.75,585.0,593.7,580.35,590.6,591.95,587.83,2290127,13462.16,54944,919044,40.13,Chemicals
2019-10-18,UPL, EQ, 18-Oct-2019,591.95,591.0,603.5,588.5,598.0,599.0,597.35,2426210,14492.92,42612,703570,29.0,Chemicals
2019-10-22,UPL, EQ, 22-Oct-2019,599.0,599.0,603.9,592.95,597.0,597.0,599.01,2264692,13565.69,46921,1106293,48.85,Chemicals
2019-10-23,UPL, EQ, 23-Oct-2019,597.0,598.3,600.9,591.1,597.85,597.0,597.24,1544878,9226.64,35528,819852,53.07,Chemicals
2019-10-24,UPL, EQ, 24-Oct-2019,597.0,600.0,606.5,595.1,599.5,597.7,600.52,2250928,13517.19,35730,1017270,45.19,Chemicals
2019-10-25,UPL, EQ, 25-Oct-2019,597.7,601.45,601.95,589.9,594.0,594.6,594.63,2174674,12931.27,35000,1018735,46.85,Chemicals
2019-10-27,UPL, EQ, 27-Oct-2019,594.6,595.0,598.45,592.0,593.0,596.1,596.17,109875,655.05,2297,43657,39.73,Chemicals
2019-10-29,UPL, EQ, 29-Oct-2019,596.1,596.0,600.0,591.5,594.75,594.9,596.02,1791840,10679.67,63241,1022882,57.09,Chemicals
2019-10-30,UPL, EQ, 30-Oct-2019,594.9,599.8,599.8,580.1,584.2,584.15,587.13,2393149,14050.79,64639,765473,31.99,Chemicals
2019-10-31,UPL, EQ, 31-Oct-2019,584.15,586.0,599.0,578.1,598.45,596.45,590.52,2419308,14286.5,44160,1111037,45.92,Chemicals
2019-11-01,UPL, EQ, 01-Nov-2019,596.45,599.55,600.8,586.0,587.0,588.55,594.15,1393105,8277.19,28427,322882,23.18,Chemicals
2019-11-04,UPL, EQ, 04-Nov-2019,588.55,590.0,600.95,587.2,595.0,594.25,595.02,1912912,11382.21,30839,625524,32.7,Chemicals
2019-11-05,UPL, EQ, 05-Nov-2019,594.25,596.45,617.75,590.0,607.6,605.65,608.84,5995240,36501.5,85845,1526450,25.46,Chemicals
2019-11-06,UPL, EQ, 06-Nov-2019,605.65,611.0,615.0,603.85,606.8,606.6,609.62,2513814,15324.65,42889,447720,17.81,Chemicals
2019-11-07,UPL, EQ, 07-Nov-2019,606.6,612.0,612.0,557.1,559.05,577.7,586.63,4504826,26426.45,69205,1120043,24.86,Chemicals
2019-11-08,UPL, EQ, 08-Nov-2019,577.7,563.6,574.5,552.55,556.0,555.85,562.16,8050823,45258.37,125942,1257172,15.62,Chemicals
2019-11-11,UPL, EQ, 11-Nov-2019,555.85,555.0,561.0,541.25,551.0,548.85,550.12,3188430,17540.08,47177,612730,19.22,Chemicals
2019-11-13,UPL, EQ, 13-Nov-2019,548.85,551.0,553.75,538.5,541.0,541.3,544.57,2509847,13667.87,58672,696858,27.76,Chemicals
2019-11-14,UPL, EQ, 14-Nov-2019,541.3,541.55,544.2,531.1,535.15,535.55,537.03,2412598,12956.43,55263,719442,29.82,Chemicals
2019-11-15,UPL, EQ, 15-Nov-2019,535.55,539.0,541.75,518.35,529.9,530.3,528.81,4164016,22019.71,65174,1179424,28.32,Chemicals
2019-11-18,UPL, EQ, 18-Nov-2019,530.3,530.15,551.45,527.5,550.0,549.0,542.25,5257399,28508.21,73718,1691918,32.18,Chemicals
2019-11-19,UPL, EQ, 19-Nov-2019,549.0,551.0,556.75,538.1,550.2,551.25,546.97,4602774,25175.79,69412,1635587,35.53,Chemicals
2019-11-20,UPL, EQ, 20-Nov-2019,551.25,552.9,556.5,546.4,552.9,552.85,552.3,1835821,10139.24,26710,381543,20.78,Chemicals
2019-11-21,UPL, EQ, 21-Nov-2019,552.85,553.2,559.8,542.0,542.55,544.8,552.0,2177445,12019.56,46096,432979,19.88,Chemicals
2019-11-22,UPL, EQ, 22-Nov-2019,544.8,541.0,542.5,530.5,533.3,533.5,535.4,2553689,13672.56,40710,1119126,43.82,Chemicals
2019-11-25,UPL, EQ, 25-Nov-2019,533.5,534.0,547.75,534.0,544.5,544.5,542.95,2853307,15492.02,44724,1033542,36.22,Chemicals
2019-11-26,UPL, EQ, 26-Nov-2019,544.5,543.6,551.9,538.55,544.1,541.7,543.41,4319616,23473.34,61009,2580486,59.74,Chemicals
2019-11-27,UPL, EQ, 27-Nov-2019,541.7,544.2,554.9,544.2,553.0,551.85,549.81,3722294,20465.68,50902,1901743,51.09,Chemicals
2019-11-28,UPL, EQ, 28-Nov-2019,551.85,554.8,582.8,554.05,582.0,579.9,572.26,7529348,43087.26,116319,1951335,25.92,Chemicals
2019-11-29,UPL, EQ, 29-Nov-2019,579.9,577.25,582.8,571.4,572.55,573.25,575.95,1835816,10573.35,28850,441601,24.05,Chemicals
