Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,VEDL, EQ, 23-Aug-2019,129.05,129.3,138.35,127.55,136.4,137.4,134.82,16357720,22053.1,84266,2423210,14.81,Metals
2019-10-01,VEDL, EQ, 01-Oct-2019,154.15,154.4,156.1,145.3,151.35,151.3,151.98,9430842,14333.06,57634,1519442,16.11,Metals
2019-10-03,VEDL, EQ, 03-Oct-2019,151.3,149.0,149.0,143.3,144.25,144.4,146.0,13962779,20385.99,105149,5124441,36.7,Metals
2019-10-04,VEDL, EQ, 04-Oct-2019,144.4,145.75,147.05,142.5,142.9,143.3,145.12,7816113,11342.98,53357,1194269,15.28,Metals
2019-10-07,VEDL, EQ, 07-Oct-2019,143.3,144.0,145.7,141.5,142.3,142.65,143.73,7480593,10751.99,48791,1476547,19.74,Metals
2019-10-09,VEDL, EQ, 09-Oct-2019,142.65,142.0,146.5,141.15,146.2,145.7,144.35,6695090,9664.4,43357,1439075,21.49,Metals
2019-10-10,VEDL, EQ, 10-Oct-2019,145.7,143.9,145.5,140.5,141.0,141.15,143.06,8466309,12112.29,51409,2861816,33.8,Metals
2019-10-11,VEDL, EQ, 11-Oct-2019,141.15,142.55,148.2,141.15,146.7,147.05,145.61,20089933,29252.55,90455,4262645,21.22,Metals
2019-10-14,VEDL, EQ, 14-Oct-2019,147.05,148.75,152.8,147.0,147.2,147.8,150.42,12919085,19432.57,66902,2254818,17.45,Metals
2019-10-15,VEDL, EQ, 15-Oct-2019,147.8,147.15,155.9,144.5,153.75,153.5,150.75,17789048,26817.06,77515,4333746,24.36,Metals
2019-10-16,VEDL, EQ, 16-Oct-2019,153.5,153.75,153.8,149.15,149.7,149.9,150.3,12056082,18120.54,73672,3532461,29.3,Metals
2019-10-17,VEDL, EQ, 17-Oct-2019,149.9,148.05,149.7,144.75,148.45,148.3,146.7,18475493,27102.73,126020,5382485,29.13,Metals
2019-10-18,VEDL, EQ, 18-Oct-2019,148.3,148.4,152.2,147.8,149.75,150.25,150.39,10985219,16521.21,57204,3194009,29.08,Metals
2019-10-22,VEDL, EQ, 22-Oct-2019,150.25,150.6,151.95,147.2,149.1,149.15,150.11,8487404,12740.53,61334,2268045,26.72,Metals
2019-10-23,VEDL, EQ, 23-Oct-2019,149.15,149.0,150.0,145.5,145.9,146.25,147.18,9045790,13313.77,64130,3098180,34.25,Metals
2019-10-24,VEDL, EQ, 24-Oct-2019,146.25,147.0,148.6,145.0,146.1,145.7,146.81,11714667,17197.97,66200,5117772,43.69,Metals
2019-10-25,VEDL, EQ, 25-Oct-2019,145.7,145.95,146.9,141.6,142.45,142.2,144.15,11787504,16991.64,91707,4587686,38.92,Metals
2019-10-27,VEDL, EQ, 27-Oct-2019,142.2,144.1,145.15,143.35,145.1,144.65,144.38,1765530,2549.14,9547,1152397,65.27,Metals
2019-10-29,VEDL, EQ, 29-Oct-2019,144.65,145.55,152.5,145.55,149.0,149.5,150.18,18348776,27555.7,121166,8083435,44.05,Metals
2019-10-30,VEDL, EQ, 30-Oct-2019,149.5,151.45,151.6,149.35,150.8,150.1,150.7,14348160,21623.18,83323,8074440,56.28,Metals
2019-10-31,VEDL, EQ, 31-Oct-2019,150.1,151.0,151.2,147.05,148.5,148.35,149.62,14829460,22187.48,64597,7657677,51.64,Metals
2019-11-01,VEDL, EQ, 01-Nov-2019,148.35,148.45,155.0,146.7,154.0,153.05,150.4,21310225,32051.59,94803,8503750,39.9,Metals
2019-11-04,VEDL, EQ, 04-Nov-2019,153.05,156.55,161.2,156.0,157.2,157.6,158.78,26458173,42009.37,148408,6412096,24.23,Metals
2019-11-05,VEDL, EQ, 05-Nov-2019,157.6,159.6,160.9,156.2,157.5,157.5,158.4,13732684,21752.06,84449,3475471,25.31,Metals
2019-11-06,VEDL, EQ, 06-Nov-2019,157.5,157.0,161.15,156.7,157.45,157.95,158.76,12911295,20498.37,111910,3989565,30.9,Metals
2019-11-07,VEDL, EQ, 07-Nov-2019,157.95,158.95,163.0,155.35,160.85,160.95,159.27,15683045,24978.48,79443,4019031,25.63,Metals
2019-11-08,VEDL, EQ, 08-Nov-2019,160.95,160.2,161.8,155.0,155.7,155.5,159.22,14502611,23091.35,63140,3738978,25.78,Metals
2019-11-11,VEDL, EQ, 11-Nov-2019,155.5,155.35,156.25,152.2,152.5,152.7,153.67,10071390,15476.22,46426,2545760,25.28,Metals
2019-11-13,VEDL, EQ, 13-Nov-2019,152.7,152.4,154.45,147.65,147.7,148.4,151.27,12134093,18355.14,58805,4567839,37.64,Metals
2019-11-14,VEDL, EQ, 14-Nov-2019,148.4,150.0,150.5,142.75,144.5,144.0,145.57,26065437,37943.11,119524,6915229,26.53,Metals
2019-11-15,VEDL, EQ, 15-Nov-2019,144.0,145.8,146.15,141.7,142.1,142.1,143.39,17581870,25211.32,74494,7415265,42.18,Metals
2019-11-18,VEDL, EQ, 18-Nov-2019,142.1,143.0,144.9,142.4,143.75,143.4,143.66,12285871,17649.78,50226,4036518,32.85,Metals
2019-11-19,VEDL, EQ, 19-Nov-2019,143.4,143.75,143.9,140.4,142.3,141.7,141.61,11847416,16777.23,55611,3246801,27.41,Metals
2019-11-20,VEDL, EQ, 20-Nov-2019,141.7,141.35,143.8,140.4,141.05,141.45,142.16,14546763,20679.25,66166,4052829,27.86,Metals
2019-11-21,VEDL, EQ, 21-Nov-2019,141.45,142.0,142.35,138.8,139.0,139.05,140.39,11986660,16827.65,53952,3617950,30.18,Metals
2019-11-22,VEDL, EQ, 22-Nov-2019,139.05,139.5,142.85,138.7,142.1,142.25,140.95,10173301,14339.46,51276,2389100,23.48,Metals
2019-11-25,VEDL, EQ, 25-Nov-2019,142.25,142.25,146.85,142.1,145.6,146.15,145.45,13356348,19426.57,64423,2716481,20.34,Metals
2019-11-26,VEDL, EQ, 26-Nov-2019,146.15,147.0,147.5,143.6,144.8,145.1,145.34,14715876,21388.31,60732,6539466,44.44,Metals
2019-11-27,VEDL, EQ, 27-Nov-2019,145.1,145.0,148.8,144.65,146.4,146.95,147.15,8923473,13130.94,50458,2225577,24.94,Metals
2019-11-28,VEDL, EQ, 28-Nov-2019,146.95,146.7,148.2,145.1,147.35,147.4,146.57,8002957,11729.78,48764,1385363,17.31,Metals
2019-11-29,VEDL, EQ, 29-Nov-2019,147.4,146.1,148.4,144.0,144.3,144.6,145.81,8531814,12440.01,37920,2183105,25.59,Metals
2019-12-02,VEDL, EQ, 02-Dec-2019,144.6,144.6,146.4,143.95,144.35,144.7,144.97,9791687,14195.16,41228,3653462,37.31,Metals
2019-12-03,VEDL, EQ, 03-Dec-2019,144.7,144.5,144.5,139.2,140.15,139.7,140.83,11274419,15877.8,54397,2512895,22.29,Metals
2019-12-04,VEDL, EQ, 04-Dec-2019,139.7,138.2,144.75,136.7,143.9,144.2,140.88,16157084,22761.45,76900,3018329,18.68,Metals
2019-12-05,VEDL, EQ, 05-Dec-2019,144.2,145.0,145.1,141.4,142.15,142.5,143.07,8652671,12379.67,40114,1843428,21.3,Metals
2019-12-06,VEDL, EQ, 06-Dec-2019,142.5,143.3,144.35,140.6,142.0,141.95,142.2,6580597,9357.79,31956,1235152,18.77,Metals
2019-12-09,VEDL, EQ, 09-Dec-2019,141.95,142.7,145.5,142.1,142.7,142.6,143.76,8174769,11751.66,39948,1725114,21.1,Metals
2019-12-10,VEDL, EQ, 10-Dec-2019,142.6,143.2,143.3,140.4,140.85,140.85,141.76,5793363,8212.63,40404,1810189,31.25,Metals
2019-12-11,VEDL, EQ, 11-Dec-2019,140.85,141.65,142.15,136.55,139.05,138.5,139.08,9011644,12533.12,58385,2684850,29.79,Metals
2019-12-12,VEDL, EQ, 12-Dec-2019,138.5,140.0,144.8,139.0,143.65,144.0,143.03,12648825,18091.43,94973,3721165,29.42,Metals
2019-12-13,VEDL, EQ, 13-Dec-2019,144.0,147.6,150.7,147.6,149.45,149.4,149.35,20297117,30313.28,121315,5373610,26.47,Metals
2019-12-16,VEDL, EQ, 16-Dec-2019,149.4,149.5,150.85,146.2,147.25,147.15,148.23,9220405,13667.08,43234,2150768,23.33,Metals
2019-12-17,VEDL, EQ, 17-Dec-2019,147.15,148.05,154.25,148.0,152.1,152.35,152.21,25796975,39265.03,111788,5974577,23.16,Metals
2019-12-18,VEDL, EQ, 18-Dec-2019,152.35,152.3,154.0,150.3,152.95,152.8,152.29,13726266,20903.04,63387,2752079,20.05,Metals
2019-12-19,VEDL, EQ, 19-Dec-2019,152.8,152.5,153.9,148.3,149.0,149.35,150.44,17713003,26648.31,76289,7408058,41.82,Metals
2019-12-20,VEDL, EQ, 20-Dec-2019,149.35,149.8,150.5,143.2,145.3,144.25,145.51,47171871,68638.12,151194,27457073,58.21,Metals
2019-12-23,VEDL, EQ, 23-Dec-2019,144.25,145.0,148.0,145.0,147.75,147.75,147.06,15357549,22584.68,74386,3400744,22.14,Metals
2019-12-24,VEDL, EQ, 24-Dec-2019,147.75,148.35,149.4,147.2,147.8,148.05,148.39,10766485,15976.62,52426,2249134,20.89,Metals
2019-12-26,VEDL, EQ, 26-Dec-2019,148.05,148.3,152.5,147.55,150.9,150.7,150.73,19969941,30099.76,82958,4116067,20.61,Metals
2019-12-27,VEDL, EQ, 27-Dec-2019,150.7,151.45,152.9,150.05,152.0,151.75,151.53,12636170,19147.31,52858,2895351,22.91,Metals
2019-12-30,VEDL, EQ, 30-Dec-2019,151.75,152.05,154.9,150.15,154.0,154.5,152.62,12606419,19239.52,46972,4255546,33.76,Metals
2019-12-31,VEDL, EQ, 31-Dec-2019,154.5,154.0,155.5,152.0,152.25,152.45,153.68,13026542,20018.66,47442,3324487,25.52,Metals
2020-01-01,VEDL, EQ, 01-Jan-2020,152.45,152.8,155.15,151.45,154.8,154.6,153.58,14266524,21911.05,67844,3734478,26.18,Metals
2020-01-02,VEDL, EQ, 02-Jan-2020,154.6,155.3,159.85,155.3,159.45,159.45,157.86,17137897,27054.21,88006,3700905,21.59,Metals
2020-01-03,VEDL, EQ, 03-Jan-2020,159.45,158.4,160.9,156.7,157.4,157.75,158.62,12108687,19206.29,52394,1996014,16.48,Metals
2020-01-06,VEDL, EQ, 06-Jan-2020,157.75,156.9,157.7,150.05,150.7,150.55,153.36,11218355,17203.94,53420,2599202,23.17,Metals
2020-01-07,VEDL, EQ, 07-Jan-2020,150.55,152.8,156.8,152.55,156.05,156.0,155.33,24417974,37927.44,104963,4710731,19.29,Metals
