Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,VOLTAS, EQ, 23-Aug-2019,597.7,593.7,615.15,586.4,614.95,612.65,605.48,900178,5450.43,16631,197655,21.96
2019-10-01,VOLTAS, EQ, 01-Oct-2019,679.55,680.0,696.6,670.55,674.0,674.65,683.57,1523100,10411.52,28535,257710,16.92
2019-10-03,VOLTAS, EQ, 03-Oct-2019,674.65,669.95,682.0,664.75,674.2,674.4,674.31,800102,5395.18,35455,284088,35.51
2019-10-04,VOLTAS, EQ, 04-Oct-2019,674.4,674.9,680.0,652.95,657.8,656.05,666.55,703425,4688.7,17512,151480,21.53
2019-10-07,VOLTAS, EQ, 07-Oct-2019,656.05,656.05,667.75,649.2,663.1,664.3,662.52,581861,3854.92,12990,128682,22.12
2019-10-09,VOLTAS, EQ, 09-Oct-2019,664.3,663.0,685.0,657.8,682.0,681.6,671.97,823317,5532.48,17681,154837,18.81
2019-10-10,VOLTAS, EQ, 10-Oct-2019,681.6,680.8,695.05,671.9,674.0,673.85,685.45,1835731,12583.08,39267,306147,16.68
2019-10-11,VOLTAS, EQ, 11-Oct-2019,673.85,675.5,683.5,672.05,676.5,679.1,677.5,540939,3664.86,10462,77786,14.38
2019-10-14,VOLTAS, EQ, 14-Oct-2019,679.1,679.1,686.75,672.0,672.6,673.6,677.82,424901,2880.04,8636,67341,15.85
2019-10-15,VOLTAS, EQ, 15-Oct-2019,673.6,675.0,681.35,669.0,676.0,676.0,674.52,930809,6278.47,17187,88841,9.54
2019-10-16,VOLTAS, EQ, 16-Oct-2019,676.0,678.0,679.3,660.8,672.8,671.7,668.15,1015112,6782.5,21431,304826,30.03
2019-10-17,VOLTAS, EQ, 17-Oct-2019,671.7,672.0,678.7,670.15,678.7,676.5,674.47,460645,3106.89,10916,98703,21.43
2019-10-18,VOLTAS, EQ, 18-Oct-2019,676.5,677.7,697.0,676.8,693.45,691.7,691.29,2069844,14308.66,36577,443773,21.44
2019-10-22,VOLTAS, EQ, 22-Oct-2019,691.7,695.0,713.0,690.0,692.6,693.45,700.24,2026682,14191.7,40043,375292,18.52
2019-10-23,VOLTAS, EQ, 23-Oct-2019,693.45,693.15,709.4,688.35,708.5,707.7,702.11,1289839,9056.04,21698,208115,16.13
2019-10-24,VOLTAS, EQ, 24-Oct-2019,707.7,713.4,721.25,695.25,707.1,707.85,710.84,2334184,16592.32,37524,451154,19.33
2019-10-25,VOLTAS, EQ, 25-Oct-2019,707.85,711.4,712.6,693.3,697.15,699.3,702.42,969161,6807.58,30147,289852,29.91
2019-10-27,VOLTAS, EQ, 27-Oct-2019,699.3,707.9,707.9,702.15,703.0,703.9,704.31,145147,1022.28,2714,76670,52.82
2019-10-29,VOLTAS, EQ, 29-Oct-2019,703.9,704.0,725.4,702.9,723.0,719.75,718.88,1350096,9705.58,25336,542593,40.19
2019-10-30,VOLTAS, EQ, 30-Oct-2019,719.75,720.0,722.0,705.8,711.2,712.95,712.86,665826,4746.43,18906,192620,28.93
2019-10-31,VOLTAS, EQ, 31-Oct-2019,712.95,715.85,719.6,705.0,705.1,708.5,710.6,1039303,7385.32,50489,484097,46.58
2019-11-01,VOLTAS, EQ, 01-Nov-2019,708.5,709.0,709.65,694.0,696.0,695.7,699.92,683006,4780.52,14243,288525,42.24
2019-11-04,VOLTAS, EQ, 04-Nov-2019,695.7,696.0,701.05,686.0,686.05,687.25,690.52,824519,5693.44,22120,356639,43.25
2019-11-05,VOLTAS, EQ, 05-Nov-2019,687.25,689.45,689.45,674.65,678.0,679.5,680.6,808275,5501.11,16487,393744,48.71
2019-11-06,VOLTAS, EQ, 06-Nov-2019,679.5,678.0,689.65,670.1,672.1,673.1,677.53,1918668,12999.63,39187,969135,50.51
2019-11-07,VOLTAS, EQ, 07-Nov-2019,673.1,674.5,681.5,657.15,668.25,666.65,666.32,2729712,18188.49,52726,1410545,51.67
2019-11-08,VOLTAS, EQ, 08-Nov-2019,666.65,665.9,701.45,665.5,694.2,693.65,690.45,2998481,20703.15,70570,1009879,33.68
2019-11-11,VOLTAS, EQ, 11-Nov-2019,693.65,695.0,704.15,685.0,687.9,687.3,693.46,1485485,10301.24,30088,274486,18.48
2019-11-13,VOLTAS, EQ, 13-Nov-2019,687.3,688.0,707.0,686.9,702.65,702.0,702.28,1885292,13240.11,50833,601532,31.91
2019-11-14,VOLTAS, EQ, 14-Nov-2019,702.0,704.75,715.0,701.1,715.0,713.6,709.52,1722703,12222.95,30688,524717,30.46
2019-11-15,VOLTAS, EQ, 15-Nov-2019,713.6,716.0,718.85,710.95,712.45,713.55,714.81,976238,6978.23,23657,272682,27.93
2019-11-18,VOLTAS, EQ, 18-Nov-2019,713.55,713.0,719.4,708.25,713.15,714.45,714.36,817503,5839.95,14491,211997,25.93
2019-11-19,VOLTAS, EQ, 19-Nov-2019,714.45,712.25,718.5,709.0,712.25,713.25,714.12,792191,5657.17,20524, 377086, 47.60
2019-11-20,VOLTAS, EQ, 20-Nov-2019,713.25,713.25,719.55,703.9,707.7,708.4,711.13,968603,6888.06,25732, 249533, 25.76
2019-11-21,VOLTAS, EQ, 21-Nov-2019,708.4,708.0,709.05,700.05,704.0,703.5,703.62,500782,3523.62,14578,177505,35.45
2019-11-22,VOLTAS, EQ, 22-Nov-2019,703.5,707.0,707.0,689.6,692.5,693.85,693.49,1000521,6938.53,29851,340945,34.08
2019-11-25,VOLTAS, EQ, 25-Nov-2019,693.85,694.9,705.3,689.4,703.5,702.15,699.11,1185057,8284.8,55763,509688,43.01
