Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,WIPRO, EQ, 23-Aug-2019,252.05,252.95,257.1,249.55,253.0,251.4,253.77,4896969,12427.08,58275,2195068,44.83
2019-10-01,WIPRO, EQ, 01-Oct-2019,239.8,240.0,240.45,232.2,233.9,233.5,235.22,4377330,10296.28,47698,2295968,52.45
2019-10-03,WIPRO, EQ, 03-Oct-2019,233.5,234.2,239.6,232.55,236.25,235.85,236.84,4785230,11333.56,56228,2076002,43.38
2019-10-04,WIPRO, EQ, 04-Oct-2019,235.85,238.0,240.9,236.25,238.05,237.7,238.78,2975521,7104.89,57248,760818,25.57
2019-10-07,WIPRO, EQ, 07-Oct-2019,237.7,238.05,242.4,236.2,237.1,237.05,238.21,2223668,5297.0,34521,426026,19.16
2019-10-09,WIPRO, EQ, 09-Oct-2019,237.05,239.25,239.6,236.4,238.0,237.75,238.0,2278138,5422.01,33157,863980,37.92
2019-10-10,WIPRO, EQ, 10-Oct-2019,237.75,237.75,239.6,235.8,238.5,239.2,237.73,2067862,4915.92,34518,739136,35.74
2019-10-11,WIPRO, EQ, 11-Oct-2019,239.2,237.0,240.4,236.5,239.6,239.45,238.92,2658289,6351.08,29939,1259953,47.4
2019-10-14,WIPRO, EQ, 14-Oct-2019,239.45,239.8,244.85,238.0,243.4,243.45,242.8,3592137,8721.62,31254,1573534,43.8
2019-10-15,WIPRO, EQ, 15-Oct-2019,243.45,244.95,245.5,239.25,243.5,243.65,242.85,8551893,20768.18,70043,2727637,31.9
2019-10-16,WIPRO, EQ, 16-Oct-2019,243.65,245.9,251.7,244.0,248.9,248.9,249.2,16285829,40583.96,143160,4213780,25.87
2019-10-17,WIPRO, EQ, 17-Oct-2019,248.9,248.9,250.15,246.6,248.3,247.85,248.03,5162240,12803.83,69937,2408483,46.66
2019-10-18,WIPRO, EQ, 18-Oct-2019,247.85,247.85,250.7,247.85,248.8,248.9,249.31,2764389,6891.8,36863,1107760,40.07
2019-10-22,WIPRO, EQ, 22-Oct-2019,248.9,249.0,254.45,247.1,253.55,253.55,252.9,6273288,15865.29,84446,4095440,65.28
2019-10-23,WIPRO, EQ, 23-Oct-2019,253.55,252.8,255.55,250.05,254.5,254.35,254.19,2674254,6797.7,47108,1137239,42.53
2019-10-24,WIPRO, EQ, 24-Oct-2019,254.35,253.9,254.2,249.2,249.7,249.6,250.52,3917098,9813.22,71850,2221611,56.72
2019-10-25,WIPRO, EQ, 25-Oct-2019,249.6,252.05,253.5,248.75,253.0,253.0,251.86,3265289,8223.87,57119,1331928,40.79
2019-10-27,WIPRO, EQ, 27-Oct-2019,253.0,254.55,255.25,253.0,253.9,253.65,253.93,315376,800.82,6533,146028,46.3
2019-10-29,WIPRO, EQ, 29-Oct-2019,253.65,253.65,255.9,252.2,255.75,255.2,254.3,3191442,8115.89,61855,1428419,44.76
