Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,YESBANK, EQ, 23-Aug-2019,56.3,56.4,61.25,54.75,59.45,59.25,58.89,309367850,182196.56,742741,25129814,8.12
2019-10-01,YESBANK, EQ, 01-Oct-2019,41.4,42.0,44.3,29.0,32.2,32.0,36.1,808959169,292064.25,1336273,144459392,17.86
2019-10-03,YESBANK, EQ, 03-Oct-2019,32.0,35.2,43.45,35.2,42.75,42.5,39.86,584506441,232967.91,1029273,73982680,12.66
2019-10-04,YESBANK, EQ, 04-Oct-2019,42.5,45.0,45.9,40.95,41.9,42.15,43.07,512643766,220780.25,870614,43245058,8.44
2019-10-07,YESBANK, EQ, 07-Oct-2019,42.15,45.95,46.8,42.8,45.35,45.65,45.0,355287494,159871.43,663192,39618385,11.15
2019-10-09,YESBANK, EQ, 09-Oct-2019,45.65,45.45,45.45,41.05,43.3,43.25,42.95,343533101,147555.99,582516,27638624,8.05
2019-10-10,YESBANK, EQ, 10-Oct-2019,43.25,41.7,42.7,40.15,40.9,40.95,41.31,207266038,85622.06,380074,20778509,10.03
2019-10-11,YESBANK, EQ, 11-Oct-2019,40.95,41.0,42.0,37.0,39.75,39.6,39.24,339478520,133225.27,538711,19708516,5.81
2019-10-14,YESBANK, EQ, 14-Oct-2019,39.6,39.9,41.5,38.8,40.45,40.1,40.18,223727101,89882.89,397528,13780265,6.16
2019-10-15,YESBANK, EQ, 15-Oct-2019,40.1,41.1,41.45,39.0,40.8,40.6,40.34,193601940,78105.67,298448,13543209,7.0
2019-10-16,YESBANK, EQ, 16-Oct-2019,40.6,40.6,42.05,39.8,41.7,41.05,40.69,188799876,76826.31,308432,11712797,6.2
2019-10-17,YESBANK, EQ, 17-Oct-2019,41.05,41.9,48.2,40.7,47.4,47.4,44.95,422749767,190035.82,749864,40787777,9.65
2019-10-18,YESBANK, EQ, 18-Oct-2019,47.4,46.6,52.7,46.0,51.3,51.4,50.47,441645534,222909.73,746958,32885273,7.45
2019-10-22,YESBANK, EQ, 22-Oct-2019,51.4,53.0,56.6,50.25,51.9,51.8,54.03,407437580,220138.81,718151,39985477,9.81
2019-10-23,YESBANK, EQ, 23-Oct-2019,51.8,51.8,53.5,49.2,51.0,51.2,51.48,296722600,152744.54,540326,19875455,6.7
