Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ZEEL, EQ, 23-Aug-2019,328.95,330.0,354.3,326.55,350.5,351.15,343.63,8092013,27806.32,128174,1689207,20.87
2019-10-01,ZEEL, EQ, 01-Oct-2019,265.5,264.5,271.6,199.15,236.85,233.15,238.9,33544990,80139.13,269179,8584317,25.59
2019-10-03,ZEEL, EQ, 03-Oct-2019,233.15,237.0,257.95,225.4,248.3,251.55,245.55,30258702,74300.56,287002,5915415,19.55
2019-10-04,ZEEL, EQ, 04-Oct-2019,251.55,249.0,253.9,232.6,235.4,236.85,243.7,21327140,51974.56,230406,3005360,14.09
2019-10-07,ZEEL, EQ, 07-Oct-2019,236.85,214.25,256.5,203.3,250.15,251.5,232.36,52976308,123095.59,457605,8215991,15.51
2019-10-09,ZEEL, EQ, 09-Oct-2019,251.5,250.0,258.0,240.7,245.55,245.95,247.87,25509295,63230.76,248837,7373284,28.9
2019-10-10,ZEEL, EQ, 10-Oct-2019,245.95,245.55,248.15,242.4,244.95,245.0,245.1,9050814,22183.66,102405,3921706,43.33
2019-10-11,ZEEL, EQ, 11-Oct-2019,245.0,246.55,249.25,235.0,242.95,242.5,241.68,12400539,29969.5,122470,3038740,24.5
2019-10-14,ZEEL, EQ, 14-Oct-2019,242.5,243.0,247.85,237.3,242.0,242.9,242.54,9279242,22505.93,90685,2967747,31.98
2019-10-15,ZEEL, EQ, 15-Oct-2019,242.9,236.9,253.7,234.55,250.6,250.7,246.86,13377512,33023.36,112815,3834703,28.67
2019-10-16,ZEEL, EQ, 16-Oct-2019,250.7,251.35,267.5,250.25,260.0,259.65,261.02,19213679,50151.11,173785,2879842,14.99
2019-10-17,ZEEL, EQ, 17-Oct-2019,259.65,260.6,274.0,255.8,262.7,264.45,264.23,36055426,95269.34,258221,17284590,47.94
2019-10-18,ZEEL, EQ, 18-Oct-2019,264.45,248.3,262.75,239.55,249.7,250.2,251.58,52011333,130852.22,395614,12375244,23.79
2019-10-22,ZEEL, EQ, 22-Oct-2019,250.2,250.2,255.0,247.1,250.65,250.45,251.28,16599201,41710.47,245529,8199670,49.4
2019-10-23,ZEEL, EQ, 23-Oct-2019,250.45,253.0,253.3,240.05,242.0,242.1,243.91,11827523,28847.93,118933,4247186,35.91
2019-10-24,ZEEL, EQ, 24-Oct-2019,242.1,245.0,245.5,236.3,237.55,237.7,240.3,9431942,22665.06,90797,3768504,39.95
2019-10-25,ZEEL, EQ, 25-Oct-2019,237.7,239.0,243.85,233.3,237.1,239.7,238.21,12497867,29771.25,104581,6212396,49.71
2019-10-27,ZEEL, EQ, 27-Oct-2019,239.7,241.0,243.8,237.0,237.5,238.25,239.34,867680,2076.73,10488,182354,21.02
2019-10-29,ZEEL, EQ, 29-Oct-2019,238.25,240.0,241.3,235.3,236.05,236.6,238.24,11536048,27483.36,102625,6602884,57.24
2019-10-30,ZEEL, EQ, 30-Oct-2019,236.6,240.0,245.9,234.0,235.0,235.15,239.73,15183348,36399.71,114304,6400303,42.15
2019-10-31,ZEEL, EQ, 31-Oct-2019,235.15,236.0,264.05,234.65,260.5,260.6,253.44,28812635,73022.44,215719,5886409,20.43
2019-11-01,ZEEL, EQ, 01-Nov-2019,260.6,261.75,314.5,261.05,308.7,309.5,292.13,61798777,180532.56,516371,6516015,10.54
2019-11-04,ZEEL, EQ, 04-Nov-2019,309.5,300.95,307.65,290.0,294.8,296.1,298.01,31754992,94632.49,273808,10172311,32.03
2019-11-05,ZEEL, EQ, 05-Nov-2019,296.1,296.1,299.65,281.6,285.15,286.15,288.25,15365133,44290.72,159515,3745120,24.37
2019-11-06,ZEEL, EQ, 06-Nov-2019,286.15,285.15,303.9,282.75,283.8,285.8,294.72,28483062,83944.7,255002,6709955,23.56
2019-11-07,ZEEL, EQ, 07-Nov-2019,285.8,288.0,292.45,282.2,286.25,285.75,286.32,10964624,31394.23,122275,3457091,31.53
2019-11-08,ZEEL, EQ, 08-Nov-2019,285.75,287.0,295.0,284.5,287.3,287.5,290.02,10777211,31256.35,115051,1841756,17.09
2019-11-11,ZEEL, EQ, 11-Nov-2019,287.5,289.25,307.9,285.45,305.2,305.4,299.83,20972910,62883.55,180709,2345952,11.19
2019-11-13,ZEEL, EQ, 13-Nov-2019,305.4,302.3,302.3,290.0,291.2,290.55,294.61,18302144,53919.74,149033,5511428,30.11
2019-11-14,ZEEL, EQ, 14-Nov-2019,290.55,292.35,295.7,281.0,282.65,282.0,286.2,12868799,36831.1,114414,4940777,38.39
2019-11-15,ZEEL, EQ, 15-Nov-2019,282.0,284.55,293.3,278.3,293.0,287.9,283.85,11986311,34023.3,89568,3619006,30.19
2019-11-18,ZEEL, EQ, 18-Nov-2019,287.9,292.95,298.3,287.5,293.75,294.15,293.7,8332827,24473.69,81848,860396,10.33
2019-11-19,ZEEL, EQ, 19-Nov-2019,294.15,293.75,293.75,282.5,288.0,285.85,286.25,11267424,32252.64,106147, 3412894, 30.29
2019-11-20,ZEEL, EQ, 20-Nov-2019,285.85,290.0,310.0,282.65,309.05,307.0,299.87,32195266,96544.38,259106, 3199659, 9.94
2019-11-21,ZEEL, EQ, 21-Nov-2019,307.0,337.7,364.0,320.2,343.0,345.15,337.95,100218862,338685.29,699898,23719948,23.67
